event_id,sprint_rank,global_review_rank,target_claims,review_phase,title,area,subarea,claim_ids,why_in_sprint,signals,method_families,evaluation_settings,benchmark_mentions,dataset_mentions,metric_mentions,claim_overlay_keys,area_overlay_keys,icml_url,alphaxiv_url,github_url,reviewer,review_date,review_source,paper_read_status,contribution_summary,novelty_judgment,method_summary,evidence_strength,baselines_checked,datasets_checked,metrics_checked,limitations,artifact_status_checked,reproducibility_notes,claim_implications,taxonomy_correction,representative_quote_or_result,final_report_use,paper_note
60542,1,58,C05,priority_area_depth,Motion Attribution for Video Generation,"Multimodal, Vision, and Perception","3D, video, motion, and spatial understanding",C05,claim missing sprint-01 coverage; targets C05; in claim-validation queue; in area-validation queue; priority report area; award paper; oral/program signal,oral; Outstanding Paper Honorable Mention; votes=67; evidence=medium,LLM post-training; Causal / data-centric,vision/video; language/llm,VBench,,win_rate,C05::60542,"Multimodal, Vision, and Perception::60542",https://icml.cc/virtual/2026/poster/60542,https://www.alphaxiv.org/abs/2601.08828,,,,,,,,,,,,,,,,,,,,
65954,2,59,C05,public_program_divergence,Multimodal Nested Learning for Decoupled and Coordinated Optimization,"Multimodal, Vision, and Perception",Multimodal representation and cross-modal alignment,C05,claim missing sprint-01 coverage; targets C05; in claim-validation queue; in area-validation queue; priority report area; oral/program signal; low-confidence evidence code; program signal with low public attention,oral; votes=0; evidence=low,,,,,memory,C05::65954,"Multimodal, Vision, and Perception::65954",https://icml.cc/virtual/2026/poster/65954,,,,,,,,,,,,,,,,,,,,,
65729,3,74,C05,public_program_divergence,ExSkill: Continual Learning from Experience and Skills in Multimodal Agents,"Multimodal, Vision, and Perception",Multimodal representation and cross-modal alignment,C05; C06,claim missing sprint-01 coverage; targets C05; in claim-validation queue; in area-validation queue; priority report area; artifact-visible; moderate AlphaXiv attention; public attention without program signal,votes=147; github_stars=234; evidence=medium,Reasoning / test-time compute; Agents / tool use,robotics/embodied,,,accuracy,C05::65729 | C06::65729,"Multimodal, Vision, and Perception::65729",https://icml.cc/virtual/2026/poster/65729,https://www.alphaxiv.org/abs/2603.12056,https://github.com/XSkill-Agent/XSkill,,,,,,,,,,,,,,,,,,,
63195,4,75,C05,public_program_divergence,BabyVision: Visual Reasoning Beyond Language,"Multimodal, Vision, and Perception",Vision-language reasoning and video understanding,C05; C06,claim missing sprint-01 coverage; targets C05; in claim-validation queue; in area-validation queue; priority report area; artifact-visible; moderate AlphaXiv attention; public attention without program signal,votes=134; github_stars=227; evidence=medium,Reasoning / test-time compute; Agents / tool use,math/code/verifiable; language/llm,,,,C05::63195 | C06::63195,"Multimodal, Vision, and Perception::63195",https://icml.cc/virtual/2026/poster/63195,https://www.alphaxiv.org/abs/2601.06521,https://github.com/UniPat-AI/BabyVision,,,,,,,,,,,,,,,,,,,
63623,5,76,C05,public_program_divergence,Causal-JEPA: Learning World Models through Object-Level Latent Interventions,"Multimodal, Vision, and Perception",Vision-language reasoning and video understanding,C05; C06,claim missing sprint-01 coverage; targets C05; in claim-validation queue; in area-validation queue; priority report area; artifact-visible; moderate AlphaXiv attention; public attention without program signal,votes=150; github_stars=206; evidence=medium,Reasoning / test-time compute; Agents / tool use; Causal / data-centric,math/code/verifiable; vision/video; robotics/embodied; security/safety,,,,C05::63623 | C06::63623,"Multimodal, Vision, and Perception::63623",https://icml.cc/virtual/2026/poster/63623,https://www.alphaxiv.org/abs/2602.11389,https://github.com/galilai-group/cjepa,,,,,,,,,,,,,,,,,,,
65709,6,78,C05,public_program_divergence,A Very Big Video Reasoning Suite,"Multimodal, Vision, and Perception",Vision-language reasoning and video understanding,C05; C06,claim missing sprint-01 coverage; targets C05; in claim-validation queue; in area-validation queue; priority report area; artifact-visible; moderate AlphaXiv attention; public attention without program signal,votes=159; github_stars=25; evidence=medium,Reasoning / test-time compute; Agents / tool use; Causal / data-centric,math/code/verifiable; vision/video; language/llm,,,,C05::65709 | C06::65709,"Multimodal, Vision, and Perception::65709",https://icml.cc/virtual/2026/poster/65709,https://www.alphaxiv.org/abs/2602.20159,https://github.com/Video-Reason/VBVR-Wan2.2,,,,,,,,,,,,,,,,,,,
62726,7,79,C05,priority_area_depth,Bad Seeing or Bad Thinking? Rewarding Perception for Multimodal Reasoning,"Multimodal, Vision, and Perception",Vision-language reasoning and video understanding,C05,claim missing sprint-01 coverage; targets C05; in claim-validation queue; in area-validation queue; priority report area; oral/program signal,oral; votes=21; evidence=medium,RL / policy optimization; Reasoning / test-time compute; Agents / tool use,vision/video; language/llm,,,reward,C05::62726,"Multimodal, Vision, and Perception::62726",https://icml.cc/virtual/2026/poster/62726,https://www.alphaxiv.org/abs/2605.14054,,,,,,,,,,,,,,,,,,,,
61757,8,81,C04,public_program_divergence,World Guidance: World Modeling in Condition Space for Action Generation,"Robotics, Embodiment, and World Models",Vision-language-action models and robotic manipulation,C04,claim missing sprint-01 coverage; targets C04; in claim-validation queue; in area-validation queue; low-confidence evidence code; artifact-visible; moderate AlphaXiv attention; public attention without program signal,votes=108; github_stars=147; evidence=low,,vision/video; robotics/embodied; language/llm; theory/synthetic,,,,C04::61757,"Robotics, Embodiment, and World Models::61757",https://icml.cc/virtual/2026/poster/61757,https://www.alphaxiv.org/abs/2602.22010,https://github.com/Selen-Suyue/WoG,,,,,,,,,,,,,,,,,,,
64904,9,82,C04,public_program_divergence,Temporal Straightening for Latent Planning,"Robotics, Embodiment, and World Models",Vision-language-action models and robotic manipulation,C04,claim missing sprint-01 coverage; targets C04; in claim-validation queue; in area-validation queue; low-confidence evidence code; artifact-visible; moderate AlphaXiv attention; public attention without program signal,votes=202; github_stars=92; evidence=very_low,,,,,,C04::64904,"Robotics, Embodiment, and World Models::64904",https://icml.cc/virtual/2026/poster/64904,https://www.alphaxiv.org/abs/2603.12231,https://github.com/agentic-learning-ai-lab/temporal-straightening,,,,,,,,,,,,,,,,,,,
63330,10,83,C05,taxonomy_boundaries,Mind Your Margin and Boundary: Are Your Distilled Datasets Truly Robust?,"Multimodal, Vision, and Perception","Vision robustness, detection, and adversarial perception",C05,claim missing sprint-01 coverage; targets C05; in claim-validation queue; priority report area; oral/program signal; taxonomy boundary needs review,oral; votes=2; taxonomy_review; evidence=medium,Causal / data-centric,vision/video; security/safety; theory/synthetic,,,accuracy,C05::63330,,https://icml.cc/virtual/2026/poster/63330,https://www.alphaxiv.org/abs/2605.20606,,,,,,,,,,,,,,,,,,,,
65457,11,105,C04,public_program_divergence,LangForce: Bayesian Decomposition of Vision Language Action Models via Latent Action Queries,"Robotics, Embodiment, and World Models",Vision-language-action models and robotic manipulation,C04,claim missing sprint-01 coverage; targets C04; in claim-validation queue; in area-validation queue; artifact-visible; moderate AlphaXiv attention; public attention without program signal,votes=189; github_stars=69; evidence=medium,RL / policy optimization; Bayesian / probabilistic,vision/video; robotics/embodied; language/llm; security/safety,,,,C04::65457,"Robotics, Embodiment, and World Models::65457",https://icml.cc/virtual/2026/poster/65457,https://www.alphaxiv.org/abs/2601.15197,https://github.com/ZGC-EmbodyAI/LangForce,,,,,,,,,,,,,,,,,,,
62813,12,106,C04,public_program_divergence,Vision-Language-Action Pretraining from Large-Scale Human Videos,"Robotics, Embodiment, and World Models",Vision-language-action models and robotic manipulation,C04,claim missing sprint-01 coverage; targets C04; in claim-validation queue; in area-validation queue; artifact-visible; moderate AlphaXiv attention; public attention without program signal,votes=144; github_stars=52; evidence=medium,LLM post-training; Reasoning / test-time compute; Agents / tool use,vision/video; robotics/embodied; language/llm; theory/synthetic,,,accuracy,C04::62813,"Robotics, Embodiment, and World Models::62813",https://icml.cc/virtual/2026/poster/62813,https://www.alphaxiv.org/abs/2507.15597,https://github.com/BeingBeyond/Being-H0,,,,,,,,,,,,,,,,,,,
63621,13,107,C04,breadth_and_sanity_checks,From Pixels to Tokens: A Systematic Study of Latent Action Supervision for Vision-Language-Action Models,"Robotics, Embodiment, and World Models",Vision-language-action models and robotic manipulation,C04,claim missing sprint-01 coverage; targets C04; in claim-validation queue; in area-validation queue; oral/program signal; artifact-visible,oral; votes=30; github_stars=35; evidence=medium,Reasoning / test-time compute,vision/video; robotics/embodied; language/llm,,,,C04::63621,"Robotics, Embodiment, and World Models::63621",https://icml.cc/virtual/2026/poster/63621,https://www.alphaxiv.org/abs/2605.04678,https://github.com/RUCKBReasoning/From_Pixels_to_Tokens,,,,,,,,,,,,,,,,,,,
65933,14,108,C04,breadth_and_sanity_checks,RoboMME: Benchmarking and Understanding Memory for Robotic Generalist Policies,"Robotics, Embodiment, and World Models",Vision-language-action models and robotic manipulation,C04,claim missing sprint-01 coverage; targets C04; in claim-validation queue; in area-validation queue; oral/program signal; artifact-visible,oral; votes=66; github_stars=31; evidence=medium,Agents / tool use,math/code/verifiable; vision/video; robotics/embodied; language/llm,RoboMME,,memory,C04::65933,"Robotics, Embodiment, and World Models::65933",https://icml.cc/virtual/2026/poster/65933,https://www.alphaxiv.org/abs/2603.04639,https://github.com/sled-group/navchat,,,,,,,,,,,,,,,,,,,
64826,15,113,C04,breadth_and_sanity_checks,XR-1: Towards Versatile Vision-Language-Action Models via Learning Unified Vision-Motion Representations,"Robotics, Embodiment, and World Models",Vision-language-action models and robotic manipulation,C04,claim missing sprint-01 coverage; targets C04; in claim-validation queue; in area-validation queue; oral/program signal,oral; votes=19; evidence=medium,RL / policy optimization; LLM post-training; Agents / tool use,math/code/verifiable; vision/video; robotics/embodied; language/llm,,,,C04::64826,"Robotics, Embodiment, and World Models::64826",https://icml.cc/virtual/2026/poster/64826,https://www.alphaxiv.org/abs/2511.02776,,,,,,,,,,,,,,,,,,,,
65056,16,125,C04,breadth_and_sanity_checks,Learning Latent Action World Models In The Wild,"Robotics, Embodiment, and World Models",Vision-language-action models and robotic manipulation,C04,claim missing sprint-01 coverage; targets C04; in claim-validation queue; in area-validation queue; high AlphaXiv attention,votes=273; evidence=medium,RL / policy optimization; Agents / tool use; Compression / efficiency,vision/video; robotics/embodied,,,,C04::65056,"Robotics, Embodiment, and World Models::65056",https://icml.cc/virtual/2026/poster/65056,https://www.alphaxiv.org/abs/2601.05230,,,,,,,,,,,,,,,,,,,,
