area,brief_path,trust_tier,trust_reason,paper_count,taxonomy_share,oral_enrichment,public_attention_enrichment,historical_delta_vs_baseline,github_url_share,review_rows,reviewed_rows,remaining_rows,headline,fault_lines,read_for,top_subareas,top_methods,top_evaluations,program_papers,public_non_program_papers,artifact_papers,boundary_papers
"LLM Reasoning, Post-Training, and RLVR",reports/area_briefing_cards/llm-reasoning-post-training-and-rlvr.md,high_review_need,5 taxonomy clusters need review; historical baseline contrast is material; 70 low-confidence evidence-code rows in full area,1099,0.1658,1.29,2.03,0.0286,0.3212,16,0,16,"Reasoning progress is splitting between reward-driven post-training, test-time search, and alternative sequence modeling.","Process supervision and reward models versus search, verification, and extra test-time compute. | Verifiable math/code-style tasks versus open-ended research, planning, and multimodal reasoning. | Autoregressive reasoning versus diffusion or arbitrary-order language generation.","Does the paper optimize final answers, intermediate traces, rubrics, or verifier signals? | Are gains robust outside tasks with cheap correctness checks? | Does extra inference compute change capability, reliability, or only benchmark score?","General LLM training, evaluation, and alignment (290); Reasoning models and chain-of-thought behavior (211); Reward modeling, preference feedback, and RL post-training (164); RL for reasoning models and verifiable rewards (161); Diffusion language models and decoding (145); LLM preference tuning and alignment training (128)",Reasoning / test-time compute (608); RL / policy optimization (468); LLM post-training (468); Agents / tool use (290); Diffusion / flow (234); Compression / efficiency (180); Transformer / attention (154); Graphs / geometry (119),language/llm (1019); math/code/verifiable (308); theory/synthetic (226); robotics/embodied (120); security/safety (117); vision/video (66); science/domain (31),How much can language models memorize? | The Flexibility Trap: Rethinking the Value of Arbitrary Order in Diffusion Language Models | Maximum Likelihood Reinforcement Learning | Reinforcement Learning with Evolving Rubrics for Deep Research | Activation Oracles: Training and Evaluating LLMs as General-Purpose Activation Explainers | WeDLM: Reconciling Diffusion Language Models with Standard Causal Attention for Fast Inference,"Process Reward Models That Think | Reinforcement Learning via Self-Distillation | Agent Learning via Early Experience | GDPO: Group reward-Decoupled Normalization Policy Optimization for Multi-reward RL Optimization | On the Interplay of Pre-Training, Mid-Training, and RL on Reasoning Language Models | Latent Collaboration in Multi-Agent Systems",Vision-aligned Latent Reasoning for Multi-Modal Large Language Model | DFlash: Block Diffusion for Flash Speculative Decoding | AuTAgent: A Reinforcement Learning Framework for Tool-Augmented Audio Reasoning | Autoregressive Direct Preference Optimization | SpecExit: Accelerating Large Reasoning Model via Speculative Exit,Reinforcement Learning via Self-Distillation | Agent Learning via Early Experience | GDPO: Group reward-Decoupled Normalization Policy Optimization for Multi-reward RL Optimization | Latent Collaboration in Multi-Agent Systems | Self-Distilled Reasoner: On-Policy Self-Distillation for Large Language Models
"Multimodal, Vision, and Perception",reports/area_briefing_cards/multimodal-vision-and-perception.md,high_review_need,1 taxonomy clusters need review; historical baseline contrast is material; 89 low-confidence evidence-code rows in full area,889,0.1341,0.58,0.8,-0.0312,0.2981,16,0,16,"Vision-language work is moving from recognition toward grounded reasoning, spatial understanding, and video/world structure.","Perception as feature extraction versus perception as an active reasoning bottleneck. | Static image benchmarks versus long-video, 3D, spatial, and embodied settings. | Generative visual models versus discriminative robustness and hallucination control.","Can the method localize the visual evidence behind an answer? | Does it evaluate temporal, 3D, or physical consistency rather than only caption-style accuracy? | Are robustness claims tested under realistic corruptions, adversarial prompts, and distribution shift?","Vision-language reasoning and video understanding (272); Multimodal representation and cross-modal alignment (237); 3D, video, motion, and spatial understanding (203); Vision robustness, detection, and adversarial perception (177)",Reasoning / test-time compute (297); LLM post-training (277); Agents / tool use (231); Graphs / geometry (217); Transformer / attention (189); Diffusion / flow (179); Compression / efficiency (138); RL / policy optimization (127),vision/video (763); language/llm (468); math/code/verifiable (181); security/safety (133); robotics/embodied (124); theory/synthetic (93); science/domain (58),Motion Attribution for Video Generation | Holi-Spatial: Evolving Video Streams into Holistic 3D Spatial Intelligence | Bad Seeing or Bad Thinking? Rewarding Perception for Multimodal Reasoning | Are VLMs Seeing or Just Saying? Uncovering the Illusion of Visual Re-examination | 3ViewSense: Spatial and Mental Perspective Reasoning from Orthographic Views in Vision-Language Models | CLEAR: Context-Aware Learning with End-to-End Mask-Free Inference for Adaptive Subtitle Removal,A Very Big Video Reasoning Suite | Causal-JEPA: Learning World Models through Object-Level Latent Interventions | ExSkill: Continual Learning from Experience and Skills in Multimodal Agents | BabyVision: Visual Reasoning Beyond Language | Utonia: Toward One Encoder for All Point Clouds | World-R1: Reinforcing 3D Constraints for Text-to-Video Generation,"AudioChat: Unified Audio Storytelling, Editing, and Understanding with Transfusion Forcing | PanoWorld-X: Generating Explorable Panoramic Worlds via Sphere-Aware Video Diffusion | From Correspondence to Actions: Human-Like Multi-Image Spatial Reasoning in Multi-modal Large Language Models | Boosting Monocular Metric Depth Estimation via Bokeh Rendering | Turbo4DGen: Ultra-Fast Acceleration for 4D Generation",Rectified LpJEPA: Joint-Embedding Predictive Architectures with Sparse and Maximum-Entropy Representations | On the Adversarial Robustness of Large Vision-Language Models under Visual Token Compression | Beyond Accuracy: What Matters in Designing Well-Behaved Image Classification Models? | Is Training Necessary for Anomaly Detection? | Alterbute: Editing Intrinsic Attributes of Objects in Images
"Theory, Optimization, and Algorithms",reports/area_briefing_cards/theory-optimization-and-algorithms.md,high_review_need,3 taxonomy clusters need review; program signal exceeds public attention; 261 low-confidence evidence-code rows in full area,737,0.1112,1.45,0.46,0.0081,0.1194,16,0,16,The theory track is balancing classical guarantees with explanations of transformer-era behavior.,Asymptotic or idealized guarantees versus phenomena observed in current large-scale models. | Optimization theory for convex/stochastic settings versus practical deep-network training dynamics. | Probabilistic and Bayesian rigor versus scalable approximate inference.,"Which assumptions are doing the real work? | Does the theorem explain a contemporary empirical pattern or stand as a separate mathematical result? | Are constants, dimensions, and compute requirements meaningful at modern model scales?","Statistical learning theory and regression (180); Online learning, bandits, and regret (172); Convex, stochastic, and nonconvex optimization (127); Bayesian and probabilistic methods (125); Transformer theory and attention expressivity (98); Quantum, matrix, and numerical optimization (35)",Bayesian / probabilistic (188); Transformer / attention (121); Diffusion / flow (115); Graphs / geometry (98); Agents / tool use (86); Compression / efficiency (82); RL / policy optimization (76); LLM post-training (52),theory/synthetic (475); language/llm (88); robotics/embodied (72); security/safety (65); math/code/verifiable (53); vision/video (45); science/domain (17),To Grok Grokking: Provable Grokking in Ridge Regression | Equivalence of Context and Parameter Updates in Modern Transformer Blocks | Non-Euclidean Gradient Descent Operates at the Edge of Stability | Optimal Decision-Making Based on Prediction Sets | Markov Chain Monte Carlo without Evaluating the Target: an Auxiliary Variable Approach | Rational Transductors,Unifying and Optimizing Data Values for Selection via Sequential Decision-Making | Dimensional Collapse in Transformer Attention Outputs: A Challenge for Sparse Dictionary Learning | Weight-sparse transformers have interpretable circuits | You Need Better Attention Priors | Do Transformers Need Three Projections? Systematic Study of QKV Variants | Patterning: The Dual of Interpretability,Optimal Regularization for Performative Learning | The Cost of Learning under Multiple Change Points | Deep Networks Learn Deep Hierarchical Models | ProEval: Proactive Failure Discovery and Efficient Performance Estimation for Generative AI Evaluation | On Structured State-Space Duality,Dimensional Collapse in Transformer Attention Outputs: A Challenge for Sparse Dictionary Learning | Weight-sparse transformers have interpretable circuits | You Need Better Attention Priors | Do Transformers Need Three Projections? Systematic Study of QKV Variants | Patterning: The Dual of Interpretability
"AI for Science, Health, and Neuro",reports/area_briefing_cards/ai-for-science-health-and-neuro.md,high_review_need,4 taxonomy clusters need review; 123 low-confidence evidence-code rows in full area,587,0.0886,1.08,0.33,0.0088,0.1959,16,0,16,"Scientific ML is broadening from surrogate modeling into foundation models for biological, physical, temporal, and neural data.","General ML architecture contribution versus domain-specific modeling contribution. | Benchmark performance versus scientific validity, uncertainty, and deployability. | Foundation-model pretraining versus small-data, mechanistic, or simulation-grounded methods.","Is the evaluation tied to a real scientific decision or only a proxy benchmark? | Are domain constraints, units, symmetries, and uncertainty modeled explicitly? | Does the method improve discovery or forecasting under realistic data scarcity?","Time series and forecasting applications (160); Protein, molecule, and biological modeling (148); Physical sciences, chemistry, and climate (128); Latent dynamics, neuroscience, and dynamical systems (84); Spiking neural networks and neural signals (67)",Diffusion / flow (180); Graphs / geometry (146); Transformer / attention (135); Agents / tool use (118); Compression / efficiency (110); LLM post-training (79); Bayesian / probabilistic (63); Reasoning / test-time compute (53),science/domain (252); theory/synthetic (169); vision/video (132); math/code/verifiable (93); language/llm (92); security/safety (58); robotics/embodied (48),Protein Autoregressive Modeling via Multiscale Structure Generation | dnaHNet: A Scalable and Hierarchical Foundation Model for Genomic Sequence Learning | Orthogonal Concept Erasure for Diffusion Models | LASER: Learning Active Sensing for Continuum Field Reconstruction | From Text to Forecasts: Bridging Modality Gap with Temporal Evolution Semantic Space | Protein Fold Classification at Scale: Benchmarking and Pretraining,GeoPT: Scaling Physics Simulation via Lifted Geometric Pre-Training | TSRBench: A Comprehensive Multi-task Multi-modal Time Series Reasoning Benchmark for Generalist Models | Understanding Self-Supervised Learning via Latent Distribution Matching | OpenTSLM: Time-Series Language Models for Reasoning over Multivariate Medical Text- and Time-Series Data | Universal Learning of Nonlinear Dynamics | Walrus: A Cross-domain Foundation Model for Continuum Dynamics,From geometry to dynamics: Learning overdamped Langevin dynamics from sparse observations with geometric constraints | OpenTSLM: Time-Series Language Models for Reasoning over Multivariate Medical Text- and Time-Series Data | MN-Diff: Diffusion Parameterized MoE-NCDE for Continuous Time Series Generation with Irregular Observations | Walrus: A Cross-domain Foundation Model for Continuum Dynamics | GeoPT: Scaling Physics Simulation via Lifted Geometric Pre-Training,TSRBench: A Comprehensive Multi-task Multi-modal Time Series Reasoning Benchmark for Generalist Models | Understanding Self-Supervised Learning via Latent Distribution Matching | OpenTSLM: Time-Series Language Models for Reasoning over Multivariate Medical Text- and Time-Series Data | Protein Autoregressive Modeling via Multiscale Structure Generation | Universal Learning of Nonlinear Dynamics
"Data-Centric, Causal, and Federated ML",reports/area_briefing_cards/data-centric-causal-and-federated-ml.md,high_review_need,3 taxonomy clusters need review; 130 low-confidence evidence-code rows in full area,526,0.0794,0.75,0.64,-0.0049,0.1635,16,0,16,"Data quality, causality, and distributed learning are converging around what supervision is trustworthy.","More data versus better selected, relabeled, distilled, or causally grounded data. | Predictive correlations versus causal mechanisms and intervention validity. | Centralized training assumptions versus privacy, federation, heterogeneity, and client incentives.","Does the method improve data selection or merely add a new scoring heuristic? | Are causal assumptions identifiable from the available data? | Does the federated setup model realistic client drift, incentives, and system constraints?","Labels, datasets, and supervised data quality (192); Continual learning, forgetting, and task adaptation (138); Causal inference and causal discovery (111); Federated learning and distributed clients (85)",Causal / data-centric (127); LLM post-training (126); Compression / efficiency (83); Agents / tool use (79); Graphs / geometry (78); Reasoning / test-time compute (65); Transformer / attention (56); Bayesian / probabilistic (51),theory/synthetic (200); language/llm (170); security/safety (112); vision/video (80); math/code/verifiable (50); robotics/embodied (31); science/domain (26),Pretrained Vision-Language-Action Models are Surprisingly Resistant to Forgetting in Continual Learning | Midtraining Bridges Pretraining and Posttraining Distributions | Expressivity-Efficiency Tradeoffs for Hybrid Sequence Models | DISCO: Mitigating Bias in Deep Learning with Conditional Distance Correlation | Exact Functional ANOVA Decomposition for Categorical Inputs | A Recursive Decomposition Framework for Causal Structure Learning in the Presence of Latent Variables,Self-Distillation Enables Continual Learning | Understanding LoRA as Knowledge Memory: An Empirical Analysis | ATLAS: Learning to Optimally Memorize the Context at Test Time | Retaining by Doing: The Role of On-Policy Data in Mitigating Forgetting | Artificial Hippocampus Networks for Efficient Long-Context Modeling | Extracting alignment data in open models,video-SALMONN S: Memory-Enhanced Streaming Audio-Visual LLM | Self-Distillation Enables Continual Learning | A Semantically Consistent Dataset for Data-Efficient Query-Based Universal Sound Separation | KORE: Enhancing Knowledge Injection for Large Multimodal Models via Knowledge-Oriented Controls | Artificial Hippocampus Networks for Efficient Long-Context Modeling,Self-Distillation Enables Continual Learning | Understanding LoRA as Knowledge Memory: An Empirical Analysis | ATLAS: Learning to Optimally Memorize the Context at Test Time | Pretrained Vision-Language-Action Models are Surprisingly Resistant to Forgetting in Continual Learning | Retaining by Doing: The Role of On-Policy Data in Mitigating Forgetting
Systems and Efficient Foundation Models,reports/area_briefing_cards/systems-and-efficient-foundation-models.md,high_review_need,1 taxonomy clusters need review; public attention exceeds program signal; historical baseline contrast is material; 77 low-confidence evidence-code rows in full area,515,0.0777,0.69,1.31,0.0215,0.2466,16,0,16,"Efficiency papers increasingly claim capability relevance, not just lower cost.","Training/inference cost reduction versus preservation of reasoning, calibration, and safety behavior. | Kernel or hardware-specific wins versus algorithmic improvements that transfer across deployments. | Long-context memory, KV-cache, quantization, MoE, and serving throughput as separate bottlenecks.","Are results measured at realistic batch sizes, sequence lengths, hardware, and latency budgets? | What capability regresses under compression or cache pruning? | Is the speedup end-to-end or only for an isolated kernel/subroutine?","Large-scale training, optimizers, and model architecture (198); Serving, GPU memory, MoE, and throughput (116); Long-context attention and KV-cache compression (113); Quantization and low-precision training/inference (88)",Compression / efficiency (266); Transformer / attention (164); Agents / tool use (138); LLM post-training (130); Reasoning / test-time compute (68); Graphs / geometry (57); Diffusion / flow (52); RL / policy optimization (31),language/llm (324); theory/synthetic (129); math/code/verifiable (105); vision/video (69); security/safety (33); robotics/embodied (24); science/domain (8),Controlled LLM Training on Spectral Sphere | POET-X: Memory-efficient LLM Training by Scaling Orthogonal Transformation | FlashSinkhorn: IO-Aware Entropic Optimal Transport on GPU | ECHO: Elastic Speculative Decoding with Sparse Gating for High-Concurrency Scenarios | FlashSketch: Sketch-Kernel Co-Design for Fast Sparse Sketching on GPUs | ReQAT: Achieving Full-Precision Reasoning Accuracy with 4-bit Floating-Point Quantization-Aware Training,mHC: Manifold-Constrained Hyper-Connections | xKV: Cross-Layer KV-Cache Compression via Aligned Singular Vector Extraction | Evolution Strategies at the Hyperscale | Neural Thickets: Diverse Task Experts Are Dense Around Pretrained Weights | SimpleMem: Efficient Lifelong Memory for LLM Agents | Fast KV Compaction via Attention Matching,When RL Meets Adaptive Speculative Training: A Unified Training-Serving System | SimpleMem: Efficient Lifelong Memory for LLM Agents | DITRON: Distributed Multi-level Tiling Compiler for Parallel Tensor Programs | SpecForge: A Flexible and Efficient Open-Source Training Framework for Speculative Decoding | TriAttention: Efficient Long Reasoning with Trigonometric KV Compression,mHC: Manifold-Constrained Hyper-Connections | Evolution Strategies at the Hyperscale | Neural Thickets: Diverse Task Experts Are Dense Around Pretrained Weights | Controlled LLM Training on Spectral Sphere | NorMuon: Making Muon more efficient and scalable
"Safety, Governance, Privacy, and Society",reports/area_briefing_cards/safety-governance-privacy-and-society.md,moderate_review_need,program signal exceeds public attention; 129 low-confidence evidence-code rows in full area,502,0.0757,1.41,0.51,0.0132,0.2012,16,0,16,"Safety and society papers are programmatically central, but vary sharply in executable evidence.","Technical safety benchmarks versus position papers about governance, harms, and conference norms. | Attack/defense papers versus measurement validity and reproducibility of threat models. | Privacy and unlearning guarantees versus practical utility and auditability.","Is the harm or threat model operationalized precisely enough to test? | Can the benchmark, attack, or defense be independently reproduced? | Does the paper separate empirical evidence from normative argument?","Adversarial safety, attacks, and security (245); Position papers, policy, and social impacts (173); Privacy, differential privacy, and unlearning (84)",Agents / tool use (169); LLM post-training (145); Reasoning / test-time compute (129); RL / policy optimization (79); Diffusion / flow (39); Transformer / attention (36); Compression / efficiency (34); Graphs / geometry (31),security/safety (360); language/llm (287); theory/synthetic (109); robotics/embodied (75); math/code/verifiable (65); vision/video (54); science/domain (9),The Obfuscation Atlas: Mapping Where Honesty Emerges in RLVR with Deception Probes | Position: The Alignment Community is Unintentionally Building a Censor’s Toolkit | Position: AI/ML Deepfake Research is Misaligned with AI Generated Non-Consensual Intimate Imagery (AIG-NCII) | Position: Stop Automating Peer Review Without Rigorous Evaluation | Position: Anthropomorphic Misalignment Research Needs Stronger Evidence | Jailbreak Foundry: From Papers to Runnable Attacks for Reproducible Benchmarking,Chain-of-Thought Reasoning In The Wild Is Not Always Faithful | The Assistant Axis: Situating and Stabilizing the Default Persona of Language Models | Reasoning Models Struggle to Control their Chains of Thought | Towards a Science of AI Agent Reliability | Is Vibe Coding Safe? Benchmarking Vulnerability of Agent-Generated Code in Real-World Tasks | Who’s in Charge? Disempowerment Patterns in Real-World LLM Usage,The Trojan Knowledge: Bypassing Commercial LLM Guardrails via Harmless Prompt Weaving and Adaptive Tree Search | Jailbreak Foundry: From Papers to Runnable Attacks for Reproducible Benchmarking | Position: Embodied AI Requires a Privacy-Utility Tradeoff | ExCyTIn-Bench: Evaluating LLM agents on Cyber Threat Investigation | AutoControl Arena: Synthesizing Executable Test Environments for Frontier AI Risk Evaluation,
"Agents, Code, and Tool Use",reports/area_briefing_cards/agents-code-and-tool-use.md,high_review_need,2 taxonomy clusters need review; historical baseline contrast is material; 30 low-confidence evidence-code rows in full area,496,0.0748,1.19,1.52,0.0208,0.3286,16,0,16,"Agents are shifting from impressive demos toward evaluation harnesses, tool environments, and software/security tasks.","Better scaffolding and prompting versus actual learned agent capability. | Static benchmarks versus dynamic environments with hidden state, long horizons, and recovery from failure. | Code and security agents as practical systems versus brittle benchmark optimizers.","Does the environment prevent leakage and reward shortcut behavior? | Is improvement coming from model training, search, memory, tools, or evaluation-loop design? | Are failures categorized by planning, perception, tool use, memory, or execution?","Agent evaluation, tool use, and agentic workflows (207); Multi-agent search, planning, and coordination (150); Code LLMs, verification, and software tasks (139)",Agents / tool use (412); Reasoning / test-time compute (271); RL / policy optimization (150); LLM post-training (100); Graphs / geometry (63); Diffusion / flow (41); Compression / efficiency (35); Transformer / attention (24),language/llm (414); math/code/verifiable (213); theory/synthetic (90); robotics/embodied (79); security/safety (43); vision/video (30); science/domain (15),$\tau^2$-Bench: Evaluating Conversational Agents in a Dual-Control Environment | Agent0-VL: Exploring Self-Evolving Agent for Tool-Integrated Vision-Language Reasoning | daVinci-Dev: Agent-native Mid-training for Software Engineering | Monitoring Monitorability | Strategic Navigation or Stochastic Search? How Agents and Humans Reason Over Document Collections | CVE-Factory: Scaling Expert-Level Agentic Tasks for Code Security Vulnerability,Learning to Discover at Test Time | PaperBanana: Automating Academic Illustration for AI Scientists | ToolOrchestra: Elevating Intelligence via Efficient Model and Tool Orchestration | MemEvolve: Meta-Evolution of Agent Memory Systems | Agent World Model: Infinity Synthetic Environments for Agentic Reinforcement Learning | Scaling Long-Horizon Agent via Context Folding,PaperBanana: Automating Academic Illustration for AI Scientists | DeepAnalyze: Agentic Large Language Models for Autonomous Data Science | Monitoring Monitorability | $\tau^2$-Bench: Evaluating Conversational Agents in a Dual-Control Environment | $\tau$-Knowledge: Evaluating Conversational Agents over Unstructured Knowledge,Learning to Discover at Test Time | MemEvolve: Meta-Evolution of Agent Memory Systems | Scaling Long-Horizon Agent via Context Folding | Meta Context Engineering via Agentic Skill Evolution | Evolution Strategies at Scale: LLM Fine-Tuning Beyond Reinforcement Learning
"Graphs, Geometry, and Representation Learning",reports/area_briefing_cards/graphs-geometry-and-representation-learning.md,moderate_review_need,2 taxonomy clusters need review; 112 low-confidence evidence-code rows in full area,391,0.059,0.61,0.38,0.0123,0.1969,16,0,16,Graph and geometric methods remain a bridge between structure-aware theory and domain-specific representations.,Equivariance and invariance as architectural priors versus learned latent geometry. | Graph foundation/generalization claims versus task-specific message-passing improvements. | Theoretical expressivity versus scalability on real graph and geometric data.,"Which symmetries or structural assumptions are encoded, and are they valid for the data? | Does the method scale beyond curated graph benchmarks? | Are representation claims validated by transfer, robustness, or interpretability?",Graph neural networks and graph learning (166); Geometric representation learning and manifolds (160); Equivariant graph and geometric networks (65),Graphs / geometry (331); LLM post-training (80); Transformer / attention (74); Diffusion / flow (73); Agents / tool use (62); Compression / efficiency (57); Reasoning / test-time compute (47); Bayesian / probabilistic (22),theory/synthetic (122); vision/video (108); language/llm (64); math/code/verifiable (48); security/safety (37); robotics/embodied (27); science/domain (21),Which Algorithms Can Graph Neural Networks Learn? | Towards Hierarchy–Uniformity Equilibrium: Recovering Semantic Depth in Hypergraph Contrastive Learning | PhenoBrain: Phenotype-Conditioned Long-Range Communication for Multi-Modal Brain Network Analysis | Necessary Conditions for Compositional Generalization of Embedding Models | MV-FGAD: Towards Efficient and Effective Federated Graph Anomaly Detection via Multi-view Learning | Foundations of Equivariant Deep Learning: Unifying Graph and Sheaf Neural Networks,Deep sequence models tend to memorize geometrically; it is unclear why. | Who Said Neural Networks Aren't Linear? | Thinking with Geometry: Active Geometry Integration for Spatial Reasoning | Revisiting the Platonic Representation Hypothesis: An Aristotelian View | From Kepler to Newton: Inductive Biases Guide Learned World Models in Transformers | A Deep Learning Model of Mental Rotation Informed by Interactive VR Experiments,MUSE: Resolving Manifold Misalignment in Visual Tokenization via Topological Orthogonality | Semantic Tube Prediction: Beating LLM Data Efficiency with JEPA | Adaptive Node Feature Selection for Graph Neural Networks | Any2Any: Unified Arbitrary Modality Translation for Remote Sensing | Thinking with Geometry: Active Geometry Integration for Spatial Reasoning,Deep sequence models tend to memorize geometrically; it is unclear why. | Who Said Neural Networks Aren't Linear? | Thinking with Geometry: Active Geometry Integration for Spatial Reasoning | Revisiting the Platonic Representation Hypothesis: An Aristotelian View | From Kepler to Newton: Inductive Biases Guide Learned World Models in Transformers
Generative Modeling,reports/area_briefing_cards/generative-modeling.md,moderate_review_need,50 low-confidence evidence-code rows in full area,379,0.0572,0.83,0.96,0.0047,0.3113,16,0,16,"Diffusion and flow models are splitting into practical media generation, language alternatives, and sampling theory.","Sampling-theory guarantees versus image/video generation quality and latency. | Autoregressive generation versus diffusion or flow-based sequence generation. | Better visual fidelity versus controllability, consistency, and editing reliability.","Do speedups preserve quality under realistic inference budgets? | Are theoretical sampling improvements visible in practical model behavior? | Does generation remain consistent over long videos, edits, or conditional controls?","Image/video diffusion and flow generation (243); Diffusion sampling, transport, and inverse problems (136)",Diffusion / flow (333); Graphs / geometry (91); Bayesian / probabilistic (89); LLM post-training (82); Transformer / attention (72); Compression / efficiency (60); Agents / tool use (46); RL / policy optimization (39),vision/video (220); theory/synthetic (120); language/llm (83); robotics/embodied (49); security/safety (39); science/domain (36); math/code/verifiable (33),A Random Matrix Perspective on the Consistency of Diffusion Models | High-accuracy sampling for diffusion models and log-concave distributions | High-accuracy and dimension-free sampling with diffusions | Transforming Weather Data from Pixel to Latent Space | Rex: A Family of Reversible Exponential (Stochastic) Runge-Kutta Solvers | Error Propagation Mechanisms and Compensation Strategies for Quantized Diffusion Models,One-step Latent-free Image Generation with Pixel Mean Flows | Causal Forcing: Autoregressive Diffusion Distillation Done Right for High-Quality Real-Time Video Generation | Dimension-free convergence of diffusion models for approximate Gaussian mixtures | Latent Forcing: Reordering the Diffusion Trajectory for Pixel-Space Image Generation | Deep Forcing: Training-Free Long Video Generation with Deep Sink and Participative Compression | Categorical Flow Maps,Self-Prompting Diffusion Transformer for Open-Vocabulary Scene Text Edit via In-Context Learning | Causal Forcing: Autoregressive Diffusion Distillation Done Right for High-Quality Real-Time Video Generation | Self-Supervised Flow Matching for Scalable Multi-Modal Synthesis | DyPE: Dynamic Position Extrapolation for Ultra High Resolution Diffusion | Coloring the Noise: Adversarial Sobolev Alignment for Faithful Image Super Resolution,
Reinforcement Learning and Control,reports/area_briefing_cards/reinforcement-learning-and-control.md,moderate_review_need,38 low-confidence evidence-code rows in full area,312,0.0471,0.76,0.66,0.0092,0.2051,16,0,16,"Core RL is active but less publicly amplified than LLM-facing RL, with emphasis on offline learning, control, and computation.",Classical RL/control objectives versus foundation-model-era policy learning. | Offline and preference-based RL versus online exploration and sample efficiency. | Theoretical computation limits versus practical robotic/control deployment.,"Does the method require online interaction or strong simulator assumptions? | How are stability, exploration, and reward misspecification handled? | Is the contribution algorithmic, theoretical, or a new evaluation/control setting?","Core RL, offline RL, and policy optimization (312)",RL / policy optimization (305); Agents / tool use (116); Diffusion / flow (82); Graphs / geometry (48); Compression / efficiency (45); Reasoning / test-time compute (38); LLM post-training (36); Bayesian / probabilistic (27),robotics/embodied (154); theory/synthetic (109); security/safety (50); math/code/verifiable (33); language/llm (30); vision/video (24); science/domain (1),On Computation and Reinforcement Learning | Learning Human-Robot Collaboration via Heterogeneous-Agent Lyapunov Policy Optimization | Distributional Inverse Reinforcement Learning | Chebyshev Policies and the Mountain Car Problem: Reinforcement Learning for Low-dimensional Control Tasks | Stabilizing the Q-Gradient Field for Policy Smoothness in Actor-Critic Methods | Video-Based Optimal Transport for Feedback-Efficient Offline Preference-Based Reinforcement Learning,"Reinforcement Learning with Verifiable Rewards: GRPO's Loss, Dynamics, and Success Amplification | Stabilizing MoE Reinforcement Learning by Aligning Training and Inference Routers | How Does the Lagrangian Guide Safe Reinforcement Learning through Diffusion Models? | Just-In-Time Reinforcement Learning: Continual Learning in LLM Agents Without Gradient Updates | T$^2$PO: Uncertainty-Guided Exploration Control for Stable Multi-Turn Agentic Reinforcement Learning | Parallel Stochastic Gradient-Based Planning for World Models",DADP: Domain Adaptive Diffusion Policy | Distributional Inverse Reinforcement Learning | Chunk-Guided Q-Learning | RulePlanner: All-in-One Reinforcement Learner for Unifying Design Rules in 3D Floorplanning | Optimizing Return Distributions with Distributional Dynamic Programming,
"Robotics, Embodiment, and World Models",reports/area_briefing_cards/robotics-embodiment-and-world-models.md,moderate_review_need,public attention exceeds program signal; 9 low-confidence evidence-code rows in full area,195,0.0294,0.81,2.11,0.0038,0.3795,16,0,16,"Robotics is becoming a high-attention testbed for VLA models, memory, latent actions, and world models.",Vision-language-action pretraining versus robot-specific policy learning. | Latent action/world-model abstractions versus real-world manipulation reliability. | Benchmark scaling versus sim-to-real and long-horizon generalization.,"Does the model actually improve physical task success or only representation quality? | Are actions, memory, and world states evaluated under distribution shift? | How much depends on synthetic data, simulation, or curated demonstrations?",Vision-language-action models and robotic manipulation (195),RL / policy optimization (104); Agents / tool use (81); Reasoning / test-time compute (59); Diffusion / flow (44); LLM post-training (42); Graphs / geometry (22); Compression / efficiency (21); Transformer / attention (21),robotics/embodied (171); vision/video (130); language/llm (103); theory/synthetic (55); math/code/verifiable (33); security/safety (19); science/domain (17),RoboMME: Benchmarking and Understanding Memory for Robotic Generalist Policies | From Pixels to Tokens: A Systematic Study of Latent Action Supervision for Vision-Language-Action Models | XR-1: Towards Versatile Vision-Language-Action Models via Learning Unified Vision-Motion Representations | From Abstraction to Instantiation: Learning Behavioral Representation for Vision-Language-Action Model | Learning Latent Action World Models In The Wild | Discrete Diffusion VLA: Bringing Discrete Diffusion to Action Decoding in Vision-Language-Action Policies,Learning Latent Action World Models In The Wild | Discrete Diffusion VLA: Bringing Discrete Diffusion to Action Decoding in Vision-Language-Action Policies | Temporal Straightening for Latent Planning | LangForce: Bayesian Decomposition of Vision Language Action Models via Latent Action Queries | Vision-Language-Action Pretraining from Large-Scale Human Videos | World Guidance: World Modeling in Condition Space for Action Generation,From Abstraction to Instantiation: Learning Behavioral Representation for Vision-Language-Action Model | LaST$_{0}$: Latent Spatio-Temporal Chain-of-Thought for Robotic Vision-Language-Action Model | Hydra-Nav: Object Navigation via Adaptive Dual-Process Reasoning | RoboTwin 2.0: A Scalable Data Generator and Benchmark with Strong Domain Randomization for Robust Bimanual Robotic Manipulation | VLANeXt: Recipes for Building Strong VLA Models,
