area,paper_count,github_url_count,github_url_share,benchmark_mention_count,benchmark_mention_share,dataset_mention_count,dataset_mention_share,metric_mention_count,metric_mention_share,top_primary_contribution_types,top_all_contribution_types,top_method_families,top_evaluation_settings,top_result_claim_types,evidence_confidence_mix,high_signal_examples
"AI for Science, Health, and Neuro",587,114,0.1942,12,0.0204,7,0.0119,212,0.3612,Benchmark / evaluation (194); Dataset / data resource (115); Method / algorithm (76); Theory / proof (63); System / infrastructure (47); Application / domain study (46); Position / conceptual (38); Uncoded (8),Method / algorithm (492); Application / domain study (228); Benchmark / evaluation (206); Dataset / data resource (200); Theory / proof (138); System / infrastructure (131); Position / conceptual (38),Diffusion / flow (180); Graphs / geometry (146); Transformer / attention (135); Agents / tool use (118); Compression / efficiency (110); LLM post-training (79); Bayesian / probabilistic (63); Reasoning / test-time compute (53),science/domain (252); theory/synthetic (169); vision/video (132); math/code/verifiable (93); language/llm (92); security/safety (58); robotics/embodied (48),state-of-the-art / improvement (387); scaling / efficiency (309); negative / limitation (260); robustness / safety (137),medium (464); low (122); very_low (1),Protein Autoregressive Modeling via Multiscale Structure Generation | dnaHNet: A Scalable and Hierarchical Foundation Model for Genomic Sequence Learning | Orthogonal Concept Erasure for Diffusion Models | LASER: Learning Active Sensing for Continuum Field Reconstruction | From Text to Forecasts: Bridging Modality Gap with Temporal Evolution Semantic Space | Training-Free Bayesian Filtering with Generative Emulators | Protein Fold Classification at Scale: Benchmarking and Pretraining | AI Engram: In Search of Memory Traces in Artificial Intelligence
"Agents, Code, and Tool Use",496,163,0.3286,77,0.1552,4,0.0081,178,0.3589,Benchmark / evaluation (276); Position / conceptual (55); Method / algorithm (48); Dataset / data resource (41); Theory / proof (35); System / infrastructure (27); Uncoded (7); Application / domain study (7),Method / algorithm (401); Benchmark / evaluation (301); System / infrastructure (147); Theory / proof (122); Dataset / data resource (106); Application / domain study (73); Position / conceptual (55),Agents / tool use (412); Reasoning / test-time compute (271); RL / policy optimization (150); LLM post-training (100); Graphs / geometry (63); Diffusion / flow (41); Compression / efficiency (35); Transformer / attention (24),language/llm (414); math/code/verifiable (213); theory/synthetic (90); robotics/embodied (79); security/safety (43); vision/video (30); science/domain (15),state-of-the-art / improvement (323); negative / limitation (254); scaling / efficiency (241); robustness / safety (116),medium (466); low (30),$\tau^2$-Bench: Evaluating Conversational Agents in a Dual-Control Environment | Agent0-VL: Exploring Self-Evolving Agent for Tool-Integrated Vision-Language Reasoning | daVinci-Dev: Agent-native Mid-training for Software Engineering | Monitoring Monitorability | Strategic Navigation or Stochastic Search? How Agents and Humans Reason Over Document Collections | CVE-Factory: Scaling Expert-Level Agentic Tasks for Code Security Vulnerability | SoftJAX & SoftTorch: Empowering Automatic Differentiation Libraries with Informative Gradients | OMAC: A Holistic Optimization Framework for LLM-Based Multi-Agent Collaboration
"Data-Centric, Causal, and Federated ML",526,86,0.1635,19,0.0361,3,0.0057,160,0.3042,Benchmark / evaluation (166); Dataset / data resource (143); Method / algorithm (68); Theory / proof (61); Position / conceptual (54); System / infrastructure (14); Application / domain study (12); Uncoded (8),Method / algorithm (468); Dataset / data resource (244); Theory / proof (181); Benchmark / evaluation (181); System / infrastructure (81); Application / domain study (66); Position / conceptual (54),Causal / data-centric (127); LLM post-training (126); Compression / efficiency (83); Agents / tool use (79); Graphs / geometry (78); Reasoning / test-time compute (65); Transformer / attention (56); Bayesian / probabilistic (51),theory/synthetic (200); language/llm (170); security/safety (112); vision/video (80); math/code/verifiable (50); robotics/embodied (31); science/domain (26),state-of-the-art / improvement (325); scaling / efficiency (222); negative / limitation (212); robustness / safety (170),medium (396); low (129); very_low (1),Pretrained Vision-Language-Action Models are Surprisingly Resistant to Forgetting in Continual Learning | Midtraining Bridges Pretraining and Posttraining Distributions | Expressivity-Efficiency Tradeoffs for Hybrid Sequence Models | DISCO: Mitigating Bias in Deep Learning with Conditional Distance Correlation | Exact Functional ANOVA Decomposition for Categorical Inputs | A Recursive Decomposition Framework for Causal Structure Learning in the Presence of Latent Variables | Incentivizing Truthfulness and Collaborative Fairness in Bayesian Learning | On the Identifiability of Poisson Branching Structural Causal Model Under Latent Confounding
Generative Modeling,379,115,0.3034,15,0.0396,3,0.0079,103,0.2718,Method / algorithm (101); Benchmark / evaluation (80); Dataset / data resource (65); Theory / proof (59); Position / conceptual (31); System / infrastructure (19); Application / domain study (14); Uncoded (10),Method / algorithm (347); Theory / proof (102); Dataset / data resource (93); Benchmark / evaluation (84); System / infrastructure (54); Application / domain study (34); Position / conceptual (31),Diffusion / flow (333); Graphs / geometry (91); Bayesian / probabilistic (89); LLM post-training (82); Transformer / attention (72); Compression / efficiency (60); Agents / tool use (46); RL / policy optimization (39),vision/video (220); theory/synthetic (120); language/llm (83); robotics/embodied (49); security/safety (39); science/domain (36); math/code/verifiable (33),state-of-the-art / improvement (251); scaling / efficiency (182); negative / limitation (144); robustness / safety (88),medium (329); low (50),A Random Matrix Perspective on the Consistency of Diffusion Models | High-accuracy sampling for diffusion models and log-concave distributions | High-accuracy and dimension-free sampling with diffusions | Transforming Weather Data from Pixel to Latent Space | Rex: A Family of Reversible Exponential (Stochastic) Runge-Kutta Solvers | Error Propagation Mechanisms and Compensation Strategies for Quantized Diffusion Models | Lottery Prior: Randomized Neural Compression for Zero-Shot Inverse Problems | Riemannian Metric Matching for Scalable Geometric Modeling of Distributions
"Graphs, Geometry, and Representation Learning",391,76,0.1944,7,0.0179,3,0.0077,91,0.2327,Benchmark / evaluation (104); Dataset / data resource (104); Method / algorithm (55); Theory / proof (51); Position / conceptual (44); System / infrastructure (15); Uncoded (10); Application / domain study (8),Method / algorithm (322); Dataset / data resource (176); Theory / proof (137); Benchmark / evaluation (118); Application / domain study (57); System / infrastructure (54); Position / conceptual (44),Graphs / geometry (331); LLM post-training (80); Transformer / attention (74); Diffusion / flow (73); Agents / tool use (62); Compression / efficiency (57); Reasoning / test-time compute (47); Bayesian / probabilistic (22),theory/synthetic (122); vision/video (108); language/llm (64); math/code/verifiable (48); security/safety (37); robotics/embodied (27); science/domain (21),state-of-the-art / improvement (236); negative / limitation (186); scaling / efficiency (157); robustness / safety (101),medium (279); low (112),Which Algorithms Can Graph Neural Networks Learn? | Foundations of Equivariant Deep Learning: Unifying Graph and Sheaf Neural Networks | Necessary Conditions for Compositional Generalization of Embedding Models | MV-FGAD: Towards Efficient and Effective Federated Graph Anomaly Detection via Multi-view Learning | PhenoBrain: Phenotype-Conditioned Long-Range Communication for Multi-Modal Brain Network Analysis | Towards Hierarchy–Uniformity Equilibrium: Recovering Semantic Depth in Hypergraph Contrastive Learning | Deep sequence models tend to memorize geometrically; it is unclear why. | Who Said Neural Networks Aren't Linear?
"LLM Reasoning, Post-Training, and RLVR",1099,349,0.3176,102,0.0928,3,0.0027,558,0.5077,Benchmark / evaluation (460); Method / algorithm (192); Dataset / data resource (142); Position / conceptual (112); Theory / proof (94); System / infrastructure (42); Uncoded (32); Application / domain study (25),Method / algorithm (974); Benchmark / evaluation (501); Dataset / data resource (294); Theory / proof (258); System / infrastructure (146); Position / conceptual (112); Application / domain study (111),Reasoning / test-time compute (608); RL / policy optimization (468); LLM post-training (468); Agents / tool use (290); Diffusion / flow (234); Compression / efficiency (180); Transformer / attention (154); Graphs / geometry (119),language/llm (1019); math/code/verifiable (308); theory/synthetic (226); robotics/embodied (120); security/safety (117); vision/video (66); science/domain (31),state-of-the-art / improvement (757); scaling / efficiency (556); negative / limitation (466); robustness / safety (221),medium (1029); low (70),How much can language models memorize? | The Flexibility Trap: Rethinking the Value of Arbitrary Order in Diffusion Language Models | Maximum Likelihood Reinforcement Learning | Reinforcement Learning with Evolving Rubrics for Deep Research | Activation Oracles: Training and Evaluating LLMs as General-Purpose Activation Explainers | WeDLM: Reconciling Diffusion Language Models with Standard Causal Attention for Fast Inference | OPUS: Towards Efficient and Principled Data Selection in Large Language Model Pre-training in Every Iteration | Learning to Theorize the World from Observation
"Multimodal, Vision, and Perception",889,262,0.2947,100,0.1125,7,0.0079,313,0.3521,Benchmark / evaluation (436); Dataset / data resource (141); Method / algorithm (126); Position / conceptual (76); Theory / proof (49); System / infrastructure (35); Application / domain study (16); Uncoded (10),Method / algorithm (764); Benchmark / evaluation (475); Dataset / data resource (328); Theory / proof (162); System / infrastructure (143); Application / domain study (105); Position / conceptual (76),Reasoning / test-time compute (297); LLM post-training (277); Agents / tool use (231); Graphs / geometry (217); Transformer / attention (189); Diffusion / flow (179); Compression / efficiency (138); RL / policy optimization (127),vision/video (763); language/llm (468); math/code/verifiable (181); security/safety (133); robotics/embodied (124); theory/synthetic (93); science/domain (58),state-of-the-art / improvement (654); negative / limitation (435); scaling / efficiency (424); robustness / safety (256),medium (800); low (89),Motion Attribution for Video Generation | Holi-Spatial: Evolving Video Streams into Holistic 3D Spatial Intelligence | Bad Seeing or Bad Thinking? Rewarding Perception for Multimodal Reasoning | Are VLMs Seeing or Just Saying? Uncovering the Illusion of Visual Re-examination | 3ViewSense: Spatial and Mental Perspective Reasoning from Orthographic Views in Vision-Language Models | Mind Your Margin and Boundary: Are Your Distilled Datasets Truly Robust? | CLEAR: Context-Aware Learning with End-to-End Mask-Free Inference for Adaptive Subtitle Removal | Multimodal Nested Learning for Decoupled and Coordinated Optimization
Reinforcement Learning and Control,312,64,0.2051,16,0.0513,0,0.0,116,0.3718,Benchmark / evaluation (105); Theory / proof (82); Method / algorithm (53); Position / conceptual (26); System / infrastructure (15); Application / domain study (14); Dataset / data resource (12); Uncoded (5),Method / algorithm (282); Theory / proof (130); Benchmark / evaluation (118); System / infrastructure (47); Application / domain study (46); Dataset / data resource (41); Position / conceptual (26),RL / policy optimization (305); Agents / tool use (116); Diffusion / flow (82); Graphs / geometry (48); Compression / efficiency (45); Reasoning / test-time compute (38); LLM post-training (36); Bayesian / probabilistic (27),robotics/embodied (154); theory/synthetic (109); security/safety (50); math/code/verifiable (33); language/llm (30); vision/video (24); science/domain (1),state-of-the-art / improvement (206); scaling / efficiency (126); negative / limitation (125); robustness / safety (94),medium (274); low (38),"On Computation and Reinforcement Learning | Learning Human-Robot Collaboration via Heterogeneous-Agent Lyapunov Policy Optimization | Distributional Inverse Reinforcement Learning | Chebyshev Policies and the Mountain Car Problem: Reinforcement Learning for Low-dimensional Control Tasks | Stabilizing the Q-Gradient Field for Policy Smoothness in Actor-Critic Methods | Video-Based Optimal Transport for Feedback-Efficient Offline Preference-Based Reinforcement Learning | Reinforcement Learning with Verifiable Rewards: GRPO's Loss, Dynamics, and Success Amplification | Stabilizing MoE Reinforcement Learning by Aligning Training and Inference Routers"
"Robotics, Embodiment, and World Models",195,73,0.3744,11,0.0564,1,0.0051,66,0.3385,Benchmark / evaluation (91); Application / domain study (34); Dataset / data resource (24); Method / algorithm (15); Position / conceptual (10); System / infrastructure (10); Theory / proof (9); Uncoded (2),Method / algorithm (164); Application / domain study (151); Benchmark / evaluation (96); Dataset / data resource (51); System / infrastructure (39); Theory / proof (29); Position / conceptual (10),RL / policy optimization (104); Agents / tool use (81); Reasoning / test-time compute (59); Diffusion / flow (44); LLM post-training (42); Graphs / geometry (22); Compression / efficiency (21); Transformer / attention (21),robotics/embodied (171); vision/video (130); language/llm (103); theory/synthetic (55); math/code/verifiable (33); security/safety (19); science/domain (17),state-of-the-art / improvement (146); scaling / efficiency (111); negative / limitation (101); robustness / safety (50),medium (186); low (8); very_low (1),RoboMME: Benchmarking and Understanding Memory for Robotic Generalist Policies | From Pixels to Tokens: A Systematic Study of Latent Action Supervision for Vision-Language-Action Models | XR-1: Towards Versatile Vision-Language-Action Models via Learning Unified Vision-Motion Representations | From Abstraction to Instantiation: Learning Behavioral Representation for Vision-Language-Action Model | Learning Latent Action World Models In The Wild | Discrete Diffusion VLA: Bringing Discrete Diffusion to Action Decoding in Vision-Language-Action Policies | Temporal Straightening for Latent Planning | LangForce: Bayesian Decomposition of Vision Language Action Models via Latent Action Queries
"Safety, Governance, Privacy, and Society",502,100,0.1992,28,0.0558,0,0.0,134,0.2669,Position / conceptual (153); Benchmark / evaluation (101); Method / algorithm (88); Dataset / data resource (71); Theory / proof (43); System / infrastructure (21); Uncoded (15); Application / domain study (10),Method / algorithm (391); Position / conceptual (153); Dataset / data resource (138); Benchmark / evaluation (133); Theory / proof (112); System / infrastructure (77); Application / domain study (52),Agents / tool use (169); LLM post-training (145); Reasoning / test-time compute (129); RL / policy optimization (79); Diffusion / flow (39); Transformer / attention (36); Compression / efficiency (34); Graphs / geometry (31),security/safety (360); language/llm (287); theory/synthetic (109); robotics/embodied (75); math/code/verifiable (65); vision/video (54); science/domain (9),robustness / safety (362); state-of-the-art / improvement (210); negative / limitation (202); scaling / efficiency (158),medium (373); low (129),The Obfuscation Atlas: Mapping Where Honesty Emerges in RLVR with Deception Probes | Position: AI/ML Deepfake Research is Misaligned with AI Generated Non-Consensual Intimate Imagery (AIG-NCII) | Position: The Alignment Community is Unintentionally Building a Censor’s Toolkit | Position: Anthropomorphic Misalignment Research Needs Stronger Evidence | Position: Stop Automating Peer Review Without Rigorous Evaluation | Jailbreak Foundry: From Papers to Runnable Attacks for Reproducible Benchmarking | Quantifying Frontier LLM Capabilities for Container Sandbox Escape | When the Prompt Becomes Visual: Vision-Centric Jailbreak Attacks for Large Image Editing Models
Systems and Efficient Foundation Models,515,126,0.2447,27,0.0524,2,0.0039,305,0.5922,Benchmark / evaluation (135); Theory / proof (103); System / infrastructure (98); Method / algorithm (72); Dataset / data resource (45); Position / conceptual (37); Application / domain study (19); Uncoded (6),Method / algorithm (467); System / infrastructure (272); Theory / proof (170); Benchmark / evaluation (139); Dataset / data resource (73); Application / domain study (43); Position / conceptual (37),Compression / efficiency (266); Transformer / attention (164); Agents / tool use (138); LLM post-training (130); Reasoning / test-time compute (68); Graphs / geometry (57); Diffusion / flow (52); RL / policy optimization (31),language/llm (324); theory/synthetic (129); math/code/verifiable (105); vision/video (69); security/safety (33); robotics/embodied (24); science/domain (8),scaling / efficiency (403); state-of-the-art / improvement (348); negative / limitation (188); robustness / safety (72),medium (438); low (77),Controlled LLM Training on Spectral Sphere | POET-X: Memory-efficient LLM Training by Scaling Orthogonal Transformation | FlashSinkhorn: IO-Aware Entropic Optimal Transport on GPU | ECHO: Elastic Speculative Decoding with Sparse Gating for High-Concurrency Scenarios | FlashSketch: Sketch-Kernel Co-Design for Fast Sparse Sketching on GPUs | MuonSSM: Orthogonalizing State Space Models for Sequence Modeling | CAT-Q: Cost-efficient and Accurate Ternary Quantization for LLMs | ReQAT: Achieving Full-Precision Reasoning Accuracy with 4-bit Floating-Point Quantization-Aware Training
"Theory, Optimization, and Algorithms",737,87,0.118,9,0.0122,3,0.0041,190,0.2578,Theory / proof (372); Dataset / data resource (101); Benchmark / evaluation (99); Method / algorithm (78); Position / conceptual (53); Uncoded (15); System / infrastructure (12); Application / domain study (7),Method / algorithm (629); Theory / proof (527); Dataset / data resource (137); System / infrastructure (108); Benchmark / evaluation (107); Position / conceptual (53); Application / domain study (41),Bayesian / probabilistic (188); Transformer / attention (121); Diffusion / flow (115); Graphs / geometry (98); Agents / tool use (86); Compression / efficiency (82); RL / policy optimization (76); LLM post-training (52),theory/synthetic (475); language/llm (88); robotics/embodied (72); security/safety (65); math/code/verifiable (53); vision/video (45); science/domain (17),state-of-the-art / improvement (313); scaling / efficiency (312); negative / limitation (227); robustness / safety (161),medium (476); low (260); very_low (1),To Grok Grokking: Provable Grokking in Ridge Regression | Equivalence of Context and Parameter Updates in Modern Transformer Blocks | Non-Euclidean Gradient Descent Operates at the Edge of Stability | Markov Chain Monte Carlo without Evaluating the Target: an Auxiliary Variable Approach | Optimal Decision-Making Based on Prediction Sets | Rational Transductors | On the Convergence Rate of LoRA Gradient Descent | Nash Equilibria in Games with Playerwise Concave Coupling Constraints: Existence and Computation
