group,paper_count,paper_share,oral_count,oral_rate,oral_share,oral_enrichment,award_count,award_rate,award_share,award_enrichment,total_public_votes,votes_per_paper,public_vote_share,public_attention_enrichment,program_vs_public_delta,high_signal_papers,public_not_program_papers,program_low_public_papers
"Theory, Optimization, and Algorithms",737,0.1112,27,0.0366,0.1607,1.45,1,0.0014,0.1111,1.0,3103,4.21,0.0513,0.46,0.98,To Grok Grokking: Provable Grokking in Ridge Regression | Equivalence of Context and Parameter Updates in Modern Transformer Blocks | Non-Euclidean Gradient Descent Operates at the Edge of Stability | Markov Chain Monte Carlo without Evaluating the Target: an Auxiliary Variable Approach | Optimal Decision-Making Based on Prediction Sets | Rational Transductors | On the Convergence Rate of LoRA Gradient Descent | Nash Equilibria in Games with Playerwise Concave Coupling Constraints: Existence and Computation,Unifying and Optimizing Data Values for Selection via Sequential Decision-Making | Dimensional Collapse in Transformer Attention Outputs: A Challenge for Sparse Dictionary Learning | Weight-sparse transformers have interpretable circuits | You Need Better Attention Priors | Do Transformers Need Three Projections? Systematic Study of QKV Variants | Patterning: The Dual of Interpretability | Universal Approximation with Softmax Attention | Deriving Neural Scaling Laws from the Statistics of Natural Language,Path-dependent Discrete Amortized Inference | Robust Contextual Optimization with Missing Covariates | DPO Unchained: Your Training Algorithm is Secretly Disentangled in Human Choice Theory (and Its Loss' Convexity is Dispensable) | Equilibrium Pricing in Oligopolistic Data Markets | Minimax Optimal Strategy for Delayed Observations in Online Reinforcement Learning | Revenue Efficiency of Correlated Equilibria in First Price Auctions | Second-Order Smooth Planning with Optimal-Transport Bellman Smoothing | Towards Fair Sequential Decision-Making: A Causal Decomposition Approach
"Safety, Governance, Privacy, and Society",502,0.0757,18,0.0359,0.1071,1.41,3,0.006,0.3333,4.4,2328,4.64,0.0385,0.51,0.91,The Obfuscation Atlas: Mapping Where Honesty Emerges in RLVR with Deception Probes | Position: AI/ML Deepfake Research is Misaligned with AI Generated Non-Consensual Intimate Imagery (AIG-NCII) | Position: The Alignment Community is Unintentionally Building a Censor’s Toolkit | Position: Anthropomorphic Misalignment Research Needs Stronger Evidence | Position: Stop Automating Peer Review Without Rigorous Evaluation | Jailbreak Foundry: From Papers to Runnable Attacks for Reproducible Benchmarking | Quantifying Frontier LLM Capabilities for Container Sandbox Escape | When the Prompt Becomes Visual: Vision-Centric Jailbreak Attacks for Large Image Editing Models,Chain-of-Thought Reasoning In The Wild Is Not Always Faithful | The Assistant Axis: Situating and Stabilizing the Default Persona of Language Models | Reasoning Models Struggle to Control their Chains of Thought | Towards a Science of AI Agent Reliability | Is Vibe Coding Safe? Benchmarking Vulnerability of Agent-Generated Code in Real-World Tasks | Who’s in Charge? Disempowerment Patterns in Real-World LLM Usage | Position: AGI Requires a Coordination Layer on Top of Pattern Repositories | Think Twice Before You Act: Enhancing Agent Behavioral Safety with Thought Correction,"Robust Harmful Features Under Jailbreak Attacks: Mechanistic Evidence from Attention Head Specialization in Large Language Models | Position: AI Should Facilitate Democratic Deliberation at Scale | Position: AI/ML Deepfake Research is Misaligned with AI Generated Non-Consensual Intimate Imagery (AIG-NCII) | Position: Don't Just ""Fix it in Post'': A Science of AI Must Study Learning Dynamics | Position: The AI Imperative: Scaling High-Quality Peer Review in Machine Learning | Position: The Alignment Community is Unintentionally Building a Censor’s Toolkit | Position: There are futures that benchmark-driven AI cannot see | GoodDiffusion: Proactive Copyright Protection for Diffusion Generative Models via Learnable Sample-specific Signatures"
"LLM Reasoning, Post-Training, and RLVR",1099,0.1658,36,0.0328,0.2143,1.29,2,0.0018,0.2222,1.34,20383,18.55,0.3373,2.03,-0.74,How much can language models memorize? | The Flexibility Trap: Rethinking the Value of Arbitrary Order in Diffusion Language Models | Maximum Likelihood Reinforcement Learning | Reinforcement Learning with Evolving Rubrics for Deep Research | Activation Oracles: Training and Evaluating LLMs as General-Purpose Activation Explainers | WeDLM: Reconciling Diffusion Language Models with Standard Causal Attention for Fast Inference | OPUS: Towards Efficient and Principled Data Selection in Large Language Model Pre-training in Every Iteration | Learning to Theorize the World from Observation,"Process Reward Models That Think | Reinforcement Learning via Self-Distillation | Agent Learning via Early Experience | GDPO: Group reward-Decoupled Normalization Policy Optimization for Multi-reward RL Optimization | On the Interplay of Pre-Training, Mid-Training, and RL on Reasoning Language Models | Latent Collaboration in Multi-Agent Systems | Self-Distilled Reasoner: On-Policy Self-Distillation for Large Language Models | Not All Rollouts are Useful: Down-Sampling Rollouts in LLM Reinforcement Learning",Diffract: Spectral View of LLM Domain Adaptation | FlatLand: Personalized Graph Federated Learning via Tailored Lorentz Space | Information Flow Reveals When to Trust Language Models | On the Limits of LLM Adaptability: Impact of LLM Pre-Training on Annotation Task Performance | Don't Force the Fit: Bounded Log-Likelihood Loss for Enhanced Reasoning in Large Language Models | TG-RAG: A Retrieval-Augmented Framework for Reasoning Guidance in Specialized Domains | Understanding Reasoning Collapse in LLM Agent Reinforcement Learning | Evaluating Robustness of Reasoning Models on Parameterized Logical Problems
"Agents, Code, and Tool Use",496,0.0748,15,0.0302,0.0893,1.19,0,0.0,0.0,0.0,6878,13.87,0.1138,1.52,-0.33,$\tau^2$-Bench: Evaluating Conversational Agents in a Dual-Control Environment | Agent0-VL: Exploring Self-Evolving Agent for Tool-Integrated Vision-Language Reasoning | daVinci-Dev: Agent-native Mid-training for Software Engineering | Monitoring Monitorability | Strategic Navigation or Stochastic Search? How Agents and Humans Reason Over Document Collections | CVE-Factory: Scaling Expert-Level Agentic Tasks for Code Security Vulnerability | SoftJAX & SoftTorch: Empowering Automatic Differentiation Libraries with Informative Gradients | OMAC: A Holistic Optimization Framework for LLM-Based Multi-Agent Collaboration,Learning to Discover at Test Time | PaperBanana: Automating Academic Illustration for AI Scientists | ToolOrchestra: Elevating Intelligence via Efficient Model and Tool Orchestration | MemEvolve: Meta-Evolution of Agent Memory Systems | Agent World Model: Infinity Synthetic Environments for Agentic Reinforcement Learning | Scaling Long-Horizon Agent via Context Folding | DeepAnalyze: Agentic Large Language Models for Autonomous Data Science | Toward Training Superintelligent Software Agents through Self-Play SWE-RL,CausalGame: Benchmarking Causal Thinking of LLM Agents in Games | Characterizing Agents in Production | VenusBench-Mobile: A Challenging and User-Centric Benchmark for Mobile GUI Agents with Capability Diagnostics | Unsupervised Partner Design Enables Robust Ad-hoc Teamwork | A Systematic Study of Behavioral Cloning for Scientific Data Annotation | From Feasible to Practical: Pareto-Optimal Synthesis Planning | Guaranteed Optimal Compositional Explanations for Neurons | OMAC: A Holistic Optimization Framework for LLM-Based Multi-Agent Collaboration
"AI for Science, Health, and Neuro",587,0.0886,16,0.0273,0.0952,1.08,0,0.0,0.0,0.0,1764,3.01,0.0292,0.33,0.75,Protein Autoregressive Modeling via Multiscale Structure Generation | dnaHNet: A Scalable and Hierarchical Foundation Model for Genomic Sequence Learning | Orthogonal Concept Erasure for Diffusion Models | LASER: Learning Active Sensing for Continuum Field Reconstruction | From Text to Forecasts: Bridging Modality Gap with Temporal Evolution Semantic Space | Training-Free Bayesian Filtering with Generative Emulators | Protein Fold Classification at Scale: Benchmarking and Pretraining | AI Engram: In Search of Memory Traces in Artificial Intelligence,GeoPT: Scaling Physics Simulation via Lifted Geometric Pre-Training | TSRBench: A Comprehensive Multi-task Multi-modal Time Series Reasoning Benchmark for Generalist Models | Understanding Self-Supervised Learning via Latent Distribution Matching | OpenTSLM: Time-Series Language Models for Reasoning over Multivariate Medical Text- and Time-Series Data | Universal Learning of Nonlinear Dynamics | Walrus: A Cross-domain Foundation Model for Continuum Dynamics | Transolver-3: Scaling Up Transformer Solvers to Industrial-Scale Geometries | Scaling Vision Transformers for Functional MRI with Flat Maps,"AI Engram: In Search of Memory Traces in Artificial Intelligence | CoEvol-NO: State and Coordinate Co-Evolution with an Error-Driven Predictor-Corrector Paradigm for Neural Operator Transformer | Geometric Flow Grounding: A Unified Manifold Decoupling Framework for Dynamics Discovery and Verification | ReViT: Rotational-equivariant Vision Transformers for Neural PDE Solvers | Solving Time-Dependent Differential Equations with Physical Dynamical Systems | FLIP2: Expanding Protein Fitness Landscape Benchmarks for Real-World Machine Learning Applications | Towards Sub-second Biological Foundation Model Infrastructure: A Quantized Consistency Diffusion Framework for Molecular Docking | ConFlux: Multivariate Time Series in Flux, One Unified Forecast in Confluence"
Generative Modeling,379,0.0572,8,0.0211,0.0476,0.83,2,0.0053,0.2222,3.89,3319,8.76,0.0549,0.96,-0.13,A Random Matrix Perspective on the Consistency of Diffusion Models | High-accuracy sampling for diffusion models and log-concave distributions | High-accuracy and dimension-free sampling with diffusions | Transforming Weather Data from Pixel to Latent Space | Rex: A Family of Reversible Exponential (Stochastic) Runge-Kutta Solvers | Error Propagation Mechanisms and Compensation Strategies for Quantized Diffusion Models | Lottery Prior: Randomized Neural Compression for Zero-Shot Inverse Problems | Riemannian Metric Matching for Scalable Geometric Modeling of Distributions,One-step Latent-free Image Generation with Pixel Mean Flows | Causal Forcing: Autoregressive Diffusion Distillation Done Right for High-Quality Real-Time Video Generation | Dimension-free convergence of diffusion models for approximate Gaussian mixtures | Deep Forcing: Training-Free Long Video Generation with Deep Sink and Participative Compression | Latent Forcing: Reordering the Diffusion Trajectory for Pixel-Space Image Generation | Categorical Flow Maps | One-Step Residual Shifting Diffusion for Image Super-Resolution via Distillation | (1D) Ordered Tokens Enable Efficient Test-Time Search,Lottery Prior: Randomized Neural Compression for Zero-Shot Inverse Problems | Riemannian Metric Matching for Scalable Geometric Modeling of Distributions | Error Propagation Mechanisms and Compensation Strategies for Quantized Diffusion Models | Rex: A Family of Reversible Exponential (Stochastic) Runge-Kutta Solvers | High-accuracy sampling for diffusion models and log-concave distributions | Transforming Weather Data from Pixel to Latent Space | A Random Matrix Perspective on the Consistency of Diffusion Models | High-accuracy and dimension-free sampling with diffusions
"Robotics, Embodiment, and World Models",195,0.0294,4,0.0205,0.0238,0.81,0,0.0,0.0,0.0,3743,19.19,0.0619,2.11,-1.3,RoboMME: Benchmarking and Understanding Memory for Robotic Generalist Policies | From Pixels to Tokens: A Systematic Study of Latent Action Supervision for Vision-Language-Action Models | XR-1: Towards Versatile Vision-Language-Action Models via Learning Unified Vision-Motion Representations | From Abstraction to Instantiation: Learning Behavioral Representation for Vision-Language-Action Model | Learning Latent Action World Models In The Wild | Discrete Diffusion VLA: Bringing Discrete Diffusion to Action Decoding in Vision-Language-Action Policies | Temporal Straightening for Latent Planning | LangForce: Bayesian Decomposition of Vision Language Action Models via Latent Action Queries,Learning Latent Action World Models In The Wild | Discrete Diffusion VLA: Bringing Discrete Diffusion to Action Decoding in Vision-Language-Action Policies | Temporal Straightening for Latent Planning | LangForce: Bayesian Decomposition of Vision Language Action Models via Latent Action Queries | Vision-Language-Action Pretraining from Large-Scale Human Videos | World Guidance: World Modeling in Condition Space for Action Generation | RoboTwin 2.0: A Scalable Data Generator and Benchmark with Strong Domain Randomization for Robust Bimanual Robotic Manipulation | CaP-X: A Framework for Benchmarking and Improving Coding Agents for Robot Manipulation,From Abstraction to Instantiation: Learning Behavioral Representation for Vision-Language-Action Model | XR-1: Towards Versatile Vision-Language-Action Models via Learning Unified Vision-Motion Representations | From Pixels to Tokens: A Systematic Study of Latent Action Supervision for Vision-Language-Action Models | RoboMME: Benchmarking and Understanding Memory for Robotic Generalist Policies
Reinforcement Learning and Control,312,0.0471,6,0.0192,0.0357,0.76,0,0.0,0.0,0.0,1875,6.01,0.031,0.66,0.1,"On Computation and Reinforcement Learning | Learning Human-Robot Collaboration via Heterogeneous-Agent Lyapunov Policy Optimization | Distributional Inverse Reinforcement Learning | Chebyshev Policies and the Mountain Car Problem: Reinforcement Learning for Low-dimensional Control Tasks | Stabilizing the Q-Gradient Field for Policy Smoothness in Actor-Critic Methods | Video-Based Optimal Transport for Feedback-Efficient Offline Preference-Based Reinforcement Learning | Reinforcement Learning with Verifiable Rewards: GRPO's Loss, Dynamics, and Success Amplification | Stabilizing MoE Reinforcement Learning by Aligning Training and Inference Routers","Reinforcement Learning with Verifiable Rewards: GRPO's Loss, Dynamics, and Success Amplification | Stabilizing MoE Reinforcement Learning by Aligning Training and Inference Routers | How Does the Lagrangian Guide Safe Reinforcement Learning through Diffusion Models? | Just-In-Time Reinforcement Learning: Continual Learning in LLM Agents Without Gradient Updates | T$^2$PO: Uncertainty-Guided Exploration Control for Stable Multi-Turn Agentic Reinforcement Learning | Parallel Stochastic Gradient-Based Planning for World Models | Posterior Behavioral Cloning: Pretraining BC Policies for Efficient RL Finetuning | Synthesizing world models for bilevel planning",Video-Based Optimal Transport for Feedback-Efficient Offline Preference-Based Reinforcement Learning | Stabilizing the Q-Gradient Field for Policy Smoothness in Actor-Critic Methods | Chebyshev Policies and the Mountain Car Problem: Reinforcement Learning for Low-dimensional Control Tasks | Distributional Inverse Reinforcement Learning | Learning Human-Robot Collaboration via Heterogeneous-Agent Lyapunov Policy Optimization | On Computation and Reinforcement Learning
"Data-Centric, Causal, and Federated ML",526,0.0794,10,0.019,0.0595,0.75,0,0.0,0.0,0.0,3060,5.82,0.0506,0.64,0.11,Pretrained Vision-Language-Action Models are Surprisingly Resistant to Forgetting in Continual Learning | Midtraining Bridges Pretraining and Posttraining Distributions | Expressivity-Efficiency Tradeoffs for Hybrid Sequence Models | DISCO: Mitigating Bias in Deep Learning with Conditional Distance Correlation | Exact Functional ANOVA Decomposition for Categorical Inputs | A Recursive Decomposition Framework for Causal Structure Learning in the Presence of Latent Variables | Incentivizing Truthfulness and Collaborative Fairness in Bayesian Learning | On the Identifiability of Poisson Branching Structural Causal Model Under Latent Confounding,Self-Distillation Enables Continual Learning | Understanding LoRA as Knowledge Memory: An Empirical Analysis | ATLAS: Learning to Optimally Memorize the Context at Test Time | Retaining by Doing: The Role of On-Policy Data in Mitigating Forgetting | Artificial Hippocampus Networks for Efficient Long-Context Modeling | Extracting alignment data in open models | SAEmnesia: Erasing Concepts in Diffusion Models with Supervised Sparse Autoencoders | Test-Time Training Is Secretly Linear Attention,On the Identifiability of Poisson Branching Structural Causal Model Under Latent Confounding | Detecting the Semantic Fixed Point: A Geometric Framework for Efficient Inference | On the Difficulty of Learning a Meta-network for Training Data Selection | A Recursive Decomposition Framework for Causal Structure Learning in the Presence of Latent Variables | Incentivizing Truthfulness and Collaborative Fairness in Bayesian Learning | Exact Functional ANOVA Decomposition for Categorical Inputs | DISCO: Mitigating Bias in Deep Learning with Conditional Distance Correlation | Expressivity-Efficiency Tradeoffs for Hybrid Sequence Models
Systems and Efficient Foundation Models,515,0.0777,9,0.0175,0.0536,0.69,0,0.0,0.0,0.0,6165,11.97,0.102,1.31,-0.62,Controlled LLM Training on Spectral Sphere | POET-X: Memory-efficient LLM Training by Scaling Orthogonal Transformation | FlashSinkhorn: IO-Aware Entropic Optimal Transport on GPU | ECHO: Elastic Speculative Decoding with Sparse Gating for High-Concurrency Scenarios | FlashSketch: Sketch-Kernel Co-Design for Fast Sparse Sketching on GPUs | MuonSSM: Orthogonalizing State Space Models for Sequence Modeling | CAT-Q: Cost-efficient and Accurate Ternary Quantization for LLMs | ReQAT: Achieving Full-Precision Reasoning Accuracy with 4-bit Floating-Point Quantization-Aware Training,mHC: Manifold-Constrained Hyper-Connections | xKV: Cross-Layer KV-Cache Compression via Aligned Singular Vector Extraction | Evolution Strategies at the Hyperscale | Neural Thickets: Diverse Task Experts Are Dense Around Pretrained Weights | SimpleMem: Efficient Lifelong Memory for LLM Agents | Fast KV Compaction via Attention Matching | TriAttention: Efficient Long Reasoning with Trigonometric KV Compression | Memory Caching: RNNs with Growing Memory,MuonSSM: Orthogonalizing State Space Models for Sequence Modeling | CAT-Q: Cost-efficient and Accurate Ternary Quantization for LLMs | ReQAT: Achieving Full-Precision Reasoning Accuracy with 4-bit Floating-Point Quantization-Aware Training | Faster Activation Functions at the Edge for Post-Training Speedups | FlashSketch: Sketch-Kernel Co-Design for Fast Sparse Sketching on GPUs | ECHO: Elastic Speculative Decoding with Sparse Gating for High-Concurrency Scenarios | FlashSinkhorn: IO-Aware Entropic Optimal Transport on GPU | POET-X: Memory-efficient LLM Training by Scaling Orthogonal Transformation
"Graphs, Geometry, and Representation Learning",391,0.059,6,0.0153,0.0357,0.61,0,0.0,0.0,0.0,1371,3.51,0.0227,0.38,0.22,Which Algorithms Can Graph Neural Networks Learn? | Foundations of Equivariant Deep Learning: Unifying Graph and Sheaf Neural Networks | Necessary Conditions for Compositional Generalization of Embedding Models | MV-FGAD: Towards Efficient and Effective Federated Graph Anomaly Detection via Multi-view Learning | PhenoBrain: Phenotype-Conditioned Long-Range Communication for Multi-Modal Brain Network Analysis | Towards Hierarchy–Uniformity Equilibrium: Recovering Semantic Depth in Hypergraph Contrastive Learning | Deep sequence models tend to memorize geometrically; it is unclear why. | Who Said Neural Networks Aren't Linear?,Deep sequence models tend to memorize geometrically; it is unclear why. | Who Said Neural Networks Aren't Linear? | Thinking with Geometry: Active Geometry Integration for Spatial Reasoning | From Kepler to Newton: Inductive Biases Guide Learned World Models in Transformers | Revisiting the Platonic Representation Hypothesis: An Aristotelian View | A Deep Learning Model of Mental Rotation Informed by Interactive VR Experiments | Semantic Tube Prediction: Beating LLM Data Efficiency with JEPA | Dynamics Reveals Structure: Challenging the Linear Propagation Assumption,Foundations of Equivariant Deep Learning: Unifying Graph and Sheaf Neural Networks | Necessary Conditions for Compositional Generalization of Embedding Models | MV-FGAD: Towards Efficient and Effective Federated Graph Anomaly Detection via Multi-view Learning | PhenoBrain: Phenotype-Conditioned Long-Range Communication for Multi-Modal Brain Network Analysis | Towards Hierarchy–Uniformity Equilibrium: Recovering Semantic Depth in Hypergraph Contrastive Learning | Which Algorithms Can Graph Neural Networks Learn?
"Multimodal, Vision, and Perception",889,0.1341,13,0.0146,0.0774,0.58,1,0.0011,0.1111,0.83,6449,7.25,0.1067,0.8,-0.22,Motion Attribution for Video Generation | Holi-Spatial: Evolving Video Streams into Holistic 3D Spatial Intelligence | Bad Seeing or Bad Thinking? Rewarding Perception for Multimodal Reasoning | Are VLMs Seeing or Just Saying? Uncovering the Illusion of Visual Re-examination | 3ViewSense: Spatial and Mental Perspective Reasoning from Orthographic Views in Vision-Language Models | Mind Your Margin and Boundary: Are Your Distilled Datasets Truly Robust? | CLEAR: Context-Aware Learning with End-to-End Mask-Free Inference for Adaptive Subtitle Removal | Multimodal Nested Learning for Decoupled and Coordinated Optimization,A Very Big Video Reasoning Suite | Causal-JEPA: Learning World Models through Object-Level Latent Interventions | ExSkill: Continual Learning from Experience and Skills in Multimodal Agents | BabyVision: Visual Reasoning Beyond Language | Utonia: Toward One Encoder for All Point Clouds | World-R1: Reinforcing 3D Constraints for Text-to-Video Generation | DiffThinker: Towards Generative Multimodal Reasoning with Diffusion Models | WorldPlay: Towards Long-Term Geometric Consistency for Real-Time Interactive World Modeling,Multimodal Nested Learning for Decoupled and Coordinated Optimization | DroneDINO: Towards Heterogeneous Routed Mixture of Experts for Drone-based Unified Object Detection | Privacy-Aware Video Anomaly Detection: Guided Orthogonal Projection and a Comprehensive Evaluation Framework | DOUBT: Decoupled Object-level Understanding and Bridging via vMF-based Trustworthiness for Hallucination Detection in MLLMs | PhotoAgent: Exploratory Visual Aesthetic Planning with Large Vision Models | SpatioLM: Towards General Physical Spatial Intelligence in Vision-Language Models | Mind Your Margin and Boundary: Are Your Distilled Datasets Truly Robust? | CLEAR: Context-Aware Learning with End-to-End Mask-Free Inference for Adaptive Subtitle Removal
