semantic_cluster_id,area,subarea,review_status,group,paper_count,paper_share,oral_count,oral_rate,oral_share,oral_enrichment,award_count,award_rate,award_share,award_enrichment,total_public_votes,votes_per_paper,public_vote_share,public_attention_enrichment,program_vs_public_delta,high_signal_papers,public_not_program_papers,program_low_public_papers
37,"Safety, Governance, Privacy, and Society","Position papers, policy, and social impacts",stable_seed,37: ai / position / social / position paper,173,0.0261,10,0.0578,0.0595,2.28,2,0.0116,0.2222,8.51,887,5.13,0.0147,0.56,1.72,"Position: AI/ML Deepfake Research is Misaligned with AI Generated Non-Consensual Intimate Imagery (AIG-NCII) | Position: The Alignment Community is Unintentionally Building a Censor’s Toolkit | Position: Anthropomorphic Misalignment Research Needs Stronger Evidence | Position: Stop Automating Peer Review Without Rigorous Evaluation | Large Language Models Develop Novel Social Biases Through Adaptive Exploration | Position: Irresponsible AI: big tech’s influence on AI research and associated impacts | Position: AI Should Facilitate Democratic Deliberation at Scale | Position: Don't Just ""Fix it in Post'': A Science of AI Must Study Learning Dynamics","Chain-of-Thought Reasoning In The Wild Is Not Always Faithful | Reasoning Models Struggle to Control their Chains of Thought | Towards a Science of AI Agent Reliability | Who’s in Charge? Disempowerment Patterns in Real-World LLM Usage | Position: AGI Requires a Coordination Layer on Top of Pattern Repositories | Statistical Learning Theory in Lean 4: Empirical Processes from Scratch | Position: We Need A Unified Definition of Hallucination (It’s The World Model, Stupid!) | Position: Safety Must Precede the Deployment of Open-Ended AI Agents","Position: AI Should Facilitate Democratic Deliberation at Scale | Position: AI/ML Deepfake Research is Misaligned with AI Generated Non-Consensual Intimate Imagery (AIG-NCII) | Position: Don't Just ""Fix it in Post'': A Science of AI Must Study Learning Dynamics | Position: The AI Imperative: Scaling High-Quality Peer Review in Machine Learning | Position: The Alignment Community is Unintentionally Building a Censor’s Toolkit | Position: There are futures that benchmark-driven AI cannot see | Position: Irresponsible AI: big tech’s influence on AI research and associated impacts | Large Language Models Develop Novel Social Biases Through Adaptive Exploration"
20,"Theory, Optimization, and Algorithms",Transformer theory and attention expressivity,needs_review,20: transformers / attention / transformer / softmax,98,0.0148,5,0.051,0.0298,2.01,0,0.0,0.0,0.0,1266,12.92,0.0209,1.42,0.6,Equivalence of Context and Parameter Updates in Modern Transformer Blocks | Rational Transductors | Focus and Dilution: The Multi-stage Learning Process of Attention | On Minimum Depth and Width of Floating-Point Neural Networks for Representing Floating-Point Functions | The Expressivity Limits of Transformers | Dimensional Collapse in Transformer Attention Outputs: A Challenge for Sparse Dictionary Learning | Weight-sparse transformers have interpretable circuits | You Need Better Attention Priors,Dimensional Collapse in Transformer Attention Outputs: A Challenge for Sparse Dictionary Learning | Weight-sparse transformers have interpretable circuits | You Need Better Attention Priors | Do Transformers Need Three Projections? Systematic Study of QKV Variants | Patterning: The Dual of Interpretability | Universal Approximation with Softmax Attention | Deriving Neural Scaling Laws from the Statistics of Natural Language | Inverse Depth Scaling From Most Layers Being Similar,On Minimum Depth and Width of Floating-Point Neural Networks for Representing Floating-Point Functions | The Expressivity Limits of Transformers | Focus and Dilution: The Multi-stage Learning Process of Attention | Rational Transductors | Equivalence of Context and Parameter Updates in Modern Transformer Blocks
40,"Agents, Code, and Tool Use","Agent evaluation, tool use, and agentic workflows",stable_seed,40: agents / agent / evaluation / agentic,207,0.0312,10,0.0483,0.0595,1.91,0,0.0,0.0,0.0,3495,16.88,0.0578,1.85,0.05,$\tau^2$-Bench: Evaluating Conversational Agents in a Dual-Control Environment | Agent0-VL: Exploring Self-Evolving Agent for Tool-Integrated Vision-Language Reasoning | daVinci-Dev: Agent-native Mid-training for Software Engineering | Monitoring Monitorability | Strategic Navigation or Stochastic Search? How Agents and Humans Reason Over Document Collections | CVE-Factory: Scaling Expert-Level Agentic Tasks for Code Security Vulnerability | A Systematic Study of Behavioral Cloning for Scientific Data Annotation | CausalGame: Benchmarking Causal Thinking of LLM Agents in Games,PaperBanana: Automating Academic Illustration for AI Scientists | ToolOrchestra: Elevating Intelligence via Efficient Model and Tool Orchestration | Agent World Model: Infinity Synthetic Environments for Agentic Reinforcement Learning | DeepAnalyze: Agentic Large Language Models for Autonomous Data Science | Toward Training Superintelligent Software Agents through Self-Play SWE-RL | Benchmarking Agent Memory in Interdependent Multi-Session Agentic Tasks | AOrchestra: Automating Sub-Agent Creation for Agentic Orchestration | AMA-Bench: Evaluating Long-Horizon Memory for Agentic Applications,CausalGame: Benchmarking Causal Thinking of LLM Agents in Games | Characterizing Agents in Production | VenusBench-Mobile: A Challenging and User-Centric Benchmark for Mobile GUI Agents with Capability Diagnostics | A Systematic Study of Behavioral Cloning for Scientific Data Annotation | CVE-Factory: Scaling Expert-Level Agentic Tasks for Code Security Vulnerability | Strategic Navigation or Stochastic Search? How Agents and Humans Reason Over Document Collections | Monitoring Monitorability | daVinci-Dev: Agent-native Mid-training for Software Engineering
24,"LLM Reasoning, Post-Training, and RLVR","General LLM training, evaluation, and alignment",needs_review,24: language / language models / llms / large language,290,0.0438,14,0.0483,0.0833,1.9,0,0.0,0.0,0.0,2540,8.76,0.042,0.96,0.94,Activation Oracles: Training and Evaluating LLMs as General-Purpose Activation Explainers | Prescriptive Scaling Reveals the Evolution of Language Model Capabilities | Less is Enough: Synthesizing Diverse Data in Feature Space of LLMs | Mechanistic Data Attribution: Tracing the Training Origins of Interpretable LLM Units | Simultaneous Speech-to-Speech Translation Without Aligned Data | Procedural Pretraining: Warming Up Language Models with Abstract Data | TokSuite: Measuring the Impact of Tokenizer Choice on Language Model Behavior | VALUEFLOW: Toward Pluralistic and Steerable Value-based Alignment in Large Language Models,"How to Correctly Report LLM-as-a-Judge Evaluations | Verbalized Sampling: How to Mitigate Mode Collapse and Unlock LLM Diversity | Learning a Generative Meta-Model of LLM Activations | Ranking Free RAG: Replacing Re-ranking with Selection in RAG for Sensitive Domains | The Truth Lies Somewhere in the Middle (of the Generated Tokens) | The Information Geometry of Softmax: Probing and Steering | CAReDiO: Enhancing Cultural Alignment of LLM via Representativeness and Distinctiveness Guided Data Optimization | Decoupling The ""What"" and ""Where"" With Polar Coordinate Positional Embedding",Diffract: Spectral View of LLM Domain Adaptation | FlatLand: Personalized Graph Federated Learning via Tailored Lorentz Space | Information Flow Reveals When to Trust Language Models | On the Limits of LLM Adaptability: Impact of LLM Pre-Training on Annotation Task Performance | Rare Event Analysis of Large Language Models | Benchmarking at the Edge of Comprehension | VALUEFLOW: Toward Pluralistic and Steerable Value-based Alignment in Large Language Models | TokSuite: Measuring the Impact of Tokenizer Choice on Language Model Behavior
32,"Theory, Optimization, and Algorithms",Bayesian and probabilistic methods,stable_seed,32: bayesian / probabilistic / posterior / probabilistic methods,125,0.0189,6,0.048,0.0357,1.89,0,0.0,0.0,0.0,312,2.5,0.0052,0.27,1.62,Markov Chain Monte Carlo without Evaluating the Target: an Auxiliary Variable Approach | SVRG and Beyond via Posterior Correction | DiScoFormer: Plug-In Density and Score Estimation with Transformers | Disentangling Latent Risk Pathways via Bayesian Hypergraph Inference | Path-dependent Discrete Amortized Inference | Robust Contextual Optimization with Missing Covariates | VJEPA: Variational Joint Embedding Predictive Architectures as Probabilistic World Models | Var-JEPA: Variational Joint-Embedding Predictive Architecture – Bridging Predictive and Generative Self-Supervised Learning,VJEPA: Variational Joint Embedding Predictive Architectures as Probabilistic World Models | Var-JEPA: Variational Joint-Embedding Predictive Architecture – Bridging Predictive and Generative Self-Supervised Learning | Transformers Can Learn Posterior Predictive Distributions In-Context | Empirical Gaussian Processes | Training-Free Distribution Adaptation for Diffusion Models via Maximum Mean Discrepancy Guidance | LABO: LLM-Accelerated Bayesian Optimization through Broad Exploration and Selective Experimentation | Variational Learning of Disentangled Representations | Calibrating Decision Robustness via Inverse Conformal Risk Control,Path-dependent Discrete Amortized Inference | Robust Contextual Optimization with Missing Covariates | DiScoFormer: Plug-In Density and Score Estimation with Transformers | Disentangling Latent Risk Pathways via Bayesian Hypergraph Inference | SVRG and Beyond via Posterior Correction | Markov Chain Monte Carlo without Evaluating the Target: an Auxiliary Variable Approach
13,"AI for Science, Health, and Neuro","Latent dynamics, neuroscience, and dynamical systems",needs_review,13: dynamics / networks / latent / dynamical,84,0.0127,4,0.0476,0.0238,1.88,0,0.0,0.0,0.0,268,3.19,0.0044,0.35,1.53,"Orthogonal Concept Erasure for Diffusion Models | AI Engram: In Search of Memory Traces in Artificial Intelligence | CoEvol-NO: State and Coordinate Co-Evolution with an Error-Driven Predictor-Corrector Paradigm for Neural Operator Transformer | Geometric Flow Grounding: A Unified Manifold Decoupling Framework for Dynamics Discovery and Verification | Universal Learning of Nonlinear Dynamics | Robust Filter Attention: Self-Attention as a Parallel State Estimator | The Geometric Mechanics of Contrastive Representation Learning: Alignment Potentials, Entropic Dispersion, and Cross-Modal Divergence | A Solvable High-Dimensional Model Where Nonlinear Autoencoders Learn Structure Invisible to PCA While Test Loss Misaligns With Generalization","Universal Learning of Nonlinear Dynamics | Robust Filter Attention: Self-Attention as a Parallel State Estimator | The Geometric Mechanics of Contrastive Representation Learning: Alignment Potentials, Entropic Dispersion, and Cross-Modal Divergence | A Solvable High-Dimensional Model Where Nonlinear Autoencoders Learn Structure Invisible to PCA While Test Loss Misaligns With Generalization | A unified theory of feature learning in RNNs and DNNs | Towards Spectroscopy: Susceptibility Clusters in Language Models | Finite-Width Neural Tangent Kernels from Feynman Diagrams | The Entropic Signature of Class Speciation in Diffusion Models",AI Engram: In Search of Memory Traces in Artificial Intelligence | CoEvol-NO: State and Coordinate Co-Evolution with an Error-Driven Predictor-Corrector Paradigm for Neural Operator Transformer | Geometric Flow Grounding: A Unified Manifold Decoupling Framework for Dynamics Discovery and Verification | Orthogonal Concept Erasure for Diffusion Models
11,"LLM Reasoning, Post-Training, and RLVR",Reasoning models and chain-of-thought behavior,needs_review,11: reasoning / language / large language / language models,211,0.0318,10,0.0474,0.0595,1.87,1,0.0047,0.1111,3.49,3865,18.32,0.0639,2.01,-0.14,"The Flexibility Trap: Rethinking the Value of Arbitrary Order in Diffusion Language Models | Learning to Theorize the World from Observation | Characterizing, Evaluating, and Optimizing Complex Reasoning | Towards Long-Horizon Interpretability: Efficient and Faithful Multi-Token Attribution for Reasoning LLMs | Skip a Layer or Loop It? Learning Program-of-Layers in LLMs | The Signal is in the Steps: Local Scoring for Reasoning Data Selection | Modeling Hierarchical Thinking in Large Reasoning Models | Evaluating Robustness of Reasoning Models on Parameterized Logical Problems","Latent Collaboration in Multi-Agent Systems | Self-Distilled Reasoner: On-Policy Self-Distillation for Large Language Models | Position: Stop Anthropomorphizing Intermediate Tokens as Reasoning/Thinking Traces! | Efficient Reasoning with Hidden Thinking | Imagination Helps Visual Reasoning, But Not Yet in Latent Space | Think Deep, Not Just Long: Measuring LLM Reasoning Effort via Deep-Thinking Tokens | VisualPuzzles: Decoupling Multimodal Reasoning Evaluation from Domain Knowledge | What Characterizes Effective Reasoning? Revisiting Length, Review, and Structure of CoT","TG-RAG: A Retrieval-Augmented Framework for Reasoning Guidance in Specialized Domains | Understanding Reasoning Collapse in LLM Agent Reinforcement Learning | Evaluating Robustness of Reasoning Models on Parameterized Logical Problems | Modeling Hierarchical Thinking in Large Reasoning Models | The Signal is in the Steps: Local Scoring for Reasoning Data Selection | Skip a Layer or Loop It? Learning Program-of-Layers in LLMs | Towards Long-Horizon Interpretability: Efficient and Faithful Multi-Token Attribution for Reasoning LLMs | Characterizing, Evaluating, and Optimizing Complex Reasoning"
33,"Theory, Optimization, and Algorithms","Online learning, bandits, and regret",stable_seed,33: regret / online / bandits / algorithm,172,0.026,8,0.0465,0.0476,1.83,0,0.0,0.0,0.0,631,3.67,0.0104,0.4,1.43,Nash Equilibria in Games with Playerwise Concave Coupling Constraints: Existence and Computation | DPO Unchained: Your Training Algorithm is Secretly Disentangled in Human Choice Theory (and Its Loss' Convexity is Dispensable) | Equilibrium Pricing in Oligopolistic Data Markets | Minimax Optimal Strategy for Delayed Observations in Online Reinforcement Learning | Revenue Efficiency of Correlated Equilibria in First Price Auctions | Second-Order Smooth Planning with Optimal-Transport Bellman Smoothing | Towards Fair Sequential Decision-Making: A Causal Decomposition Approach | What Preferences Can—and Cannot—Predict in Multi-Agent Online Learning,Unifying and Optimizing Data Values for Selection via Sequential Decision-Making | Emergent Alignment via Competition | Finite and Corruption-Robust Regret Bounds in Online Inverse Linear Optimization under M-Convex Action Sets | Decision-Focused Learning via Tangent-Space Projection of Prediction Error | PETS: A Principled Framework Towards Optimal Trajectory Allocation for Efficient Test-Time Self-Consistency | Post-Training with Policy Gradients: Optimality and the Base Model Barrier | Next-Token Prediction and Regret Minimization | Non-Stationary Online Structured Prediction with Surrogate Losses,DPO Unchained: Your Training Algorithm is Secretly Disentangled in Human Choice Theory (and Its Loss' Convexity is Dispensable) | Equilibrium Pricing in Oligopolistic Data Markets | Minimax Optimal Strategy for Delayed Observations in Online Reinforcement Learning | Revenue Efficiency of Correlated Equilibria in First Price Auctions | Second-Order Smooth Planning with Optimal-Transport Bellman Smoothing | Towards Fair Sequential Decision-Making: A Causal Decomposition Approach | What Preferences Can—and Cannot—Predict in Multi-Agent Online Learning | Nash Equilibria in Games with Playerwise Concave Coupling Constraints: Existence and Computation
8,Generative Modeling,"Diffusion sampling, transport, and inverse problems",stable_seed,8: diffusion / sampling / diffusion models / generative,136,0.0205,6,0.0441,0.0357,1.74,2,0.0147,0.2222,10.83,739,5.43,0.0122,0.6,1.14,A Random Matrix Perspective on the Consistency of Diffusion Models | High-accuracy sampling for diffusion models and log-concave distributions | High-accuracy and dimension-free sampling with diffusions | Rex: A Family of Reversible Exponential (Stochastic) Runge-Kutta Solvers | Lottery Prior: Randomized Neural Compression for Zero-Shot Inverse Problems | Riemannian Metric Matching for Scalable Geometric Modeling of Distributions | Dimension-free convergence of diffusion models for approximate Gaussian mixtures | Weak Diffusion Priors Can Still Achieve Strong Inverse-Problem Performance,"Dimension-free convergence of diffusion models for approximate Gaussian mixtures | Weak Diffusion Priors Can Still Achieve Strong Inverse-Problem Performance | Conditional Diffusion Sampling | Likelihood Matching for Diffusion Models | A theory of learning data statistics in diffusion models, from easy to hard | Categorical Reparameterization with Denoising Diffusion models | Diffusion differentiable resampling | Fast and Scalable Analytical Diffusion",Lottery Prior: Randomized Neural Compression for Zero-Shot Inverse Problems | Riemannian Metric Matching for Scalable Geometric Modeling of Distributions | Rex: A Family of Reversible Exponential (Stochastic) Runge-Kutta Solvers | High-accuracy sampling for diffusion models and log-concave distributions | A Random Matrix Perspective on the Consistency of Diffusion Models | High-accuracy and dimension-free sampling with diffusions
29,Systems and Efficient Foundation Models,"Serving, GPU memory, MoE, and throughput",stable_seed,29: llm / memory / gpu / throughput,116,0.0175,5,0.0431,0.0298,1.7,0,0.0,0.0,0.0,715,6.16,0.0118,0.68,1.02,"POET-X: Memory-efficient LLM Training by Scaling Orthogonal Transformation | FlashSinkhorn: IO-Aware Entropic Optimal Transport on GPU | ECHO: Elastic Speculative Decoding with Sparse Gating for High-Concurrency Scenarios | FlashSketch: Sketch-Kernel Co-Design for Fast Sparse Sketching on GPUs | Faster Activation Functions at the Edge for Post-Training Speedups | Sparser, Faster, Lighter Transformer Language Models | ConceptMoE: Adaptive Token-to-Concept Compression for Implicit Compute Allocation | FlashOptim: Memory Efficient Optimizers for Large-Scale Training","Sparser, Faster, Lighter Transformer Language Models | ConceptMoE: Adaptive Token-to-Concept Compression for Implicit Compute Allocation | FlashOptim: Memory Efficient Optimizers for Large-Scale Training | DistFlow: A Fully Distributed RL Framework for Scalable and Efficient LLM Post-Training | Regression Language Models for Code | Multi-Head LatentMoE and Head Parallel: Communication-Efficient and Deterministic MoE Parallelism | Untied Ulysses: Memory-Efficient Context Parallelism via Headwise Chunking | Learning Query-Aware Budget-Tier Routing for Runtime Agent Memory",Faster Activation Functions at the Edge for Post-Training Speedups | FlashSketch: Sketch-Kernel Co-Design for Fast Sparse Sketching on GPUs | ECHO: Elastic Speculative Decoding with Sparse Gating for High-Concurrency Scenarios | FlashSinkhorn: IO-Aware Entropic Optimal Transport on GPU | POET-X: Memory-efficient LLM Training by Scaling Orthogonal Transformation
5,"Data-Centric, Causal, and Federated ML",Causal inference and causal discovery,stable_seed,5: causal / causality / learning causality / treatment,111,0.0167,4,0.036,0.0238,1.42,0,0.0,0.0,0.0,256,2.31,0.0042,0.25,1.17,DISCO: Mitigating Bias in Deep Learning with Conditional Distance Correlation | Exact Functional ANOVA Decomposition for Categorical Inputs | A Recursive Decomposition Framework for Causal Structure Learning in the Presence of Latent Variables | On the Identifiability of Poisson Branching Structural Causal Model Under Latent Confounding | Position: Causality is Key for Interpretability Claims to Generalise | From Generalist to Specialist Representation | Use What You Know: Causal Foundation Models with Partial Graphs | What Makes a Good Representation for Single-Cell Perturbation Prediction?,Position: Causality is Key for Interpretability Claims to Generalise | From Generalist to Specialist Representation | Use What You Know: Causal Foundation Models with Partial Graphs | What Makes a Good Representation for Single-Cell Perturbation Prediction? | CauScale: Neural Causal Discovery at Scale | Conditional Distributional Treatment Effects: Doubly Robust Estimation and Testing | Causal discovery for time series with endogenous context variables | Optimal structure learning and conditional independence testing,On the Identifiability of Poisson Branching Structural Causal Model Under Latent Confounding | A Recursive Decomposition Framework for Causal Structure Learning in the Presence of Latent Variables | Exact Functional ANOVA Decomposition for Categorical Inputs | DISCO: Mitigating Bias in Deep Learning with Conditional Distance Correlation
23,"Safety, Governance, Privacy, and Society","Privacy, differential privacy, and unlearning",stable_seed,23: privacy / private / dp / aspects privacy,84,0.0127,3,0.0357,0.0179,1.41,0,0.0,0.0,0.0,176,2.1,0.0029,0.23,1.18,"Is Your LLM Overcharging You? Tokenization, Transparency, and Incentives | PRISM: Gauge-Invariant Tangent-Space Differentially Private LoRA | GoodDiffusion: Proactive Copyright Protection for Diffusion Generative Models via Learnable Sample-specific Signatures | Privasis: Synthesizing the Largest ""Public"" Private Dataset from Scratch | Improved Bounds for Private and Robust Alignment | Differentially Private Geodesic Regression | Representation Unlearning: Forgetting through Information Compression | Understanding Private Learning From Feature Perspective","Privasis: Synthesizing the Largest ""Public"" Private Dataset from Scratch | Improved Bounds for Private and Robust Alignment | Differentially Private Geodesic Regression | Representation Unlearning: Forgetting through Information Compression | Understanding Private Learning From Feature Perspective | Private and Stable Test-time Adaptation with Differential Privacy | Contextualized Privacy Defense for LLM Agents | Exploring Nonlinear Pathway in Parameter Space for Machine Unlearning","GoodDiffusion: Proactive Copyright Protection for Diffusion Generative Models via Learnable Sample-specific Signatures | PRISM: Gauge-Invariant Tangent-Space Differentially Private LoRA | Is Your LLM Overcharging You? Tokenization, Transparency, and Incentives"
