github_repo,github_url,live_status,http_status,qa_flags,suspicious_reason,paper_titles,sources,max_public_votes,alphaxiv_github_stars,live_stargazers_count,live_forks_count,open_issues_count,archived,disabled,fork,license_spdx,default_branch,created_at,updated_at,pushed_at,pushed_age_days,description,homepage,api_fetched_utc,api_error
sgl-project/sglang,https://github.com/sgl-project/sglang,live,200,,,When RL Meets Adaptive Speculative Training:  A Unified Training-Serving System,top_github_artifacts,17,30219,30284,7137,4233,false,false,false,Apache-2.0,main,2024-01-08T04:15:52Z,2026-07-14T08:53:53Z,2026-07-14T08:55:29Z,0,SGLang is a high-performance serving framework for large language models and multimodal models.,https://sglang.io,2026-07-14T08:57:43.363049+00:00,
academicpages/academicpages.github.io,https://github.com/academicpages/academicpages.github.io,live,200,suspicious_template_or_index,academicpages,From geometry to dynamics: Learning overdamped Langevin dynamics from sparse observations with geometric constraints,top_github_artifacts,2,17294,17296,7841,27,false,false,false,MIT,master,2016-09-15T11:16:04Z,2026-07-14T08:03:58Z,2026-06-25T13:14:07Z,18,"Github Pages template based upon HTML and Markdown for personal, portfolio-based websites.",https://academicpages.github.io,2026-07-14T08:57:43.799679+00:00,
awesome-NeRF/awesome-NeRF,https://github.com/awesome-NeRF/awesome-NeRF,live,200,suspicious_template_or_index,awesome-,Vision-aligned Latent Reasoning for Multi-Modal Large Language Model,top_github_artifacts,56,6773,6773,600,0,false,false,false,MIT,main,2020-11-26T16:10:56Z,2026-07-12T10:51:57Z,2025-01-06T11:03:37Z,553,A curated list of awesome neural radiance fields papers,,2026-07-14T08:57:44.214837+00:00,
dwzhu-pku/PaperBanana,https://github.com/dwzhu-pku/PaperBanana,live,200,,,PaperBanana: Automating Academic Illustration for AI Scientists,manual_validation_queue; top_github_artifacts,420,6765,6775,509,13,false,false,false,Apache-2.0,main,2026-01-30T06:55:48Z,2026-07-14T08:34:23Z,2026-06-25T12:48:17Z,18,PaperBanana: Automating Academic Illustration For AI Scientists,https://dwzhu-pku.github.io/PaperBanana/,2026-07-14T08:57:44.622129+00:00,
z-lab/dflash,https://github.com/z-lab/dflash,live,200,,,DFlash: Block Diffusion for Flash Speculative Decoding,top_github_artifacts,153,5451,5465,391,85,false,false,false,MIT,main,2026-01-04T19:33:39Z,2026-07-14T08:56:52Z,2026-05-10T09:53:33Z,64,DFlash: Block Diffusion for Flash Speculative Decoding,https://dflash.z-lab.ai,2026-07-14T08:57:45.068875+00:00,
eliahuhorwitz/Academic-project-page-template,https://github.com/eliahuhorwitz/Academic-project-page-template,live,200,suspicious_template_or_index,academic-project-page-template; project-page; template,"From Abstraction to Instantiation: Learning Behavioral Representation for Vision-Language-Action Model | Self-Prompting Diffusion Transformer for Open-Vocabulary Scene Text Edit via In-Context Learning | LaST$_{0}$: Latent Spatio-Temporal Chain-of-Thought for Robotic Vision-Language-Action Model | Hydra-Nav: Object Navigation via Adaptive Dual-Process Reasoning | AudioChat: Unified Audio Storytelling, Editing, and Understanding with Transfusion Forcing | PanoWorld-X: Generating Explorable Panoramic Worlds via Sphere-Aware Video Diffusion | From Correspondence to Actions: Human-Like Multi-Image Spatial Reasoning in Multi-modal Large Language Models | AuTAgent: A Reinforcement Learning Framework for Tool-Augmented Audio Reasoning",top_github_artifacts,73,5069,5069,1131,9,false,false,false,,master,2022-11-30T09:35:33Z,2026-07-14T08:01:12Z,2025-09-04T19:11:15Z,312,A project page template for academic papers. Demo at https://eliahuhorwitz.github.io/Academic-project-page-template/,https://eliahuhorwitz.github.io/Academic-project-page-template/,2026-07-14T08:57:45.500780+00:00,
ArthurBrussee/brush,https://github.com/ArthurBrussee/brush,live,200,,,Turbo4DGen: Ultra-Fast Acceleration for 4D Generation,top_github_artifacts,0,4818,4820,284,40,false,false,false,Apache-2.0,main,2024-02-23T16:50:13Z,2026-07-14T06:46:46Z,2026-07-01T21:10:35Z,12,3D Reconstruction for all,,2026-07-14T08:57:45.932664+00:00,
ruc-datalab/DeepAnalyze,https://github.com/ruc-datalab/DeepAnalyze,live,200,,,DeepAnalyze: Agentic Large Language Models for Autonomous Data Science,top_github_artifacts,146,4355,4359,687,23,false,false,false,MIT,main,2025-10-11T11:19:21Z,2026-07-14T06:29:15Z,2026-07-01T03:12:26Z,13,DeepAnalyze is the first agentic LLM for autonomous data science. 🎈你的AI数据分析师，自动分析大量数据，一键生成专业分析报告！,https://ruc-deepanalyze.github.io,2026-07-14T08:57:46.368827+00:00,
aiming-lab/SimpleMem,https://github.com/aiming-lab/SimpleMem,live,200,,,SimpleMem: Efficient Lifelong Memory for LLM Agents,top_github_artifacts,214,3641,3642,374,18,false,false,false,MIT,main,2026-01-01T23:53:40Z,2026-07-14T04:28:11Z,2026-06-23T05:02:47Z,21,SimpleMem: Efficient Lifelong Memory for LLM Agents — Text & Multimodal,,2026-07-14T08:57:46.809535+00:00,
facebookresearch/sam-audio,https://github.com/facebookresearch/sam-audio,live,200,,,SAM Audio: Segment Anything in Audio,top_github_artifacts,65,3567,3568,325,50,false,false,false,NOASSERTION,main,2025-09-04T16:46:34Z,2026-07-14T03:06:09Z,2026-05-26T05:38:19Z,49,"The repository provides code for running inference with the Meta Segment Anything Audio Model (SAM-Audio), links for downloading the trained model checkpoints, and example notebooks that show how to use the model.",,2026-07-14T08:57:47.247930+00:00,
nightscout/cgm-remote-monitor,https://github.com/nightscout/cgm-remote-monitor,live,200,,,Monitoring Monitorability,top_github_artifacts,28,2786,2786,73243,169,false,false,false,AGPL-3.0,master,2014-05-22T00:32:28Z,2026-07-13T15:32:19Z,2026-07-08T09:32:27Z,5,nightscout web monitor,,2026-07-14T08:57:47.665844+00:00,
RoboTwin-Platform/RoboTwin,https://github.com/RoboTwin-Platform/RoboTwin,live,200,,,RoboTwin 2.0: A Scalable Data Generator and Benchmark with Strong Domain Randomization for Robust Bimanual Robotic Manipulation,top_github_artifacts,91,2562,2573,423,70,false,false,false,MIT,main,2024-09-18T12:26:19Z,2026-07-14T08:02:22Z,2026-07-14T08:49:15Z,0,RoboTwin 2.0 Offical Repo,https://robotwin-platform.github.io,2026-07-14T08:57:48.086301+00:00,
google/nerfies,https://github.com/google/nerfies,live,200,archived; stale_pushed_at,,Alterbute: Editing Intrinsic Attributes of Objects in Images | DADP: Domain Adaptive Diffusion Policy,top_github_artifacts,23,1969,1969,276,42,true,false,false,Apache-2.0,main,2021-01-21T21:27:51Z,2026-07-06T11:51:56Z,2024-04-22T20:43:02Z,812,"This is the code for Deformable Neural Radiance Fields, a.k.a. Nerfies.",https://nerfies.github.io,2026-07-14T08:57:48.534265+00:00,
sierra-research/tau2-bench,https://github.com/sierra-research/tau2-bench,live,200,,,$\tau^2$-Bench: Evaluating Conversational Agents in a Dual-Control Environment | $\tau$-Knowledge: Evaluating Conversational Agents over Unstructured Knowledge | $\tau$-Voice: Benchmarking Full-Duplex Voice Agents on Real-World Domains,top_github_artifacts,89,1569,1576,400,155,false,false,false,MIT,main,2025-06-09T23:46:17Z,2026-07-14T08:33:35Z,2026-07-14T03:01:06Z,0,τ-Bench: A Benchmark for Tool-Agent-User Interaction in Real-World Domains,https://www.taubench.com,2026-07-14T08:57:49.077151+00:00,
ByteDance-Seed/Triton-distributed,https://github.com/ByteDance-Seed/Triton-distributed,live,200,,,DITRON: Distributed Multi-level Tiling Compiler for Parallel Tensor Programs,top_github_artifacts,8,1486,1487,159,41,false,false,false,MIT,main,2025-04-02T06:57:03Z,2026-07-14T08:14:24Z,2026-07-11T16:20:47Z,2,Distributed Compiler based on Triton for Parallel Systems,https://triton-distributed.readthedocs.io/en/latest/,2026-07-14T08:57:49.496869+00:00,
bytedance/SALMONN,https://github.com/bytedance/SALMONN,live,200,,,video-SALMONN S: Memory-Enhanced Streaming Audio-Visual LLM,top_github_artifacts,20,1469,1470,117,26,false,false,false,Apache-2.0,main,2023-08-11T07:28:25Z,2026-07-13T13:29:08Z,2026-07-13T08:38:48Z,1,SALMONN family: A suite of advanced multi-modal LLMs,https://bytedance.github.io/SALMONN/,2026-07-14T08:57:49.939098+00:00,
Tencent/AngelSlim,https://github.com/Tencent/AngelSlim,live,200,,,SpecExit: Accelerating Large Reasoning Model via Speculative Exit,top_github_artifacts,16,1399,1407,160,62,false,false,false,NOASSERTION,main,2025-07-04T02:10:39Z,2026-07-14T07:31:19Z,2026-07-14T08:35:42Z,0,"Model compression toolkit engineered for enhanced usability, comprehensiveness, and efficiency.",https://angelslim.readthedocs.io,2026-07-14T08:57:50.404923+00:00,
aiming-lab/Agent0,https://github.com/aiming-lab/Agent0,live,200,,,Agent0-VL: Exploring Self-Evolving Agent for Tool-Integrated Vision-Language Reasoning,top_github_artifacts,89,1228,1228,144,8,false,false,false,Apache-2.0,main,2025-10-20T22:27:49Z,2026-07-10T22:50:15Z,2026-07-10T07:54:20Z,4,[COLM'26 & ICML'26] Agent0 Series: Self-Evolving Agents from Zero Data,https://aiming-lab.github.io/Agent0,2026-07-14T08:57:50.918242+00:00,
StanfordBDHG/OpenTSLM,https://github.com/StanfordBDHG/OpenTSLM,live,200,,,OpenTSLM: Time-Series Language Models for Reasoning over Multivariate Medical Text- and Time-Series Data,top_github_artifacts,32,1184,1184,113,11,false,false,false,MIT,main,2025-05-14T22:31:33Z,2026-07-13T15:56:19Z,2026-05-05T16:01:04Z,69,OpenTSLM: Time-Series Language Models for Reasoning over Multivariate Medical Text- and Time-Series Data,https://www.opentslm.com,2026-07-14T08:57:51.613858+00:00,
Tencent-Hunyuan/HunyuanWorld-Mirror,https://github.com/Tencent-Hunyuan/HunyuanWorld-Mirror,live,200,,,WorldMirror: Universal 3D World Reconstruction with Any-Prior Prompting,top_github_artifacts,50,1153,1155,117,9,false,false,false,NOASSERTION,main,2025-10-16T13:47:15Z,2026-07-14T08:22:23Z,2026-05-27T03:22:57Z,48,[ICML 2026] WorldMirror: Fast and Universal 3D reconstruction model for versatile tasks,https://3d-models.hunyuan.tencent.com/world/,2026-07-14T08:57:52.052126+00:00,
microsoft/TimeCraft,https://github.com/microsoft/TimeCraft,live,200,,,MN-Diff: Diffusion Parameterized  MoE-NCDE for Continuous Time Series Generation with Irregular Observations,top_github_artifacts,1,1079,1079,62,6,false,false,false,MIT,main,2025-01-06T09:27:21Z,2026-07-01T04:49:57Z,2026-02-12T14:32:54Z,151,Official code for TimeCraft: A Time Series Generation Framework for Real-World Applications,,2026-07-14T08:57:52.507879+00:00,
Gen-Verse/LatentMAS,https://github.com/Gen-Verse/LatentMAS,live,200,,,Latent Collaboration in Multi-Agent Systems,manual_validation_queue; top_github_artifacts,402,1048,1049,161,18,false,false,false,Apache-2.0,main,2025-11-25T00:40:43Z,2026-07-14T02:10:51Z,2026-06-18T06:56:18Z,26,[ICML 2026 Spotlight] Latent Collaboration in Multi-Agent Systems,https://arxiv.org/abs/2511.20639,2026-07-14T08:57:52.929745+00:00,
inclusionAI/UI-Venus,https://github.com/inclusionAI/UI-Venus,live,200,,,VenusBench-Mobile: A Challenging and User-Centric Benchmark for Mobile GUI Agents with Capability Diagnostics,top_github_artifacts,0,1013,1013,85,12,false,false,false,,UI-Venus-1.5,2025-08-15T11:57:47Z,2026-07-09T02:29:17Z,2026-05-11T06:54:30Z,64,UI-Venus is a native UI agent designed to perform precise GUI element grounding and effective navigation using only screenshots as input.,,2026-07-14T08:57:53.382424+00:00,
lasgroup/SDPO,https://github.com/lasgroup/SDPO,live,200,,,Reinforcement Learning via Self-Distillation,manual_validation_queue; top_github_artifacts,718,1008,1010,116,10,false,false,false,Apache-2.0,main,2026-01-24T18:21:12Z,2026-07-14T03:38:05Z,2026-07-01T13:51:47Z,12,Reinforcement Learning via Self-Distillation (SDPO),https://self-distillation.github.io/SDPO,2026-07-14T08:57:53.805579+00:00,
NVIDIA-NeMo/Skills,https://github.com/NVIDIA-NeMo/Skills,live,200,,,Scaling Generative Verifiers For Natural Language Mathematical Proof Verification And Selection,top_github_artifacts,16,1004,1005,193,104,false,false,false,Apache-2.0,main,2024-02-11T23:29:26Z,2026-07-13T11:38:28Z,2026-07-13T19:53:13Z,0,A project to improve skills of large language models,https://nvidia-nemo.github.io/Skills/,2026-07-14T08:57:54.259110+00:00,
sgl-project/SpecForge,https://github.com/sgl-project/SpecForge,live,200,,,SpecForge: A Flexible and Efficient Open-Source Training Framework for Speculative Decoding,top_github_artifacts,11,985,987,283,141,false,false,false,MIT,main,2025-06-09T05:28:34Z,2026-07-14T07:52:52Z,2026-07-14T07:53:45Z,0,Train speculative decoding models effortlessly and port them smoothly to SGLang serving.,https://docs.sglang.ai/SpecForge/,2026-07-14T08:57:54.699263+00:00,
Mwie1024/Extra-CoT,https://github.com/Mwie1024/Extra-CoT,live,200,,,Towards Efficient Large Language Reasoning Models via Extreme-Ratio Chain-of-Thought Compression,top_github_artifacts,4,968,968,48,2,false,false,false,,main,2026-02-09T17:34:08Z,2026-07-07T16:02:14Z,2026-04-08T03:56:20Z,97,,,2026-07-14T08:57:55.132006+00:00,
thu-ml/Causal-Forcing,https://github.com/thu-ml/Causal-Forcing,live,200,,,Causal Forcing: Autoregressive Diffusion Distillation Done Right for High-Quality Real-Time Video Generation,top_github_artifacts,152,850,850,49,27,false,false,false,Apache-2.0,main,2026-02-01T09:30:13Z,2026-07-13T18:06:31Z,2026-07-09T15:24:59Z,4,"[ICML 2026] Official codebase for ""Causal Forcing: Autoregressive Diffusion Distillation Done Right for High-Quality Real-Time Interactive Video Generation"" & Causal Forcing++",https://thu-ml.github.io/CausalForcing.github.io/,2026-07-14T08:57:55.561930+00:00,
DravenALG/awesome-vla,https://github.com/DravenALG/awesome-vla,live,200,suspicious_template_or_index,awesome-,VLANeXt: Recipes for Building Strong VLA Models,top_github_artifacts,74,833,840,32,0,false,false,false,,main,2026-02-06T12:16:20Z,2026-07-14T04:51:10Z,2026-07-14T03:07:05Z,0,A Curated List of Vision-Language-Action (VLA) and World Action Models (WAM) Research and Beyond,,2026-07-14T08:57:56.219511+00:00,
WeianMao/triattention,https://github.com/WeianMao/triattention,live,200,,,TriAttention: Efficient Long Reasoning with Trigonometric KV Compression,top_github_artifacts,139,815,815,77,3,false,false,false,Apache-2.0,main,2026-04-04T03:13:45Z,2026-07-14T04:04:56Z,2026-07-14T04:04:51Z,0,TriAttention — Efficient long reasoning with trigonometric KV cache compression. Enables OpenClaw local deployment on memory-constrained GPUs.,,2026-07-14T08:57:56.658773+00:00,
thu-ml/RDT2,https://github.com/thu-ml/RDT2,live,200,,,RDT2: Exploring the Scaling Limit of UMI Data Towards Zero-Shot Cross-Embodiment Generalization,top_github_artifacts,86,792,794,57,20,false,false,false,Apache-2.0,main,2025-09-19T06:54:09Z,2026-07-14T04:14:01Z,2026-02-07T05:21:04Z,157,Official code of RDT 2,,2026-07-14T08:57:57.089885+00:00,
SakanaAI/doc-to-lora,https://github.com/SakanaAI/doc-to-lora,live,200,,,Doc-to-LoRA: Learning to Instantly Internalize Contexts,top_github_artifacts,87,779,779,100,0,false,false,false,MIT,main,2026-02-11T10:11:52Z,2026-07-10T23:35:02Z,2026-06-15T04:31:57Z,29,Hypernetworks that update LLMs to remember factual information,https://arxiv.org/abs/2602.15902,2026-07-14T08:57:57.555941+00:00,
CHATS-lab/verbalized-sampling,https://github.com/CHATS-lab/verbalized-sampling,live,200,,,Verbalized Sampling: How to Mitigate Mode Collapse and Unlock LLM Diversity,top_github_artifacts,116,776,777,83,0,false,false,false,NOASSERTION,main,2025-05-20T22:28:26Z,2026-07-14T07:00:56Z,2026-01-03T17:04:16Z,191,"Verbalized Sampling, a training-free prompting strategy to mitigate mode collapse in LLMs by requesting responses with probabilities. Achieves 2-3x diversity improvement while maintaining quality. Model-agnostic framework with CLI/API for creative writing, synthetic data generation, and dialogue simulation.",https://www.verbalized-sampling.com/,2026-07-14T08:57:57.979486+00:00,
360CVGroup/FG-CLIP,https://github.com/360CVGroup/FG-CLIP,live,200,,,FG-CLIP 2: A Bilingual Fine-grained Vision-Language Alignment Model,top_github_artifacts,25,760,760,38,39,false,false,false,Apache-2.0,main,2025-04-28T06:10:12Z,2026-07-09T10:40:49Z,2026-06-16T09:36:43Z,27,"New generation of CLIP with strong fine grained discrimination capability, ICML2026 and ICML2025",https://360cvgroup.github.io/FG-CLIP/,2026-07-14T08:57:58.404538+00:00,
NVlabs/ToolOrchestra,https://github.com/NVlabs/ToolOrchestra,live,200,,,ToolOrchestra: Elevating Intelligence via Efficient Model and Tool Orchestration,manual_validation_queue; top_github_artifacts,260,745,746,106,17,false,false,false,Apache-2.0,main,2025-11-25T23:53:41Z,2026-07-13T08:13:20Z,2026-03-25T15:28:06Z,110,ToolOrchestra is an end-to-end RL training framework for orchestrating tools and agentic workflows.,https://research.nvidia.com/labs/lpr/ToolOrchestra/,2026-07-14T08:57:58.906578+00:00,
Pointcept/Utonia,https://github.com/Pointcept/Utonia,live,200,,,Utonia: Toward One Encoder for All Point Clouds,top_github_artifacts,118,710,711,51,13,false,false,false,Apache-2.0,main,2026-02-11T17:52:47Z,2026-07-14T07:08:46Z,2026-07-01T06:09:29Z,13,[ICML'26] Official repository of Utonia: Toward One Encoder for All Point Clouds,https://pointcept.github.io/Utonia/,2026-07-14T08:57:59.417989+00:00,
rlresearch/dr-tulu,https://github.com/rlresearch/dr-tulu,live,200,,,Reinforcement Learning with Evolving Rubrics for Deep Research,top_github_artifacts,201,682,682,72,4,false,false,false,Apache-2.0,main,2025-11-18T05:58:40Z,2026-07-12T10:47:11Z,2026-06-17T02:47:32Z,27,Official repository for DR Tulu: Reinforcement Learning with Evolving Rubrics for Deep Research,https://dr-tulu.github.io,2026-07-14T08:57:59.847280+00:00,
idanshen/Self-Distillation,https://github.com/idanshen/Self-Distillation,live,200,,,Self-Distillation Enables Continual Learning,manual_validation_queue; top_github_artifacts,590,653,653,77,4,false,false,false,,main,2026-01-28T22:42:43Z,2026-07-12T17:57:15Z,2026-04-07T20:14:25Z,97,,,2026-07-14T08:58:00.289516+00:00,
mukhal/thinkprm,https://github.com/mukhal/thinkprm,live,200,,,Process Reward Models That Think,manual_validation_queue,1815,0,89,9,2,false,false,false,,main,2025-04-22T06:05:30Z,2026-07-03T05:33:24Z,2025-11-29T01:27:14Z,227,[TMLR] Process Reward Models That Think,https://arxiv.org/abs/2504.16828,2026-07-14T08:58:00.712682+00:00,
tokenbender/mHC-manifold-constrained-hyper-connections,https://github.com/tokenbender/mHC-manifold-constrained-hyper-connections,live,200,,,mHC: Manifold-Constrained Hyper-Connections,manual_validation_queue,696,0,367,33,0,false,false,false,Apache-2.0,main,2026-01-01T14:29:48Z,2026-07-07T15:56:28Z,2026-02-17T12:25:12Z,146,implementations and experimentation on mHC by deepseek - https://arxiv.org/abs/2512.24880,,2026-07-14T08:58:01.131913+00:00,
