semantic_cluster_id,area,subarea,taxonomy_confidence,review_status,review_notes,semantic_cluster_label,paper_count,oral_count,award_count,votes_per_paper,oral_enrichment,top_terms,top_topic_groups,top_themes,top_lexical_clusters,central_papers,high_signal_papers
13,"AI for Science, Health, and Neuro","Latent dynamics, neuroscience, and dynamical systems",medium,needs_review,manual confidence not high; split across lexical clusters,dynamics / networks / latent / dynamical,84,4,0,3.19,1.88,neural; dynamics; networks; latent; dynamical; time; structure; theory; neural networks; gradient; continuous; systems; linear; neuroscience; cognitive; flow,Deep Learning (27); Applications (25); Theory (9); General Machine Learning (9); Probabilistic Methods (5),"Theory, optimization, and sampling (52); Safety, alignment, governance, and risk (32); AI for science, health, and biology (32); Interpretability and mechanistic analysis (31); Memorization, evaluation, and generalization (20)",22 (19); 27 (17); 17 (16); 18 (6); 14 (5),"Identifying Connectivity Distributions from Neural Dynamics Using Flows | Maximum-Likelihood Learning of Latent Dynamics Without Reconstruction | Information dynamics and Memory in Neural Networks through Fisher Information Diffusion | The Geometric Mechanics of Contrastive Representation Learning: Alignment Potentials, Entropic Dispersion, and Cross-Modal Divergence | Dichotomy of Feature Learning and Unlearning: Fast-Slow Analysis on Neural Networks with Stochastic Gradient Descent | Biologically plausible heavy-tailed connectivity enhances generalizations on cognitive tasks in recurrent neural networks | A Factorized Low-Rank RNN Framework for Uncovering Independent Neural Latent Dynamics and Connectivity | Dynamics and representation structure of local approximations to gradient-based learning in linear recurrent neural networks","Orthogonal Concept Erasure for Diffusion Models | AI Engram: In Search of Memory Traces in Artificial Intelligence | Geometric Flow Grounding: A Unified Manifold Decoupling Framework for Dynamics Discovery and Verification | CoEvol-NO: State and Coordinate Co-Evolution with an Error-Driven Predictor-Corrector Paradigm for Neural Operator Transformer | Robust Filter Attention: Self-Attention as a Parallel State Estimator | Balancing Fidelity and Diversity in Diffusion Models via Symmetric Attention Decomposition: Hopfield Perspective | The Shape of Addition: Geometric Structures of Arithmetic in Large Language Models | The Geometric Mechanics of Contrastive Representation Learning: Alignment Potentials, Entropic Dispersion, and Cross-Modal Divergence"
14,"LLM Reasoning, Post-Training, and RLVR",Diffusion language models and decoding,high,needs_review,split across lexical clusters,decoding / diffusion / language / language models,145,5,1,14.32,1.36,decoding; diffusion; language; language models; token; tokens; generation; diffusion language; autoregressive; large language; dllms; parallel; large; masked; inference; deep learning,Deep Learning (111); Unknown (18); General Machine Learning (4); Applications (4); Probabilistic Methods (3),"LLM reasoning and test-time compute (102); Diffusion, flow, and generative modeling (99); Diffusion language models (82); Systems, efficiency, and compression (73); Theory, optimization, and sampling (71)",21 (37); 3 (25); 1 (22); 13 (18); 12 (16),Efficient Parallel Samplers for Recurrent-Depth Models | LUGS: Latent-aware Guidance for Efficient Unmasking in Diffusion Large Language Models | CoRe: Context-Robust Remasking for Diffusion Language Models | Locally Coherent Parallel Decoding in Diffusion Language Models | DC-Leap: Training-Free Acceleration of dLLMs via Draft-Guided Contiguous Leaping Decoding | Residual Context Diffusion Language Models | DFlash: Block Diffusion for Flash Speculative Decoding | Beyond Confidence: Adaptive and Coherent Decoding for Diffusion Language Models,How much can language models memorize? | WeDLM: Reconciling Diffusion Language Models with Standard Causal Attention for Fast Inference | Any-Order GPT as Masked Diffusion Model: Decoupling Formulation and Architecture | Learning Unmasking Policies for Diffusion Language Models | OPUS: Towards Efficient and Principled Data Selection in Large Language Model Pre-training in Every Iteration | DFlash: Block Diffusion for Flash Speculative Decoding | Sampling from Your Language Model One Byte at a Time | dLLM-Cache: Accelerating Diffusion Large Language Models with Adaptive Caching
15,"Graphs, Geometry, and Representation Learning",Graph neural networks and graph learning,high,stable_seed,,graph / graph neural / graphs / networks,166,4,0,1.33,0.95,graph; graph neural; graphs; networks; node; neural networks; learning graph; neural; nodes; structural; methods; datasets; structure; deep; deep learning; gnns,Deep Learning (107); General Machine Learning (21); Unknown (13); Optimization (12); Applications (4),"Memorization, evaluation, and generalization (75); Theory, optimization, and sampling (74); Safety, alignment, governance, and risk (53); Systems, efficiency, and compression (46); Agents, tools, and computer use (40)",5 (121); 25 (12); 17 (10); 9 (6); 22 (3),View Space: Learning Representation across Arbitrary Graphs | GraphFLEx: Unsupervised Structure Learning $\underline{\text{F}}$ramework for $\underline{\text{L}}$arge $\underline{\text{Ex}}$panding $\underline{\text{Graph}}$s | Plain Transformers are Surprisingly Powerful Link Predictors | SFCLTA: Spectral Fusion Contrastive Learning with Topology-Adaptive Graph Augmentation | FedRGL: Robust Federated Graph Learning under Label Noise | Revisiting Positive Samples in Graph Contrastive Learning: From the Perspective of Message Passing | CL-GCL: Comprehensive and Lightweight Graph Contrastive Learning | Improving Graph Transformers via Global Structural Priors,Which Algorithms Can Graph Neural Networks Learn? | MV-FGAD: Towards Efficient and Effective Federated Graph Anomaly Detection via Multi-view Learning | PhenoBrain: Phenotype-Conditioned Long-Range Communication for Multi-Modal Brain Network Analysis | Towards Hierarchy–Uniformity Equilibrium: Recovering Semantic Depth in Hypergraph Contrastive Learning | Adaptive Node Feature Selection for Graph Neural Networks | Normality Calibration in Semi-supervised Graph Anomaly Detection | Generative Representation Learning on Hyper-relational Knowledge Graphs via Masked Discrete Diffusion | Learning Graph Foundation Models on Riemannian Graph-of-Graphs
16,"Robotics, Embodiment, and World Models",Vision-language-action models and robotic manipulation,high,stable_seed,,action / robotics / vla / applications robotics,195,4,0,19.19,0.81,action; robotics; vla; applications robotics; manipulation; language action; robot; vision language; world; vision; robotic; embodied; real; task; vla models; actions,Applications (135); Unknown (23); Reinforcement Learning (17); Deep Learning (15); General Machine Learning (3),"Robotics and world models (165); Multimodal, vision-language, and video (149); Memorization, evaluation, and generalization (134); Agents, tools, and computer use (102); RL for LLMs and verifiable rewards (76)",19 (114); 11 (15); 7 (12); 10 (10); 0 (8),"FOCA: Future-Oriented Conditioning for Data-Efficient Vision-Language-Action Adaptation | XR-1: Towards Versatile Vision-Language-Action Models via Learning Unified Vision-Motion Representations | UniCoD: Enhancing Robot Policy via Unified Continuous and Discrete Representation Learning | Towards Practical World Model-based Reinforcement Learning for Vision-Language-Action Models | A Generalist Pair-wise Progress Critic Model for Vision-Language-Action Robots | Dyn-VPP: Video Prediction Policy Optimization for Improved Visual Dynamics | Think Less, Act Early: Reinforced Latent Reasoning with Early Exit in Vision-Language-Action Models | World Guidance: World Modeling in Condition Space for Action Generation",From Abstraction to Instantiation: Learning Behavioral Representation for Vision-Language-Action Model | RoboMME: Benchmarking and Understanding Memory for Robotic Generalist Policies | From Pixels to Tokens: A Systematic Study of Latent Action Supervision for Vision-Language-Action Models | XR-1: Towards Versatile Vision-Language-Action Models via Learning Unified Vision-Motion Representations | LaST$_{0}$: Latent Spatio-Temporal Chain-of-Thought for Robotic Vision-Language-Action Model | RoboTwin 2.0: A Scalable Data Generator and Benchmark with Strong Domain Randomization for Robust Bimanual Robotic Manipulation | Hydra-Nav: Object Navigation via Adaptive Dual-Process Reasoning | VLANeXt: Recipes for Building Strong VLA Models
17,"Data-Centric, Causal, and Federated ML","Labels, datasets, and supervised data quality",medium,needs_review,manual confidence not high; split across lexical clusters,label / labels / machine / machine learning,192,1,0,2.38,0.21,label; data; labels; machine; machine learning; general machine; class; general; methods; datasets; performance; training; samples; classification; supervised; based,General Machine Learning (78); Applications (33); Social Aspects (27); Deep Learning (22); Unknown (17),"Safety, alignment, governance, and risk (114); Memorization, evaluation, and generalization (107); Theory, optimization, and sampling (84); Agents, tools, and computer use (49); Interpretability and mechanistic analysis (49)",25 (64); 17 (61); 23 (16); 1 (11); 29 (6),Convex Dataset Valuation for Post-Training | Class-Conditional Distribution Balancing for Group Robust Classification | Just Y-Prediction: Enabling Historical Cumulative Inconsistency in Label Diffusion for Learning with Noisy Label | Coupled Training with Privileged Features and Unlabeled Data | Expert Routing with Synthetic Data for Domain Incremental Learning | Class-Prior Perturbation-Robust Regularization for Imbalanced Unreliable Partial Label Learning | Position: Creating High-Fidelity Synthetic Training Data Should Employ Multi-level Optimization | Neutral-Reference Prompting for Vision–Language Models,On the Difficulty of Learning a Meta-network for Training Data Selection | A Semantically Consistent Dataset for Data-Efficient Query-Based Universal Sound Separation | OSF: On Pre-training and Scaling of Sleep Foundation Models | Building Social World Model with Large Language Models | No Need to Train Your RDB Foundation Model | LumiNet: Perception-Driven Knowledge Distillation via Statistical Logit Calibration | Probably Approximately Correct Labels | CorrSteer: Generation-Time LLM Steering via Correlated Sparse Autoencoder Features
18,"Graphs, Geometry, and Representation Learning",Geometric representation learning and manifolds,high,needs_review,split across lexical clusters,geometric / representation / geometry / representations,160,1,0,5.36,0.25,geometric; representation; geometry; representations; representation learning; manifold; spatial; alignment; space; learning representation; clustering; latent; embedding; structure; global; structures,Deep Learning (58); General Machine Learning (40); Applications (37); Unknown (15); Social Aspects (7),"Multimodal, vision-language, and video (82); Safety, alignment, governance, and risk (79); Memorization, evaluation, and generalization (71); Theory, optimization, and sampling (57); LLM reasoning and test-time compute (41)",17 (61); 25 (31); 10 (16); 4 (10); 27 (7),From Extrinsic to Intrinsic: Geodesic-Guided Representation Learning for 3D Geometric Data | Convergent World Representations and Divergent Tasks | Uncovering the Latent Potential of Deep Intermediate Representations | Multi-Way Representation Alignment | Learning Sparse Visual Representations via Spatial-Semantic Factorization | GRASP: Awakening Latent Spatial Reasoning in LVLMs via Training-free Geometric Rectification | Global Geometry Is Not Enough for Vision Representations | Generalizable and Composable Multi-Model Embedding Translation,Necessary Conditions for Compositional Generalization of Embedding Models | Semantic Tube Prediction: Beating LLM Data Efficiency with JEPA | MUSE: Resolving Manifold Misalignment in Visual Tokenization via Topological Orthogonality | Thinking with Geometry: Active Geometry Integration for Spatial Reasoning | Any2Any: Unified Arbitrary Modality Translation for Remote Sensing | Platonic Transformers: A Solid Choice For Equivariance | Revisiting the Platonic Representation Hypothesis: An Aristotelian View | Orthogonal Model Merging
19,Systems and Efficient Foundation Models,Quantization and low-precision training/inference,high,stable_seed,,quantization / bit / precision / low,88,2,0,5.31,0.9,quantization; bit; precision; low; quantized; ptq; error; training; quantization error; low bit; llms; training quantization; post; accuracy; large language; large,Deep Learning (61); Unknown (10); Applications (8); General Machine Learning (6); Theory (2),"Systems, efficiency, and compression (81); LLM reasoning and test-time compute (38); Theory, optimization, and sampling (37); RL for LLMs and verifiable rewards (34); Interpretability and mechanistic analysis (28)",21 (63); 29 (6); 17 (5); 12 (4); 3 (3),SINQ: Sinkhorn-Normalized Quantization for Calibration-Free Low-Precision LLM Weights | NeUQI: Near-Optimal Uniform Quantization Parameter Initialization for Low-Bit LLMs | BPDQ: Bit-Plane Decomposition Quantization on a Variable Grid for Large Language Models | LO-BCQ: Locally Optimal Block Clustered Quantization for 4-bit (W4A4) LLM Inference | Rethinking 1-bit Optimization Leveraging Pre-trained Large Language Models | TWLA: Breaking the Barrier to W1.58A4 Post-Training Quantization for LLMs | Scaling Law for Quantization-Aware Training | NanoQuant: Efficient Sub-1-bit Quantization of Large Language Models,ReQAT: Achieving Full-Precision Reasoning Accuracy with 4-bit Floating-Point Quantization-Aware Training | CAT-Q: Cost-efficient and Accurate Ternary Quantization for LLMs | SINQ: Sinkhorn-Normalized Quantization for Calibration-Free Low-Precision LLM Weights | INT vs. FP: A Comprehensive Study of Fine-Grained Low-bit Quantization Formats | Quant VideoGen: Auto-Regressive Long Video Generation via 2-Bit KV-Cache Quantization | Vector Quantization using Gaussian Variational Autoencoder | RobuQ: Pushing DiTs to W1.58A2 via Robust Activation Quantization | LSGQuant: Layer-Sensitivity Guided Quantization for One-Step Diffusion Real-World Video Super-Resolution
20,"Theory, Optimization, and Algorithms",Transformer theory and attention expressivity,medium,needs_review,manual confidence not high,transformers / attention / transformer / softmax,98,5,0,12.92,2.01,transformers; attention; transformer; softmax; theory; deep; deep learning; context; layer; length; language; results; softmax attention; training; scaling; layers,Deep Learning (64); Theory (20); Unknown (8); Social Aspects (3); General Machine Learning (2),"Theory, optimization, and sampling (61); LLM reasoning and test-time compute (45); Interpretability and mechanistic analysis (38); Memorization, evaluation, and generalization (32); Safety, alignment, governance, and risk (29)",14 (64); 22 (10); 13 (6); 1 (6); 17 (5),Equivalence of Context and Parameter Updates in Modern Transformer Blocks | The Expressive Power of Low Precision Softmax Transformers with (Summarized) Chain-of-Thought | The Expressivity Limits of Transformers | Anatomy of Massive Activations and Attention Sinks | Quantifying LLM Attention-Head Stability: Implications for Circuit Universality | Universal Approximation with Softmax Attention | Representation Drift Compensation: A Zero-Cost Enhancement for LLM Decomposition | Softmax as Linear Attention in the Large-Prompt Regime: a Measure-based Perspective,Equivalence of Context and Parameter Updates in Modern Transformer Blocks | Focus and Dilution: The Multi-stage Learning Process of Attention | Rational Transductors | On Minimum Depth and Width of Floating-Point Neural Networks for Representing Floating-Point Functions | The Expressivity Limits of Transformers | Deep Networks Learn Deep Hierarchical Models | On Structured State-Space Duality | Krause Synchronization Transformers
21,"LLM Reasoning, Post-Training, and RLVR",LLM preference tuning and alignment training,medium,needs_review,manual confidence not high; split across lexical clusters,language / large language / language models / large,128,2,0,9.02,0.62,language; large language; language models; large; preference; llm; training; llms; policy; learning large; optimization; data; deep learning; deep; dpo; optimal,Deep Learning (92); General Machine Learning (8); Unknown (8); Reinforcement Learning (5); Social Aspects (4),"Theory, optimization, and sampling (99); LLM reasoning and test-time compute (94); Memorization, evaluation, and generalization (70); RL for LLMs and verifiable rewards (63); Systems, efficiency, and compression (54)",24 (27); 1 (26); 13 (20); 12 (18); 6 (18),Smaller Models are Natural Explorers for Policy-Level Diversity in GRPO | Rethinking the Trust Region in LLM Reinforcement Learning | Hybrid Policy Distillation for LLMs | The Optimal Token Baseline: Variance Reduction for Long-Horizon LLM-RL | Unbiased Dynamic Pruning for Efficient Group-Based Policy Optimization | Normalized Rewards for Preference Optimization | Do We Need Adam? Surprisingly Strong and Sparse Reinforcement Learning with SGD in LLMs | PowerFlow: Unlocking the Dual Nature of LLMs via Principled Distribution Matching,Do We Need Adam? Surprisingly Strong and Sparse Reinforcement Learning with SGD in LLMs | Reward-free Alignment for Conflicting Objectives | Autoregressive Direct Preference Optimization | Rethinking the Trust Region in LLM Reinforcement Learning | Advantage Weighted Matching: Aligning RL with Pretraining in Diffusion Models | BandPO: Bridging Trust Regions and Ratio Clipping via Probability-Aware Bounds for LLM Reinforcement Learning | Decouple Searching from Training: Scaling Data Mixing via Model Merging for Large Language Model Pre-training | Utility-Diversity Aware Online Batch Selection for LLM Supervised Fine-tuning
22,"Multimodal, Vision, and Perception",Vision-language reasoning and video understanding,high,stable_seed,,visual / vision / reasoning / video,272,7,0,8.96,1.02,visual; vision; reasoning; video; vision language; language; multimodal; image; computer vision; vlms; computer; language models; applications computer; grounding; perception; object,Applications (131); Deep Learning (88); Unknown (25); General Machine Learning (12); Social Aspects (10),"Multimodal, vision-language, and video (268); Memorization, evaluation, and generalization (181); LLM reasoning and test-time compute (163); Agents, tools, and computer use (121); RL for LLMs and verifiable rewards (95)",4 (126); 0 (61); 10 (22); 25 (22); 14 (4),Awakening Visual Reasoning: Mitigating Post-Training Failure in Vision-Text Compression | Focusing Where Vision Matters: Selective Training for Large Vision Language Models via Visual Information Gain | Chain-of-Glimpse: Search-Guided Progressive Object-Grounded Reasoning for Video Understanding | PGT: Procedurally Generated Tasks for improving fine-grained understanding in MLLMs | SPLIT-VLM: Salience-Guided Partitioning towards Local Coverage for Importance-Aware Token Dropping in Vision-Language Models | Decomposed On-Policy Distillation for Vision-Language Reasoning: Steering Gradients for Visual Grounding | VideoSeeker: Native Interleaved Clue Seeking for Long Video Multi-Hop Reasoning | iVGR: Internalizing Visually Grounded Reasoning for MLLMs with Reinforcement Learning,CLEAR: Context-Aware Learning with End-to-End Mask-Free Inference for Adaptive Subtitle Removal | Are VLMs Seeing or Just Saying? Uncovering the Illusion of Visual Re-examination | Bad Seeing or Bad Thinking? Rewarding Perception for Multimodal Reasoning | 3ViewSense: Spatial and Mental Perspective Reasoning from Orthographic Views in Vision-Language Models | PhotoAgent: Exploratory Visual Aesthetic Planning with Large Vision Models | DOUBT: Decoupled Object-level Understanding and Bridging via vMF-based Trustworthiness for Hallucination Detection in MLLMs | SpatioLM: Towards General Physical Spatial Intelligence in Vision-Language Models | From Correspondence to Actions: Human-Like Multi-Image Spatial Reasoning in Multi-modal Large Language Models
23,"Safety, Governance, Privacy, and Society","Privacy, differential privacy, and unlearning",high,stable_seed,,privacy / private / dp / aspects privacy,84,3,0,2.1,1.41,privacy; private; dp; aspects privacy; differential privacy; social aspects; aspects; social; differentially private; differentially; data; differential; utility; unlearning; sensitive; guarantees,Social Aspects (71); Unknown (5); Applications (2); Theory (2); Reinforcement Learning (2),"Safety, alignment, governance, and risk (84); Theory, optimization, and sampling (40); Systems, efficiency, and compression (27); Memorization, evaluation, and generalization (22); Multimodal, vision-language, and video (16)",26 (64); 3 (4); 28 (3); 11 (3); 23 (2),Efficient Public Verification of Private ML via Regularization | OptiFluence: Principled Design of Privacy Canaries | Eliminating Solution Bias in Differentially Private Optimization | Accuracy-First Rényi Differential Privacy and Post-Processing Immunity | Fast and Optimal Algorithms for Private Hypothesis Selection | Optimal Domain-Aware Privacy Mechanisms for Synthetic Data Generation | Efficient DP-SGD for LLMs with Randomized Clipping | Provably Protecting Fine-Tuned LLMs from Training Data Extraction,"Is Your LLM Overcharging You? Tokenization, Transparency, and Incentives | PRISM: Gauge-Invariant Tangent-Space Differentially Private LoRA | GoodDiffusion: Proactive Copyright Protection for Diffusion Generative Models via Learnable Sample-specific Signatures | Position: Embodied AI Requires a Privacy-Utility Tradeoff | MultiPriv: Benchmarking Individual-Level Privacy Reasoning in Vision-Language Models | Privasis: Synthesizing the Largest ""Public"" Private Dataset from Scratch | Unlearning’s Blind Spots: Over‑Unlearning and Prototypical Relearning Attack | Contextualized Privacy Defense for LLM Agents"
24,"LLM Reasoning, Post-Training, and RLVR","General LLM training, evaluation, and alignment",medium,needs_review,manual confidence not high; split across lexical clusters,language / language models / llms / large language,290,14,0,8.76,1.9,language; language models; llms; large language; large; llm; models llms; alignment; learning large; training; evaluation; data; fine; knowledge; deep learning; tuning,Deep Learning (143); Social Aspects (65); Applications (32); General Machine Learning (21); Unknown (21),"Safety, alignment, governance, and risk (169); Memorization, evaluation, and generalization (158); LLM reasoning and test-time compute (157); Interpretability and mechanistic analysis (106); Theory, optimization, and sampling (90)",1 (130); 12 (33); 23 (30); 29 (23); 20 (12),Bridging the Knowledge-Prediction Gap in LLMs on Multiple-Choice Questions | Activation Oracles: Training and Evaluating LLMs as General-Purpose Activation Explainers | Harnessing Non-Adversarial Robustness in Large Language Models | Learning Self-Interpretation from Interpretability Artifacts: Training Lightweight Adapters on Vector-Label Pairs | Learning syntax without semantics: Disentangled tiny language models | Navigating the Pareto Frontier of Alignment:Spectrum-Adaptive Fine-Tuning for LLMs | Facts in Stats: Impacts of Pretraining Diversity on Language Model Generalization | Steering Out-of-Distribution Generalization with Concept Ablation Fine-Tuning,Simultaneous Speech-to-Speech Translation Without Aligned Data | Mechanistic Data Attribution: Tracing the Training Origins of Interpretable LLM Units | Procedural Pretraining: Warming Up Language Models with Abstract Data | TokSuite: Measuring the Impact of Tokenizer Choice on Language Model Behavior | Benchmarking at the Edge of Comprehension | Prescriptive Scaling Reveals the Evolution of Language Model Capabilities | Activation Oracles: Training and Evaluating LLMs as General-Purpose Activation Explainers | Less is Enough: Synthesizing Diverse Data in Feature Space of LLMs
25,"Multimodal, Vision, and Perception","3D, video, motion, and spatial understanding",high,stable_seed,,3d / video / motion / applications computer,203,2,1,8.67,0.39,3d; video; motion; applications computer; computer vision; vision; computer; geometric; scene; applications; spatial; geometry; consistency; view; generation; object,Applications (140); Deep Learning (40); Unknown (20); General Machine Learning (2); Reinforcement Learning (1),"Multimodal, vision-language, and video (197); Agents, tools, and computer use (99); Diffusion, flow, and generative modeling (95); Memorization, evaluation, and generalization (87); Systems, efficiency, and compression (66)",10 (118); 0 (53); 3 (14); 25 (6); 19 (4),CamGeo: Sparse Camera-Conditioned Image-to-Video Generation with 3D Geometry Priors | SceneDirector: Bridging Explicit Geometry and Generative Priors for Unified Driving Scene Editing | Fast-SAM3D: 3Dfy Anything in Images but Faster | MVISTA-4D: View-Consistent 4D World Model with Test-Time Action Inference for Robotic Manipulation | Distilling Geometry Priors for 3D-Consistent Video Generation | GemDepth: Geometry-Embedded Features for 3D-Consistent Video Depth | 3DPoV: Improving 3D understanding via Patch Ordering on Videos | World-R1: Reinforcing 3D Constraints for Text-to-Video Generation,Motion Attribution for Video Generation | Holi-Spatial: Evolving Video Streams into Holistic 3D Spatial Intelligence | PanoWorld-X: Generating Explorable Panoramic Worlds via Sphere-Aware Video Diffusion | Boosting Monocular Metric Depth Estimation via Bokeh Rendering | Turbo4DGen: Ultra-Fast Acceleration for 4D Generation | Utonia: Toward One Encoder for All Point Clouds | WorldMirror: Universal 3D World Reconstruction with Any-Prior Prompting | World-R1: Reinforcing 3D Constraints for Text-to-Video Generation
26,Systems and Efficient Foundation Models,"Large-scale training, optimizers, and model architecture",medium,needs_review,manual confidence not high; split across lexical clusters,networks / training / deep / gradient,198,2,0,13.31,0.4,neural; networks; training; deep; gradient; optimization; deep learning; neural networks; network; architectures; layer; loss; optimizer; updates; low; muon,Deep Learning (109); Optimization (26); General Machine Learning (17); Unknown (16); Theory (14),"Theory, optimization, and sampling (132); Systems, efficiency, and compression (92); Memorization, evaluation, and generalization (67); Safety, alignment, governance, and risk (59); LLM reasoning and test-time compute (56)",22 (80); 12 (27); 17 (23); 21 (12); 20 (11),Memory-Efficient LLMs Training with Dynamic Sparsity: From Stability to Practical Scaling | From Muon to Gluon: Bridging Theory and Practice of LMO-based Optimizers for LLMs | Exploiting weight-space symmetries for approximating curvature | Memory-Efficient LLM Pretraining via Minimalist Optimizer Design | ExpertWeaver: Unlocking the Inherent MoE in Dense LLMs with GLU Activation Patterns | Deep Progressive Training: scaling up depth capacity of zero/one-layer models | Gradient Smoothing: Coupling Layer-wise Updates for Improved Optimization | Beyond Sunk Costs: Boosting LLM Pre-training Efficiency via Orthogonal Growth of Mixture-of-Experts,"Controlled LLM Training on Spectral Sphere | MuonSSM: Orthogonalizing State Space Models for Sequence Modeling | mHC: Manifold-Constrained Hyper-Connections | Neural Thickets: Diverse Task Experts Are Dense Around Pretrained Weights | Evolution Strategies at the Hyperscale | NorMuon: Making Muon more efficient and scalable | GradientStabilizer: Fix the Norm, Not the Gradient | Memory-Efficient LLM Pretraining via Minimalist Optimizer Design"
