category,divergence_score,public_vote_rank,event_id,title,area,subarea,is_oral,award,public_total_votes,visits_last_7_days,github_url,github_stars,review_plan_rank,review_phase,claim_ids,taxonomy_review_status,evidence_confidence,primary_contribution_type,method_families,evaluation_settings,calibration_question,suggested_first_check,url,alphaxiv_url
program_ahead_of_public,1000,3923,67084,Position: AI/ML Deepfake Research is Misaligned with AI Generated Non-Consensual Intimate Imagery (AIG-NCII),"Safety, Governance, Privacy, and Society","Position papers, policy, and social impacts",true,Outstanding Position Paper Honorable Mention,0,0,,0,8,main_thesis_claims,C03,stable_seed,medium,Position / conceptual,Agents / tool use,vision/video; security/safety; theory/synthetic,What technical reason might explain oral/award selection despite low public attention?,Do not treat AlphaXiv attention as quality. Program signal is not the same as paper-level correctness.,https://icml.cc/virtual/2026/poster/67084,
program_ahead_of_public,1000,3924,67118,Position: The Alignment Community is Unintentionally Building a Censor’s Toolkit,"Safety, Governance, Privacy, and Society","Position papers, policy, and social impacts",true,Outstanding Position Paper Award,0,0,,0,9,main_thesis_claims,C03,stable_seed,medium,Position / conceptual,LLM post-training; Agents / tool use,robotics/embodied; security/safety,What technical reason might explain oral/award selection despite low public attention?,Do not treat AlphaXiv attention as quality. Program signal is not the same as paper-level correctness.,https://icml.cc/virtual/2026/poster/67118,
program_ahead_of_public,1000,3925,62831,VenusBench-Mobile: A Challenging and User-Centric Benchmark for Mobile GUI Agents with Capability Diagnostics,"Agents, Code, and Tool Use","Agent evaluation, tool use, and agentic workflows",true,,0,13,https://github.com/inclusionAI/UI-Venus,1013,98,public_program_divergence,,stable_seed,medium,Benchmark / evaluation,Agents / tool use,,What technical reason might explain oral/award selection despite low public attention?,Oral/award paper with low AlphaXiv public votes.,https://icml.cc/virtual/2026/poster/62831,https://www.alphaxiv.org/abs/2604.06182
program_ahead_of_public,1000,3926,67249,Position: The AI Imperative: Scaling High-Quality Peer Review in Machine Learning,"Safety, Governance, Privacy, and Society","Position papers, policy, and social impacts",true,,0,4,,0,115,public_program_divergence,,stable_seed,medium,Position / conceptual,Reasoning / test-time compute,language/llm,What technical reason might explain oral/award selection despite low public attention?,Oral/award paper with low AlphaXiv public votes.,https://icml.cc/virtual/2026/poster/67249,https://www.alphaxiv.org/abs/2506.08134
program_ahead_of_public,1000,3927,66728,Unsupervised Partner Design Enables Robust Ad-hoc Teamwork,"Agents, Code, and Tool Use","Multi-agent search, planning, and coordination",true,,0,3,,0,61,taxonomy_boundaries,,needs_review,low,Method / algorithm,RL / policy optimization; Agents / tool use,,What technical reason might explain oral/award selection despite low public attention?,Oral/award paper with low AlphaXiv public votes.,https://icml.cc/virtual/2026/poster/66728,https://www.alphaxiv.org/abs/2508.06336
program_ahead_of_public,1000,3928,62587,Minimax Optimal Strategy for Delayed Observations in Online Reinforcement Learning,"Theory, Optimization, and Algorithms","Online learning, bandits, and regret",true,,0,3,,0,,,,stable_seed,medium,Theory / proof,RL / policy optimization; Agents / tool use,robotics/embodied; theory/synthetic,What technical reason might explain oral/award selection despite low public attention?,Oral/award paper with low AlphaXiv public votes.,https://icml.cc/virtual/2026/poster/62587,https://www.alphaxiv.org/abs/2603.03480
program_ahead_of_public,1000,3929,64138,AI Engram: In Search of Memory Traces in Artificial Intelligence,"AI for Science, Health, and Neuro","Latent dynamics, neuroscience, and dynamical systems",true,,0,0,,0,99,taxonomy_boundaries,,needs_review,medium,System / infrastructure,Causal / data-centric; Graphs / geometry,robotics/embodied; language/llm; theory/synthetic,What technical reason might explain oral/award selection despite low public attention?,Oral/award paper with low AlphaXiv public votes.,https://icml.cc/virtual/2026/poster/64138,
program_ahead_of_public,1000,3930,61526,CoEvol-NO: State and Coordinate Co-Evolution with an Error-Driven Predictor-Corrector Paradigm for Neural Operator Transformer,"AI for Science, Health, and Neuro","Latent dynamics, neuroscience, and dynamical systems",true,,0,0,,0,100,taxonomy_boundaries,,needs_review,medium,Benchmark / evaluation,Transformer / attention,theory/synthetic,What technical reason might explain oral/award selection despite low public attention?,Oral/award paper with low AlphaXiv public votes.,https://icml.cc/virtual/2026/poster/61526,
program_ahead_of_public,1000,3931,61370,"ConFlux: Multivariate Time Series in Flux, One Unified Forecast in Confluence","AI for Science, Health, and Neuro",Time series and forecasting applications,true,,0,0,,0,,,,needs_review,medium,Dataset / data resource,LLM post-training; Transformer / attention,vision/video,What technical reason might explain oral/award selection despite low public attention?,Oral/award paper with low AlphaXiv public votes.,https://icml.cc/virtual/2026/poster/61370,
program_ahead_of_public,1000,3932,63684,FLIP2: Expanding Protein Fitness Landscape Benchmarks for Real-World Machine Learning Applications,"AI for Science, Health, and Neuro","Protein, molecule, and biological modeling",true,,0,0,,0,,,,needs_review,medium,Benchmark / evaluation,LLM post-training; Agents / tool use,language/llm; science/domain,What technical reason might explain oral/award selection despite low public attention?,Oral/award paper with low AlphaXiv public votes.,https://icml.cc/virtual/2026/poster/63684,
program_ahead_of_public,1000,3933,64932,Geometric Flow Grounding: A Unified Manifold Decoupling Framework for Dynamics Discovery and Verification,"AI for Science, Health, and Neuro","Latent dynamics, neuroscience, and dynamical systems",true,,0,0,,0,101,taxonomy_boundaries,,needs_review,medium,Method / algorithm,Reasoning / test-time compute; Diffusion / flow; Compression / efficiency; Graphs / geometry,vision/video; theory/synthetic,What technical reason might explain oral/award selection despite low public attention?,Oral/award paper with low AlphaXiv public votes.,https://icml.cc/virtual/2026/poster/64932,
program_ahead_of_public,1000,3934,62510,ReViT: Rotational-equivariant Vision Transformers for Neural PDE Solvers,"AI for Science, Health, and Neuro","Physical sciences, chemistry, and climate",true,,0,0,,0,162,public_program_divergence,,stable_seed,medium,Benchmark / evaluation,Transformer / attention; Graphs / geometry,vision/video; science/domain,What technical reason might explain oral/award selection despite low public attention?,Oral/award paper with low AlphaXiv public votes.,https://icml.cc/virtual/2026/poster/62510,
program_ahead_of_public,1000,3935,60645,Scalable Event Cloud Network for Event-based Classification,"AI for Science, Health, and Neuro",Time series and forecasting applications,true,,0,0,,0,,,,needs_review,medium,Dataset / data resource,Diffusion / flow; Transformer / attention,vision/video,What technical reason might explain oral/award selection despite low public attention?,Oral/award paper with low AlphaXiv public votes.,https://icml.cc/virtual/2026/poster/60645,
program_ahead_of_public,1000,3936,66760,Solving Time-Dependent Differential Equations with Physical Dynamical Systems,"AI for Science, Health, and Neuro","Physical sciences, chemistry, and climate",true,,0,0,,0,,,,stable_seed,medium,Theory / proof,,vision/video,What technical reason might explain oral/award selection despite low public attention?,Oral/award paper with low AlphaXiv public votes.,https://icml.cc/virtual/2026/poster/66760,
program_ahead_of_public,1000,3937,64402,Towards Sub-second Biological Foundation Model Infrastructure: A Quantized Consistency Diffusion Framework for Molecular Docking,"AI for Science, Health, and Neuro","Protein, molecule, and biological modeling",true,,0,0,,0,,,,needs_review,medium,System / infrastructure,Agents / tool use; Diffusion / flow; Compression / efficiency,science/domain,What technical reason might explain oral/award selection despite low public attention?,Oral/award paper with low AlphaXiv public votes.,https://icml.cc/virtual/2026/poster/64402,
program_ahead_of_public,1000,3938,63530,CausalGame: Benchmarking Causal Thinking of LLM Agents in Games,"Agents, Code, and Tool Use","Agent evaluation, tool use, and agentic workflows",true,,0,0,,0,109,public_program_divergence,,stable_seed,medium,Benchmark / evaluation,Agents / tool use; Transformer / attention; Causal / data-centric,language/llm; security/safety,What technical reason might explain oral/award selection despite low public attention?,Oral/award paper with low AlphaXiv public votes.,https://icml.cc/virtual/2026/poster/63530,
program_ahead_of_public,1000,3939,61834,Characterizing Agents in Production,"Agents, Code, and Tool Use","Agent evaluation, tool use, and agentic workflows",true,,0,0,,0,110,public_program_divergence,,stable_seed,medium,System / infrastructure,Agents / tool use,language/llm,What technical reason might explain oral/award selection despite low public attention?,Oral/award paper with low AlphaXiv public votes.,https://icml.cc/virtual/2026/poster/61834,
program_ahead_of_public,1000,3940,65483,Detecting the Semantic Fixed Point: A Geometric Framework for Efficient Inference,"Data-Centric, Causal, and Federated ML","Continual learning, forgetting, and task adaptation",true,,0,0,,0,102,taxonomy_boundaries,,needs_review,medium,Theory / proof,Reasoning / test-time compute; Transformer / attention; Graphs / geometry,,What technical reason might explain oral/award selection despite low public attention?,Oral/award paper with low AlphaXiv public votes.,https://icml.cc/virtual/2026/poster/65483,
program_ahead_of_public,1000,3941,63990,On the Difficulty of Learning a Meta-network for Training Data Selection,"Data-Centric, Causal, and Federated ML","Labels, datasets, and supervised data quality",true,,0,0,https://github.com/ZILIN003/MTS,0,104,taxonomy_boundaries,,needs_review,medium,Benchmark / evaluation,Causal / data-centric,vision/video; theory/synthetic,What technical reason might explain oral/award selection despite low public attention?,Oral/award paper with low AlphaXiv public votes.,https://icml.cc/virtual/2026/poster/63990,https://www.alphaxiv.org/abs/2606.00571
program_ahead_of_public,1000,3942,66099,On the Identifiability of Poisson Branching Structural Causal Model Under Latent Confounding,"Data-Centric, Causal, and Federated ML",Causal inference and causal discovery,true,,0,0,,0,164,public_program_divergence,,stable_seed,medium,Dataset / data resource,Causal / data-centric,security/safety; theory/synthetic,What technical reason might explain oral/award selection despite low public attention?,Oral/award paper with low AlphaXiv public votes.,https://icml.cc/virtual/2026/poster/66099,
program_ahead_of_public,1000,3943,63286,Lottery Prior: Randomized Neural Compression for Zero-Shot Inverse Problems,Generative Modeling,"Diffusion sampling, transport, and inverse problems",true,,0,0,,0,165,public_program_divergence,,stable_seed,medium,Theory / proof,Diffusion / flow; Compression / efficiency,vision/video,What technical reason might explain oral/award selection despite low public attention?,Oral/award paper with low AlphaXiv public votes.,https://icml.cc/virtual/2026/poster/63286,
program_ahead_of_public,1000,3944,64721,Riemannian Metric Matching for Scalable Geometric Modeling of Distributions,Generative Modeling,"Diffusion sampling, transport, and inverse problems",true,,0,0,,0,166,public_program_divergence,,stable_seed,medium,Dataset / data resource,Agents / tool use; Diffusion / flow; Bayesian / probabilistic; Graphs / geometry,,What technical reason might explain oral/award selection despite low public attention?,Oral/award paper with low AlphaXiv public votes.,https://icml.cc/virtual/2026/poster/64721,
program_ahead_of_public,1000,3945,63078,Foundations of Equivariant Deep Learning: Unifying Graph and Sheaf Neural Networks,"Graphs, Geometry, and Representation Learning",Equivariant graph and geometric networks,true,,0,0,,0,136,taxonomy_boundaries,,needs_review,medium,Theory / proof,Graphs / geometry,theory/synthetic,What technical reason might explain oral/award selection despite low public attention?,Oral/award paper with low AlphaXiv public votes.,https://icml.cc/virtual/2026/poster/63078,
program_ahead_of_public,1000,3946,60641,MV-FGAD: Towards Efficient and Effective Federated Graph Anomaly Detection via Multi-view Learning,"Graphs, Geometry, and Representation Learning",Graph neural networks and graph learning,true,,0,0,,0,151,breadth_and_sanity_checks,,stable_seed,low,Dataset / data resource,Graphs / geometry,,What technical reason might explain oral/award selection despite low public attention?,Oral/award paper with low AlphaXiv public votes.,https://icml.cc/virtual/2026/poster/60641,
program_ahead_of_public,1000,3947,65761,Necessary Conditions for Compositional Generalization of Embedding Models,"Graphs, Geometry, and Representation Learning",Geometric representation learning and manifolds,true,,0,0,,0,137,taxonomy_boundaries,,needs_review,medium,Position / conceptual,Graphs / geometry,theory/synthetic,What technical reason might explain oral/award selection despite low public attention?,Oral/award paper with low AlphaXiv public votes.,https://icml.cc/virtual/2026/poster/65761,
program_ahead_of_public,1000,3948,65858,PhenoBrain: Phenotype-Conditioned Long-Range Communication for Multi-Modal Brain Network Analysis,"Graphs, Geometry, and Representation Learning",Graph neural networks and graph learning,true,,0,0,,0,192,breadth_and_sanity_checks,,stable_seed,medium,Dataset / data resource,Reasoning / test-time compute; Transformer / attention; Graphs / geometry,vision/video,What technical reason might explain oral/award selection despite low public attention?,Oral/award paper with low AlphaXiv public votes.,https://icml.cc/virtual/2026/poster/65858,
program_ahead_of_public,1000,3949,65990,Towards Hierarchy–Uniformity Equilibrium: Recovering Semantic Depth in Hypergraph Contrastive Learning,"Graphs, Geometry, and Representation Learning",Graph neural networks and graph learning,true,,0,0,,0,152,breadth_and_sanity_checks,,stable_seed,low,Dataset / data resource,LLM post-training; Graphs / geometry,,What technical reason might explain oral/award selection despite low public attention?,Oral/award paper with low AlphaXiv public votes.,https://icml.cc/virtual/2026/poster/65990,
program_ahead_of_public,1000,3950,63441,Diffract: Spectral View of LLM Domain Adaptation,"LLM Reasoning, Post-Training, and RLVR","General LLM training, evaluation, and alignment",true,,0,0,,0,68,taxonomy_boundaries,,needs_review,medium,Benchmark / evaluation,Agents / tool use; Transformer / attention,math/code/verifiable; language/llm,What technical reason might explain oral/award selection despite low public attention?,Oral/award paper with low AlphaXiv public votes.,https://icml.cc/virtual/2026/poster/63441,
program_ahead_of_public,1000,3951,61840,Don't Force the Fit: Bounded Log-Likelihood Loss for Enhanced Reasoning in Large Language Models,"LLM Reasoning, Post-Training, and RLVR",RL for reasoning models and verifiable rewards,true,,0,0,,0,,,,stable_seed,medium,Benchmark / evaluation,LLM post-training; Reasoning / test-time compute,language/llm; theory/synthetic,What technical reason might explain oral/award selection despite low public attention?,Oral/award paper with low AlphaXiv public votes.,https://icml.cc/virtual/2026/poster/61840,
program_ahead_of_public,1000,3952,65064,FlatLand: Personalized Graph Federated Learning via Tailored Lorentz Space,"LLM Reasoning, Post-Training, and RLVR","General LLM training, evaluation, and alignment",true,,0,0,,0,69,taxonomy_boundaries,,needs_review,medium,Dataset / data resource,LLM post-training; Compression / efficiency; Graphs / geometry,language/llm,What technical reason might explain oral/award selection despite low public attention?,Oral/award paper with low AlphaXiv public votes.,https://icml.cc/virtual/2026/poster/65064,
program_ahead_of_public,1000,3953,60884,Information Flow Reveals When to Trust Language Models,"LLM Reasoning, Post-Training, and RLVR","General LLM training, evaluation, and alignment",true,,0,0,,0,70,taxonomy_boundaries,,needs_review,medium,Method / algorithm,Diffusion / flow,language/llm,What technical reason might explain oral/award selection despite low public attention?,Oral/award paper with low AlphaXiv public votes.,https://icml.cc/virtual/2026/poster/60884,
program_ahead_of_public,1000,3954,61615,On the Limits of LLM Adaptability: Impact of LLM Pre-Training on Annotation Task Performance,"LLM Reasoning, Post-Training, and RLVR","General LLM training, evaluation, and alignment",true,,0,0,,0,71,taxonomy_boundaries,,needs_review,medium,Dataset / data resource,LLM post-training,language/llm,What technical reason might explain oral/award selection despite low public attention?,Oral/award paper with low AlphaXiv public votes.,https://icml.cc/virtual/2026/poster/61615,
program_ahead_of_public,1000,3955,63556,TG-RAG: A Retrieval-Augmented Framework for Reasoning Guidance in Specialized Domains,"LLM Reasoning, Post-Training, and RLVR",Reasoning models and chain-of-thought behavior,true,,0,0,,0,,,,needs_review,medium,Method / algorithm,Reasoning / test-time compute; Graphs / geometry,language/llm,What technical reason might explain oral/award selection despite low public attention?,Oral/award paper with low AlphaXiv public votes.,https://icml.cc/virtual/2026/poster/63556,
program_ahead_of_public,1000,3956,66821,Understanding Reasoning Collapse in LLM Agent Reinforcement Learning,"LLM Reasoning, Post-Training, and RLVR",Reasoning models and chain-of-thought behavior,true,,0,0,,0,,,,needs_review,medium,Uncoded,RL / policy optimization; Reasoning / test-time compute; Agents / tool use,language/llm,What technical reason might explain oral/award selection despite low public attention?,Oral/award paper with low AlphaXiv public votes.,https://icml.cc/virtual/2026/poster/66821,
program_ahead_of_public,1000,3957,64161,DOUBT: Decoupled Object-level Understanding and Bridging via vMF-based Trustworthiness for Hallucination Detection in MLLMs,"Multimodal, Vision, and Perception",Vision-language reasoning and video understanding,true,,0,0,,0,112,public_program_divergence,,stable_seed,medium,Benchmark / evaluation,Reasoning / test-time compute,vision/video; language/llm,What technical reason might explain oral/award selection despite low public attention?,Oral/award paper with low AlphaXiv public votes.,https://icml.cc/virtual/2026/poster/64161,
program_ahead_of_public,1000,3958,60907,DroneDINO: Towards Heterogeneous Routed Mixture of Experts for Drone-based Unified Object Detection,"Multimodal, Vision, and Perception","Vision robustness, detection, and adversarial perception",true,,0,0,,0,72,taxonomy_boundaries,,needs_review,medium,Benchmark / evaluation,Compression / efficiency,vision/video,What technical reason might explain oral/award selection despite low public attention?,Oral/award paper with low AlphaXiv public votes.,https://icml.cc/virtual/2026/poster/60907,
program_ahead_of_public,1000,3959,65954,Multimodal Nested Learning for Decoupled and Coordinated Optimization,"Multimodal, Vision, and Perception",Multimodal representation and cross-modal alignment,true,,0,0,,0,59,public_program_divergence,C05,stable_seed,low,Dataset / data resource,,,What technical reason might explain oral/award selection despite low public attention?,Oral/award paper with low AlphaXiv public votes.,https://icml.cc/virtual/2026/poster/65954,
program_ahead_of_public,1000,3960,63474,PhotoAgent: Exploratory Visual Aesthetic Planning with Large Vision Models,"Multimodal, Vision, and Perception",Vision-language reasoning and video understanding,true,,0,0,,0,,,,stable_seed,medium,Benchmark / evaluation,RL / policy optimization,vision/video,What technical reason might explain oral/award selection despite low public attention?,Oral/award paper with low AlphaXiv public votes.,https://icml.cc/virtual/2026/poster/63474,
program_ahead_of_public,1000,3961,62535,Privacy-Aware Video Anomaly Detection: Guided Orthogonal Projection and a Comprehensive Evaluation Framework,"Multimodal, Vision, and Perception","Vision robustness, detection, and adversarial perception",true,,0,0,,0,73,taxonomy_boundaries,,needs_review,medium,Method / algorithm,LLM post-training,vision/video; security/safety,What technical reason might explain oral/award selection despite low public attention?,Oral/award paper with low AlphaXiv public votes.,https://icml.cc/virtual/2026/poster/62535,
program_ahead_of_public,1000,3962,65576,SpatioLM: Towards General Physical Spatial Intelligence in Vision-Language Models,"Multimodal, Vision, and Perception",Vision-language reasoning and video understanding,true,,0,0,,0,,,,stable_seed,medium,Theory / proof,LLM post-training; Reasoning / test-time compute,vision/video; robotics/embodied; language/llm,What technical reason might explain oral/award selection despite low public attention?,Oral/award paper with low AlphaXiv public votes.,https://icml.cc/virtual/2026/poster/65576,
program_ahead_of_public,1000,3963,65169,Video-Based Optimal Transport for Feedback-Efficient Offline Preference-Based Reinforcement Learning,Reinforcement Learning and Control,"Core RL, offline RL, and policy optimization",true,,0,0,,0,198,breadth_and_sanity_checks,,stable_seed,medium,Benchmark / evaluation,RL / policy optimization; LLM post-training; Agents / tool use,vision/video; robotics/embodied,What technical reason might explain oral/award selection despite low public attention?,Oral/award paper with low AlphaXiv public votes.,https://icml.cc/virtual/2026/poster/65169,
program_ahead_of_public,1000,3964,60784,GoodDiffusion: Proactive Copyright Protection for Diffusion Generative Models via Learnable Sample-specific Signatures,"Safety, Governance, Privacy, and Society","Privacy, differential privacy, and unlearning",true,,0,0,,0,,,,stable_seed,medium,Method / algorithm,Diffusion / flow,robotics/embodied; security/safety,What technical reason might explain oral/award selection despite low public attention?,Oral/award paper with low AlphaXiv public votes.,https://icml.cc/virtual/2026/poster/60784,
