group_type,group,paper_count,github_url_count,github_url_share,likely_code_count,likely_code_share,needs_manual_check_count,total_github_stars,top_artifact_papers
cluster,16: physics / pde / equations / pdes,86,21,0.2442,21,0.2442,0,372,"GeoPT: Scaling Physics Simulation via Lifted Geometric Pre-Training (210 stars) | Mesh Based Simulations with Spatial and Temporal awareness (48 stars) | Learning, Solving and Optimizing PDEs with TensorGalerkin: an efficient high-performance Galerkin assembly algorithm (20 stars) | Scalable Bayesian Inference for Nonlinear Conservation Laws (13 stars) | TINNs: Time-Induced Neural Networks for Solving Time-Dependent PDEs (12 stars)"
cluster,17: representation / machine learning / machine / general,535,106,0.1981,106,0.1981,0,1589,mHC: Manifold-Constrained Hyper-Connections (367 stars) | Causal-JEPA: Learning World Models through Object-Level Latent Interventions (206 stars) | Statistical Learning Theory in Lean 4: Empirical Processes from Scratch (100 stars) | Temporal Straightening for Latent Planning (92 stars) | Rectified LpJEPA: Joint-Embedding Predictive Architectures with Sparse and Maximum-Entropy Representations (79 stars)
cluster,18: time series / series / time / forecasting,154,33,0.2143,32,0.2078,1,19902,From geometry to dynamics: Learning overdamped Langevin dynamics from sparse observations with geometric constraints (17294 stars) | OpenTSLM: Time-Series Language Models for Reasoning over Multivariate Medical Text- and Time-Series Data (1184 stars) | MN-Diff: Diffusion Parameterized  MoE-NCDE for Continuous Time Series Generation with Irregular Observations (1079 stars) | HEARTS: Benchmarking LLM Reasoning on Health Time Series (48 stars) | DAG: A Dual Correlation Network for Time Series Forecasting with Exogenous Variables (45 stars)
cluster,19: action / vla / language action / vision language,129,43,0.3333,39,0.3023,4,20908,From Abstraction to Instantiation: Learning Behavioral Representation for Vision-Language-Action Model (5069 stars) | LaST$_{0}$: Latent Spatio-Temporal Chain-of-Thought for Robotic Vision-Language-Action Model (5063 stars) | Hydra-Nav: Object Navigation via Adaptive Dual-Process Reasoning (5063 stars) | RoboTwin 2.0: A Scalable Data Generator and Benchmark with Strong Domain Randomization for Robust Bimanual Robotic Manipulation (2562 stars) | VLANeXt: Recipes for Building Strong VLA Models (833 stars)
cluster,1: language / language models / llms / large language,403,123,0.3052,123,0.3052,0,3967,Scaling Generative Verifiers For Natural Language Mathematical Proof Verification And Selection (1004 stars) | Verbalized Sampling: How to Mitigate Mode Collapse and Unlock LLM Diversity (776 stars) | Sampling from Your Language Model One Byte at a Time (292 stars) | Solving Physics Olympiad via Reinforcement Learning on Physics Simulators (170 stars) | HGMem: Hypergraph-based Working Memory to Improve Multi-step RAG for Long-Context Complex Relational Modeling (129 stars)
cluster,20: code / anonymous / 4open science / 4open,210,58,0.2762,58,0.2762,0,9862,PaperBanana: Automating Academic Illustration for AI Scientists (6765 stars) | SpecExit: Accelerating Large Reasoning Model via Speculative Exit (1399 stars) | Closing the Loop: Universal Repository Representation with RPG-Encoder (589 stars) | FrontierCS: Evolving Challenges for Evolving Intelligence (266 stars) | NL2Repo-Bench: Towards Long-Horizon Repository Generation Evaluation of Coding Agents (142 stars)
cluster,21: quantization / kv / memory / cache,260,59,0.2269,59,0.2269,0,43575,When RL Meets Adaptive Speculative Training:  A Unified Training-Serving System (30219 stars) | DFlash: Block Diffusion for Flash Speculative Decoding (5451 stars) | DITRON: Distributed Multi-level Tiling Compiler for Parallel Tensor Programs (1486 stars) | SpecForge: A Flexible and Efficient Open-Source Training Framework for Speculative Decoding (985 stars) | TriAttention: Efficient Long Reasoning with Trigonometric KV Compression (815 stars)
cluster,22: gradient / networks / optimization / neural networks,248,41,0.1653,41,0.1653,0,1280,Neural Thickets: Diverse Task Experts Are Dense Around Pretrained Weights (627 stars) | Deep Networks Learn Deep Hierarchical Models (133 stars) | Controlled LLM Training on Spectral Sphere (130 stars) | SoftJAX & SoftTorch: Empowering Automatic Differentiation Libraries with Informative Gradients (88 stars) | NorMuon: Making Muon more efficient and scalable (82 stars)
cluster,23: interpretability / accountability / transparency / transparency interpretability,145,41,0.2828,41,0.2828,0,492,"Learning a Generative Meta-Model of LLM Activations (90 stars) | How Good is Post-Hoc Watermarking With Language Model Rephrasing? (66 stars) | Base Models Know How to Reason, Thinking Models Learn When (41 stars) | Chain-of-Thought Reasoning In The Wild Is Not Always Faithful (35 stars) | Emergent Analogical Reasoning in Transformers (34 stars)"
cluster,24: preference / reward / preferences / preference optimization,133,30,0.2256,29,0.218,1,5317,Autoregressive Direct Preference Optimization (5063 stars) | Beyond VLM-Based Rewards: Diffusion-Native Latent Reward Modeling (63 stars) | MIRO: MultI-Reward cOnditioned pretraining improves T2I quality and efficiency (40 stars) | Reward Auditor: Inference on Reward Modeling Suitability in Real-World Perturbed Scenarios (36 stars) | CMI-RewardBench: Evaluating Music Reward Models with Compositional Multimodal Instruction (21 stars)
cluster,25: cross / semantic / label / extensive,368,73,0.1984,73,0.1984,0,1514,Unifying Heterogeneous Multi-Modal Remote Sensing Detection Via Language-Pivoted Pretraining (478 stars) | MUSE: Resolving Manifold Misalignment in Visual Tokenization via Topological Orthogonality (380 stars) | GenShield: Unified Detection and Artifact Correction for AI-Generated Images (93 stars) | Any2Any: Unified Arbitrary Modality Translation for Remote Sensing (79 stars) | Is Training Necessary for Anomaly Detection? (78 stars)
cluster,26: privacy / private / dp / aspects privacy,79,11,0.1392,11,0.1392,0,30,"Privasis: Synthesizing the Largest ""Public"" Private Dataset from Scratch (14 stars) | Unlearning’s Blind Spots: Over‑Unlearning and Prototypical Relearning Attack (7 stars) | ZeroUnlearn: Few-Shot Knowledge Unlearning in Large Language Models (5 stars) | DualOptim+: Bridging Shared and Decoupled Optimizer States for Better Machine Unlearning in Large Language Models (1 stars) | How Hard Can It Be? Hardness-Aware Multi-Objective Unlearning (1 stars)"
cluster,27: neuroscience / cognitive / neuroscience cognitive / applications neuroscience,105,15,0.1429,15,0.1429,0,184,EEG-FM-Bench: A Comprehensive Benchmark for the Systematic Evaluation and Diagnostic Analyses of EEG Foundation Models (57 stars) | Scaling Vision Transformers for Functional MRI with Flat Maps (52 stars) | FOVI: A biologically-inspired foveated interface for deep vision models (16 stars) | Omni-fMRI: A Universal Atlas-Free fMRI Foundation Model (16 stars) | MEG-XL: Data-Efficient Brain-to-Text via Long-Context Pre-Training (12 stars)
cluster,28: position / ai / position paper / argues,178,12,0.0674,11,0.0618,1,322,Position: Embodied AI Requires a Privacy-Utility Tradeoff (144 stars) | Position: Stop Anthropomorphizing Intermediate Tokens as Reasoning/Thinking Traces! (63 stars) | Position: Ideas Should be the Center of Machine Learning Research (63 stars) | Peer-Preservation in Frontier Models (36 stars) | Position: Evaluating LLMs in Finance Requires Explicit Bias Consideration (8 stars)
cluster,29: speech / audio / applications language / speech dialog,80,21,0.2625,19,0.2375,2,14710,"AudioChat: Unified Audio Storytelling, Editing, and Understanding with Transfusion Forcing (5063 stars) | AuTAgent: A Reinforcement Learning Framework for Tool-Augmented Audio Reasoning (5063 stars) | SAM Audio: Segment Anything in Audio (3567 stars) | Simultaneous Speech-to-Speech Translation Without Aligned Data (260 stars) | A Semantically Consistent Dataset for Data-Efficient Query-Based Universal Sound Separation (245 stars)"
cluster,2: attacks / attack / safety / adversarial,183,44,0.2404,44,0.2404,0,699,The Trojan Knowledge: Bypassing Commercial LLM Guardrails via Harmless Prompt Weaving and Adaptive Tree Search (208 stars) | Jailbreak Foundry: From Papers to Runnable Attacks for Reproducible Benchmarking (158 stars) | MAGIC: A Co-Evolving Attacker–Defender Adversarial Game for Robust LLM Safety (50 stars) | Chasing Moving Targets with Online Self-Play Reinforcement Learning for Safer Language Models (36 stars) | REALISTA: Realistic Latent Adversarial Attacks that Elicit LLM Hallucinations (29 stars)
cluster,3: diffusion / generative / diffusion models / generative models,403,114,0.2829,114,0.2829,0,3419,Self-Supervised Flow Matching for Scalable Multi-Modal Synthesis (531 stars) | DyPE: Dynamic Position Extrapolation for Ultra High Resolution Diffusion (356 stars) | One-step Latent-free Image Generation with Pixel Mean Flows (267 stars) | WISE: World Knowledge-Informed Semantic Evaluation for Text-to-Image Generation (210 stars) | Latent Forcing: Reordering the Diffusion Trajectory for Pixel-Space Image Generation (133 stars)
cluster,4: visual / multimodal / reasoning / vision,290,112,0.3862,110,0.3793,2,17008,Vision-aligned Latent Reasoning for Multi-Modal Large Language Model (6773 stars) | From Correspondence to Actions: Human-Like Multi-Image Spatial Reasoning in Multi-modal Large Language Models (5063 stars) | Agent0-VL: Exploring Self-Evolving Agent for Tool-Integrated Vision-Language Reasoning (1228 stars) | FG-CLIP 2: A Bilingual Fine-grained Vision-Language Alignment Model (760 stars) | BabyVision: Visual Reasoning Beyond Language (227 stars)
cluster,5: graph / graph neural / networks / neural networks,176,33,0.1875,33,0.1875,0,394,Regression Language Models for Code (169 stars) | Adaptive Node Feature Selection for Graph Neural Networks (91 stars) | On Efficient Scaling of GNNs via IO-Aware Layers Implementations (63 stars) | Normality Calibration in Semi-supervised Graph Anomaly Detection (30 stars) | Generative Representation Learning on Hyper-relational Knowledge Graphs via Masked Discrete Diffusion (5 stars)
cluster,6: reasoning / reinforcement / rl / reinforcement learning,253,101,0.3992,101,0.3992,0,7695,"Reinforcement Learning via Self-Distillation (1008 stars) | Towards Efficient Large Language Reasoning Models via Extreme-Ratio Chain-of-Thought Compression (968 stars) | Reinforcement Learning with Evolving Rubrics for Deep Research (682 stars) | Graph-R1: Towards Agentic GraphRAG Framework via End-to-end Reinforcement Learning (580 stars) | RLAnything: Forge Environment, Policy, and Reward Model in Completely Dynamic RL System (577 stars)"
cluster,7: reinforcement learning / reinforcement / policy / rl,295,59,0.2,59,0.2,0,4256,DADP: Domain Adaptive Diffusion Policy (1969 stars) | Distributional Inverse Reinforcement Learning (474 stars) | Chunk-Guided Q-Learning (435 stars) | Optimizing Return Distributions with Distributional Dynamic Programming (292 stars) | Distributional Active Inference (292 stars)
cluster,8: causal / causality / learning causality / treatment,97,7,0.0722,7,0.0722,0,22,CauScale: Neural Causal Discovery at Scale (21 stars) | A Recursive Decomposition Framework for Causal Structure Learning in the Presence of Latent Variables (1 stars)
cluster,9: theory / algorithm / optimal / regret,372,30,0.0806,30,0.0806,0,489,Optimal Regularization for Performative Learning (297 stars) | The Cost of Learning under Multiple Change Points (148 stars) | An Embarrasingly Simple Way to Optimize Orthogonal Matrices at Scale (13 stars) | A Penalty Approach For Differentiation Through Black-box Quadratic Programming Solvers (6 stars) | Performative Learning Theory (4 stars)
cluster,Unknown,5,0,0.0,0,0.0,0,0,
audience_path,AI for Science Researcher,25,6,0.24,6,0.24,0,167,"Protein Autoregressive Modeling via Multiscale Structure Generation (81 stars) | HEARTS: Benchmarking LLM Reasoning on Health Time Series (48 stars) | Learning, Solving and Optimizing PDEs with TensorGalerkin: an efficient high-performance Galerkin assembly algorithm (20 stars) | Protein Fold Classification at Scale: Benchmarking and Pretraining (12 stars) | Training-Free Bayesian Filtering with Generative Emulators (6 stars)"
audience_path,Agents and Tool-Use Researcher,25,17,0.68,17,0.68,0,7323,SimpleMem: Efficient Lifelong Memory for LLM Agents (3641 stars) | $\tau^2$-Bench: Evaluating Conversational Agents in a Dual-Control Environment (1569 stars) | Latent Collaboration in Multi-Agent Systems (1048 stars) | Agent World Model: Infinity Synthetic Environments for Agentic Reinforcement Learning (408 stars) | Agent Learning via Early Experience (148 stars)
audience_path,Diffusion and Generative Modeling Researcher,25,14,0.56,14,0.56,0,484,The Flexibility Trap: Rethinking the Value of Arbitrary Order in Diffusion Language Models (212 stars) | EPiC: Efficient Video Camera Control Learning with Precise Anchor-Video Guidance (50 stars) | Light Forcing: Accelerating Autoregressive Video Diffusion via Sparse Attention (40 stars) | Any-Order GPT as Masked Diffusion Model: Decoupling Formulation and Architecture (36 stars) | VectorWorld: Efficient Streaming World Model via Diffusion Flow on Vector Graphs (31 stars)
audience_path,Executive / Broad Landscape Reader,25,10,0.4,10,0.4,0,965,WeDLM: Reconciling Diffusion Language Models with Standard Causal Attention for Fast Inference (644 stars) | The Flexibility Trap: Rethinking the Value of Arbitrary Order in Diffusion Language Models (212 stars) | Large Language Models Explore by Latent Distilling (45 stars) | Depth-Breadth Synergy in RLVR: Unlocking LLM Reasoning Gains with Adaptive Exploration (24 stars) | The Obfuscation Atlas: Mapping Where Honesty Emerges in RLVR with Deception Probes (13 stars)
audience_path,LLM Reasoning Researcher,25,15,0.6,15,0.6,0,2242,Scaling Generative Verifiers For Natural Language Mathematical Proof Verification And Selection (1004 stars) | Reinforcement Learning with Evolving Rubrics for Deep Research (682 stars) | The Flexibility Trap: Rethinking the Value of Arbitrary Order in Diffusion Language Models (212 stars) | Scaling Prompt Synthesis for Large Language Model Reasoning (131 stars) | Process Reward Models That Think (89 stars)
audience_path,Multimodal and Robotics Researcher,25,14,0.56,12,0.48,2,11598,From Abstraction to Instantiation: Learning Behavioral Representation for Vision-Language-Action Model (5069 stars) | LaST$_{0}$: Latent Spatio-Temporal Chain-of-Thought for Robotic Vision-Language-Action Model (5063 stars) | Utonia: Toward One Encoder for All Point Clouds (710 stars) | SceneSmith: Agentic Generation of Simulation-Ready Indoor Scenes (506 stars) | LangForce: Bayesian Decomposition of Vision Language Action Models via Latent Action Queries (69 stars)
audience_path,RL Researcher,25,6,0.24,6,0.24,0,509,The Flexibility Trap: Rethinking the Value of Arbitrary Order in Diffusion Language Models (212 stars) | On Computation and Reinforcement Learning (168 stars) | Advancing LLM Reasoning with Natural Language and Numerical Feedback (70 stars) | Milestone-Guided Policy Learning for Long-Horizon Language Agents (34 stars) | Zero-Shot Off-Policy Learning (25 stars)
audience_path,"Safety, Alignment, and Governance Researcher",25,7,0.28,7,0.28,0,123,The Personality Illusion: Revealing Dissociation Between Self-Reports & Behavior in LLMs (76 stars) | The Obfuscation Atlas: Mapping Where Honesty Emerges in RLVR with Deception Probes (13 stars) | Furina: Fragmented Uncertainty-Driven Refusal Instability Attack (13 stars) | Jailbreaking Vision-Language Models Through the Visual Modality (7 stars) | Disentangling Intent from Role: Adversarial Self-Play for Persona-Invariant Safety Alignment (6 stars)
audience_path,Systems and Efficiency Builder,25,12,0.48,12,0.48,0,1145,WeDLM: Reconciling Diffusion Language Models with Standard Causal Attention for Fast Inference (644 stars) | The Flexibility Trap: Rethinking the Value of Arbitrary Order in Diffusion Language Models (212 stars) | ThreadWeaver: Adaptive Threading for Efficient Parallel Reasoning in Language Models (66 stars) | xKV: Cross-Layer KV-Cache Compression via Aligned Singular Vector Extraction (52 stars) | Large Language Models Explore by Latent Distilling (45 stars)
audience_path,Theory and Optimization Researcher,25,2,0.08,2,0.08,0,342,The Flexibility Trap: Rethinking the Value of Arbitrary Order in Diffusion Language Models (212 stars) | Controlled LLM Training on Spectral Sphere (130 stars)
