sprint_rank,event_id,title,review_phase,area,subarea,claim_ids,why_first,claim_overlay_keys,area_overlay_keys,claim_fields_to_fill,area_fields_to_fill,review_focus,claim_packet_links,claim_dossier_links,area_packet_link,area_briefing_link,signals,method_families,evaluation_settings,abstract_excerpt,icml_url,alphaxiv_url,github_url
1,62989,How much can language models memorize?,main_thesis_claims,"LLM Reasoning, Post-Training, and RLVR",Diffusion language models and decoding,C01; C08,in claim-validation queue; supports priority claim(s) C01; in area-validation queue; priority report area; award paper; oral/program signal; taxonomy boundary needs review; artifact-visible; high AlphaXiv attention,C01::62989 | C08::62989,"LLM Reasoning, Post-Training, and RLVR::62989",manual_claim_support; manual_taxonomy_judgment; manual_artifact_judgment; manual_notes,manual_validated; manual_primary_contribution_type; manual_method_family; manual_artifact_status; manual_fault_line_relevance; manual_notes,Check whether this is genuinely LLM reasoning/post-training or a broader LLM/system/safety paper. | Decide whether this cluster should remain in the assigned area/subarea or be relabeled.,reports/claim_validation_packets/c01-llm-reasoning-center-of-gravity.md; reports/claim_validation_packets/c08-validation-priority.md,reports/claim_evidence_dossiers/c01-llm-reasoning-center-of-gravity.md; reports/claim_evidence_dossiers/c08-validation-priority.md,reports/validation_packets/llm-reasoning-post-training-and-rlvr.md,reports/area_briefing_cards/llm-reasoning-post-training-and-rlvr.md,oral; Outstanding Paper Honorable Mention; votes=271; github_stars=2; taxonomy_review; evidence=medium,Transformer / attention,language/llm,"We propose a new method for estimating how much a model knows about a datapoint and use it to measure the capacity of modern language models. Prior studies of language model memorization have struggled to disentangle memorization from generalization. We formally separate memorization into two components: unintended memorization, the information a model contains about a specific dataset, and generalization, the information a model contains about the true data-generation process. When we completely eliminate generalization, we can compute the total memorization, which provides an estimate of model capacity: our measurements estimate that GPT-style models have a capacity of approximately...",https://icml.cc/virtual/2026/poster/62989,https://www.alphaxiv.org/abs/2505.24832,https://github.com/SimonCao1207/LLM-Capacity
2,66206,To Grok Grokking: Provable Grokking in Ridge Regression,main_thesis_claims,"Theory, Optimization, and Algorithms",Statistical learning theory and regression,C03; C08,in claim-validation queue; supports priority claim(s) C03; in area-validation queue; priority report area; award paper; oral/program signal; taxonomy boundary needs review; low-confidence evidence code,C03::66206 | C08::66206,"Theory, Optimization, and Algorithms::66206",manual_claim_support; manual_taxonomy_judgment; manual_artifact_judgment; manual_notes,manual_validated; manual_primary_contribution_type; manual_method_family; manual_artifact_status; manual_fault_line_relevance; manual_notes,Identify the technical reason for high program signal and whether public attention misses it. | Use high-signal papers to stress-test taxonomy boundaries.,reports/claim_validation_packets/c03-program-committee-attention.md; reports/claim_validation_packets/c08-validation-priority.md,reports/claim_evidence_dossiers/c03-program-committee-attention.md; reports/claim_evidence_dossiers/c08-validation-priority.md,reports/validation_packets/theory-optimization-and-algorithms.md,reports/area_briefing_cards/theory-optimization-and-algorithms.md,oral; Outstanding Paper Honorable Mention; votes=7; taxonomy_review; evidence=low,,theory/synthetic,"We study *grokking* - the onset of generalization long after overfitting - in a classical ridge regression setting. We prove end-to-end grokking results for learning over-parameterized linear regression models using gradient descent with weight decay. Specifically, we prove that the following stages occur: (i) the model overfits the training data early during training; (ii) poor generalization persists long after overfitting has manifested; and (iii) the generalization error eventually becomes arbitrarily small. Moreover, we show, both theoretically and empirically, that grokking can be amplified or eliminated in a principled manner through proper hyperparameter tuning. To the best of...",https://icml.cc/virtual/2026/poster/66206,https://www.alphaxiv.org/abs/2601.19791,
3,61998,The Flexibility Trap: Rethinking the Value of Arbitrary Order in Diffusion Language Models,main_thesis_claims,"LLM Reasoning, Post-Training, and RLVR",Reasoning models and chain-of-thought behavior,C01; C08,in claim-validation queue; supports priority claim(s) C01; in area-validation queue; priority report area; award paper; oral/program signal; taxonomy boundary needs review; artifact-visible; moderate AlphaXiv attention,C01::61998 | C08::61998,"LLM Reasoning, Post-Training, and RLVR::61998",manual_claim_support; manual_taxonomy_judgment; manual_artifact_judgment; manual_notes,manual_validated; manual_primary_contribution_type; manual_method_family; manual_artifact_status; manual_fault_line_relevance; manual_notes,Check whether this is genuinely LLM reasoning/post-training or a broader LLM/system/safety paper. | Use high-signal papers to stress-test taxonomy boundaries.,reports/claim_validation_packets/c01-llm-reasoning-center-of-gravity.md; reports/claim_validation_packets/c08-validation-priority.md,reports/claim_evidence_dossiers/c01-llm-reasoning-center-of-gravity.md; reports/claim_evidence_dossiers/c08-validation-priority.md,reports/validation_packets/llm-reasoning-post-training-and-rlvr.md,reports/area_briefing_cards/llm-reasoning-post-training-and-rlvr.md,oral; Outstanding Paper Award; votes=92; github_stars=212; taxonomy_review; evidence=medium,RL / policy optimization; Reasoning / test-time compute; Diffusion / flow,language/llm,"Diffusion Large Language Models (dLLMs) break the rigid left-to-right constraint of traditional LLMs, enabling token generation in arbitrary orders. Intuitively, this flexibility implies a solution space that strictly supersets the fixed autoregressive trajectory, theoretically unlocking superior reasoning potential. Indeed, for specific constraint satisfaction tasks (e.g., sudoku puzzles), this capability has proven to be highly advantageous. However, in this paper, we reveal that for general reasoning tasks (e.g., mathematics and coding), arbitrary order generation may in fact limit the reasoning potential of dLLMs. We find that dLLMs tend to exploit this order flexibility to bypass...",https://icml.cc/virtual/2026/poster/61998,https://www.alphaxiv.org/abs/2601.15165,https://github.com/LeapLabTHU/JustGRPO
4,65901,Neural Thickets: Diverse Task Experts Are Dense Around Pretrained Weights,main_thesis_claims,Systems and Efficient Foundation Models,"Large-scale training, optimizers, and model architecture",C02; C06,in claim-validation queue; supports priority claim(s) C02; in area-validation queue; priority report area; taxonomy boundary needs review; low-confidence evidence code; artifact-visible; high AlphaXiv attention; public attention without program signal,C02::65901 | C06::65901,Systems and Efficient Foundation Models::65901,manual_claim_support; manual_taxonomy_judgment; manual_artifact_judgment; manual_notes,manual_validated; manual_primary_contribution_type; manual_method_family; manual_artifact_status; manual_fault_line_relevance; manual_notes,Check whether public signal reflects core infrastructure/agent workloads or broad LLM spillover. | Check whether broad arXiv-growth terms correspond to the paper's actual contribution.,reports/claim_validation_packets/c02-infrastructure-and-agentic-workloads.md; reports/claim_validation_packets/c06-external-trend-context.md,reports/claim_evidence_dossiers/c02-infrastructure-and-agentic-workloads.md; reports/claim_evidence_dossiers/c06-external-trend-context.md,reports/validation_packets/systems-and-efficient-foundation-models.md,reports/area_briefing_cards/systems-and-efficient-foundation-models.md,votes=365; github_stars=627; taxonomy_review; evidence=low,RL / policy optimization; LLM post-training,,"Pretraining produces a learned parameter vector that is typically treated as a starting point for further iterative adaptation. In this work, we instead view the outcome of pretraining as a distribution over parameter vectors, whose support already contains task-specific experts. We show that in smaller or insufficiently trained models such expert solutions occupy a negligible fraction of the volume of this distribution, making their discovery reliant on structured optimization methods such as gradient descent. In contrast, in large, well-pretrained models the density of task-experts increases dramatically, so that diverse specialists populate a substantial fraction of the neighborhood...",https://icml.cc/virtual/2026/poster/65901,https://www.alphaxiv.org/abs/2603.12228,https://github.com/sunrainyg/RandOpt
5,65332,Maximum Likelihood Reinforcement Learning,main_thesis_claims,"LLM Reasoning, Post-Training, and RLVR","Reward modeling, preference feedback, and RL post-training",C01; C08,in claim-validation queue; supports priority claim(s) C01; in area-validation queue; priority report area; oral/program signal; taxonomy boundary needs review; artifact-visible; high AlphaXiv attention,C01::65332 | C08::65332,"LLM Reasoning, Post-Training, and RLVR::65332",manual_claim_support; manual_taxonomy_judgment; manual_artifact_judgment; manual_notes,manual_validated; manual_primary_contribution_type; manual_method_family; manual_artifact_status; manual_fault_line_relevance; manual_notes,Check whether this is genuinely LLM reasoning/post-training or a broader LLM/system/safety paper. | Use high-signal papers to stress-test taxonomy boundaries.,reports/claim_validation_packets/c01-llm-reasoning-center-of-gravity.md; reports/claim_validation_packets/c08-validation-priority.md,reports/claim_evidence_dossiers/c01-llm-reasoning-center-of-gravity.md; reports/claim_evidence_dossiers/c08-validation-priority.md,reports/validation_packets/llm-reasoning-post-training-and-rlvr.md,reports/area_briefing_cards/llm-reasoning-post-training-and-rlvr.md,oral; votes=259; github_stars=194; taxonomy_review; evidence=medium,RL / policy optimization; Diffusion / flow,language/llm,"Maximum likelihood is fundamental to supervised learning but it cannot be directly applied in correctness-based problems with non-differentiable sampling. In these settings, reinforcement learning (RL) is typically used to maximize expected reward. We show that for binary correctness tasks, expected-reward RL is a first-order approximation of the maximum likelihood objective, yielding vanishing learning signal on low-success inputs. We introduce **Maximum Likelihood Reinforcement Learning (MaxRL)**, a compute-indexed family of sampling-based objectives derived from a pass@k expansion of the likelihood, which interpolates between standard RL and exact maximum likelihood as compute...",https://icml.cc/virtual/2026/poster/65332,https://www.alphaxiv.org/abs/2602.02710,https://github.com/tajwarfahim/maxrl
6,65206,PaperBanana: Automating Academic Illustration for AI Scientists,main_thesis_claims,"Agents, Code, and Tool Use","Agent evaluation, tool use, and agentic workflows",C02; C07,"in claim-validation queue; supports priority claim(s) C02, C07; in area-validation queue; priority report area; artifact-visible; high AlphaXiv attention; public attention without program signal",C02::65206 | C07::65206,"Agents, Code, and Tool Use::65206",manual_claim_support; manual_taxonomy_judgment; manual_artifact_judgment; manual_notes,manual_validated; manual_primary_contribution_type; manual_method_family; manual_artifact_status; manual_fault_line_relevance; manual_notes,"Check whether public signal reflects core infrastructure/agent workloads or broad LLM spillover. | Check artifact type, license/readme quality, and whether reproduction assets are present.",reports/claim_validation_packets/c02-infrastructure-and-agentic-workloads.md; reports/claim_validation_packets/c07-artifact-visibility.md,reports/claim_evidence_dossiers/c02-infrastructure-and-agentic-workloads.md; reports/claim_evidence_dossiers/c07-artifact-visibility.md,reports/validation_packets/agents-code-and-tool-use.md,reports/area_briefing_cards/agents-code-and-tool-use.md,votes=420; github_stars=6765; evidence=medium,Agents / tool use,vision/video; language/llm,"Despite rapid advances in autonomous AI scientists powered by language models, generating publication-ready illustrations remains a labor-intensive bottleneck in the research workflow. To lift this burden, we introduce PaperBanana, an agentic framework for automated generation of publication-ready academic illustrations. Powered by state-of-the-art VLMs and image generation models, PaperBanana orchestrates specialized agents to retrieve references, plan content and style, render images, and iteratively refine via self-critique. To rigorously evaluate our framework, we introduce PaperBananaBench, comprising 292 test cases for methodology diagrams curated from NeurIPS 2025 publications,...",https://icml.cc/virtual/2026/poster/65206,https://www.alphaxiv.org/abs/2601.23265,https://github.com/dwzhu-pku/PaperBanana
7,60766,The Obfuscation Atlas: Mapping Where Honesty Emerges in RLVR with Deception Probes,main_thesis_claims,"Safety, Governance, Privacy, and Society","Adversarial safety, attacks, and security",C03,in claim-validation queue; supports priority claim(s) C03; in area-validation queue; priority report area; award paper; oral/program signal; artifact-visible,C03::60766,"Safety, Governance, Privacy, and Society::60766",manual_claim_support; manual_taxonomy_judgment; manual_artifact_judgment; manual_notes,manual_validated; manual_primary_contribution_type; manual_method_family; manual_artifact_status; manual_fault_line_relevance; manual_notes,Identify the technical reason for high program signal and whether public attention misses it.,reports/claim_validation_packets/c03-program-committee-attention.md,reports/claim_evidence_dossiers/c03-program-committee-attention.md,reports/validation_packets/safety-governance-privacy-and-society.md,reports/area_briefing_cards/safety-governance-privacy-and-society.md,oral; Outstanding Paper Honorable Mention; votes=14; github_stars=13; evidence=medium,RL / policy optimization; LLM post-training,language/llm,"Training against white-box deception detectors has been proposed as a way to make AI systems honest. However, such training risks models learning to obfuscate their deception to evade the detector. Prior work has studied obfuscation only in artificial settings where models were directly rewarded for harmful output. We construct a realistic coding environment where reward hacking via hardcoding test cases naturally occurs, and show that obfuscation emerges in this setting. We introduce a taxonomy of possible outcomes when training against a deception detector. The model either remains honest, or becomes deceptive via two possible obfuscation strategies. (i) *Obfuscated activations*: the...",https://icml.cc/virtual/2026/poster/60766,https://www.alphaxiv.org/abs/2602.15515,https://github.com/AlignmentResearch/obfuscation-atlas
8,67084,Position: AI/ML Deepfake Research is Misaligned with AI Generated Non-Consensual Intimate Imagery (AIG-NCII),main_thesis_claims,"Safety, Governance, Privacy, and Society","Position papers, policy, and social impacts",C03,in claim-validation queue; supports priority claim(s) C03; in area-validation queue; priority report area; award paper; oral/program signal,C03::67084,"Safety, Governance, Privacy, and Society::67084",manual_claim_support; manual_taxonomy_judgment; manual_artifact_judgment; manual_notes,manual_validated; manual_primary_contribution_type; manual_method_family; manual_artifact_status; manual_fault_line_relevance; manual_notes,Identify the technical reason for high program signal and whether public attention misses it.,reports/claim_validation_packets/c03-program-committee-attention.md,reports/claim_evidence_dossiers/c03-program-committee-attention.md,reports/validation_packets/safety-governance-privacy-and-society.md,reports/area_briefing_cards/safety-governance-privacy-and-society.md,oral; Outstanding Position Paper Honorable Mention; votes=0; evidence=medium,Agents / tool use,vision/video; security/safety; theory/synthetic,"AI-generated non-consensual intimate imagery (AIG-NCII) is not adequately addressed in AI/ML literature regarding AI-generated media, commonly referred to as ""deepfakes"". While research on deepfakes currently focuses on its epistemic harms—or harms relating to truth and authenticity—this is misaligned with the dominant reality of generative AI abuse involving sexualized imagery. We conduct a landscape analysis of highly-cited works to demonstrate that technical interventions addressing deepfakes almost entirely ignore AIG-NCII, limiting the research ecosystem to authenticity detection tools. In this position paper, we argue that existing interventions address viewer-centric epistemic...",https://icml.cc/virtual/2026/poster/67084,,
9,67118,Position: The Alignment Community is Unintentionally Building a Censor’s Toolkit,main_thesis_claims,"Safety, Governance, Privacy, and Society","Position papers, policy, and social impacts",C03,in claim-validation queue; supports priority claim(s) C03; in area-validation queue; priority report area; award paper; oral/program signal,C03::67118,"Safety, Governance, Privacy, and Society::67118",manual_claim_support; manual_taxonomy_judgment; manual_artifact_judgment; manual_notes,manual_validated; manual_primary_contribution_type; manual_method_family; manual_artifact_status; manual_fault_line_relevance; manual_notes,Identify the technical reason for high program signal and whether public attention misses it.,reports/claim_validation_packets/c03-program-committee-attention.md,reports/claim_evidence_dossiers/c03-program-committee-attention.md,reports/validation_packets/safety-governance-privacy-and-society.md,reports/area_briefing_cards/safety-governance-privacy-and-society.md,oral; Outstanding Position Paper Award; votes=0; evidence=medium,LLM post-training; Agents / tool use,robotics/embodied; security/safety,"This position paper argues that modern alignment methods – originally designed to prevent harmful output – are dual-use technologies that may easily be misused by malicious actors for censorship and manipulation. By mapping current alignment techniques to the possibility and actual cases of misuse, we show that the quest for a ''perfectly aligned'' model inadvertently also provides malicious actors with an ever-improving tool for informational dominance. We need to discuss this dual-use potential *now*, as its risk is exacerbated by rapid user adoption of AI as information provider and a political landscape that increasingly shifts towards authoritarianism. We conclude by urging the...",https://icml.cc/virtual/2026/poster/67118,,
10,65886,Reinforcement Learning with Evolving Rubrics for Deep Research,main_thesis_claims,"LLM Reasoning, Post-Training, and RLVR","Reward modeling, preference feedback, and RL post-training",C01; C08,in claim-validation queue; supports priority claim(s) C01; in area-validation queue; priority report area; oral/program signal; taxonomy boundary needs review; artifact-visible; moderate AlphaXiv attention,C01::65886 | C08::65886,"LLM Reasoning, Post-Training, and RLVR::65886",manual_claim_support; manual_taxonomy_judgment; manual_artifact_judgment; manual_notes,manual_validated; manual_primary_contribution_type; manual_method_family; manual_artifact_status; manual_fault_line_relevance; manual_notes,Check whether this is genuinely LLM reasoning/post-training or a broader LLM/system/safety paper. | Use high-signal papers to stress-test taxonomy boundaries.,reports/claim_validation_packets/c01-llm-reasoning-center-of-gravity.md; reports/claim_validation_packets/c08-validation-priority.md,reports/claim_evidence_dossiers/c01-llm-reasoning-center-of-gravity.md; reports/claim_evidence_dossiers/c08-validation-priority.md,reports/validation_packets/llm-reasoning-post-training-and-rlvr.md,reports/area_briefing_cards/llm-reasoning-post-training-and-rlvr.md,oral; votes=201; github_stars=682; taxonomy_review; evidence=medium,RL / policy optimization; Reasoning / test-time compute; Agents / tool use,math/code/verifiable; language/llm,"Deep research agents perform multi-step research to produce long-form, well-attributed answers. However, most open deep research agents are trained on easily verifiable short-form QA tasks via reinforcement learning with verifiable rewards, which does not extend to realistic long-form tasks. We address this with **Reinforcement Learning with Evolving Rubrics (RLER)**, where rubrics are constructed and maintained to *co-evolve* with the policy model during training. This allows the rubrics to incorporate newly explored information from search and contrasting model responses, enabling better fact checking and more discriminative on-policy feedback. Using RLER, we develop **Deep Research...",https://icml.cc/virtual/2026/poster/65886,https://www.alphaxiv.org/abs/2511.19399,https://github.com/rlresearch/dr-tulu
11,66212,Controlled LLM Training on Spectral Sphere,main_thesis_claims,Systems and Efficient Foundation Models,"Large-scale training, optimizers, and model architecture",C02; C08,in claim-validation queue; supports priority claim(s) C02; in area-validation queue; priority report area; oral/program signal; taxonomy boundary needs review; artifact-visible; moderate AlphaXiv attention,C02::66212 | C08::66212,Systems and Efficient Foundation Models::66212,manual_claim_support; manual_taxonomy_judgment; manual_artifact_judgment; manual_notes,manual_validated; manual_primary_contribution_type; manual_method_family; manual_artifact_status; manual_fault_line_relevance; manual_notes,Check whether program-selected papers substantiate systems/agents emphasis. | Use high-signal papers to stress-test taxonomy boundaries.,reports/claim_validation_packets/c02-infrastructure-and-agentic-workloads.md; reports/claim_validation_packets/c08-validation-priority.md,reports/claim_evidence_dossiers/c02-infrastructure-and-agentic-workloads.md; reports/claim_evidence_dossiers/c08-validation-priority.md,reports/validation_packets/systems-and-efficient-foundation-models.md,reports/area_briefing_cards/systems-and-efficient-foundation-models.md,oral; votes=115; github_stars=130; taxonomy_review; evidence=medium,Compression / efficiency,robotics/embodied; language/llm; theory/synthetic,"Scaling large models requires optimization strategies that ensure rapid convergence grounded in stability. Maximal Update Parametrization ($\boldsymbol{\mu}$P) provides a theoretical safeguard for width-invariant $\Theta(1)$ activation control, whereas emerging optimizers like Muon are only ""half-aligned"" with these constraints: they control updates but allow weights to drift. To address this limitation, we introduce the **Spectral Sphere Optimizer (SSO)**, which enforces strict module-wise spectral constraints on both weights and their updates. By deriving the steepest descent direction on the spectral sphere, SSO realizes a fully $\boldsymbol{\mu}$P-aligned optimization process. To...",https://icml.cc/virtual/2026/poster/66212,https://www.alphaxiv.org/abs/2601.08393,https://github.com/Unakar/Spectral-Sphere-Optimizer
12,64121,Reinforcement Learning via Self-Distillation,main_thesis_claims,"LLM Reasoning, Post-Training, and RLVR","Reward modeling, preference feedback, and RL post-training",C01; C06; C08,in claim-validation queue; supports priority claim(s) C01; in area-validation queue; priority report area; taxonomy boundary needs review; artifact-visible; high AlphaXiv attention; public attention without program signal,C01::64121 | C06::64121 | C08::64121,"LLM Reasoning, Post-Training, and RLVR::64121",manual_claim_support; manual_taxonomy_judgment; manual_artifact_judgment; manual_notes,manual_validated; manual_primary_contribution_type; manual_method_family; manual_artifact_status; manual_fault_line_relevance; manual_notes,Check whether high attention supports the center-of-gravity claim. | Check whether broad arXiv-growth terms correspond to the paper's actual contribution. | Decide whether this cluster should remain in the assigned area/subarea or be relabeled.,reports/claim_validation_packets/c01-llm-reasoning-center-of-gravity.md; reports/claim_validation_packets/c06-external-trend-context.md; reports/claim_validation_packets/c08-validation-priority.md,reports/claim_evidence_dossiers/c01-llm-reasoning-center-of-gravity.md; reports/claim_evidence_dossiers/c06-external-trend-context.md; reports/claim_evidence_dossiers/c08-validation-priority.md,reports/validation_packets/llm-reasoning-post-training-and-rlvr.md,reports/area_briefing_cards/llm-reasoning-post-training-and-rlvr.md,votes=718; github_stars=1008; taxonomy_review; evidence=medium,RL / policy optimization; LLM post-training; Reasoning / test-time compute; Agents / tool use; Diffusion / flow,math/code/verifiable; language/llm,"Large language models are increasingly post-trained with reinforcement learning in verifiable domains such as code and math. Yet, current methods for reinforcement learning with verifiable rewards (RLVR) learn only from a scalar outcome reward per attempt, creating a severe credit-assignment bottleneck. Many verifiable environments actually provide rich textual feedback, such as runtime errors or judge evaluations, that explain *why* an attempt failed. We formalize this setting as reinforcement learning with rich feedback and introduce **Self-Distillation Policy Optimization** (**SDPO**), which converts tokenized feedback into a dense learning signal without any external teacher or...",https://icml.cc/virtual/2026/poster/64121,https://www.alphaxiv.org/abs/2601.20802,https://github.com/lasgroup/SDPO
