sprint_rank,event_id,title,review_phase,area,subarea,claim_ids,why_first,claim_overlay_keys,area_overlay_keys,claim_fields_to_fill,area_fields_to_fill,review_focus,claim_packet_links,claim_dossier_links,area_packet_link,area_briefing_link,signals,method_families,evaluation_settings,abstract_excerpt,icml_url,alphaxiv_url,github_url
26,67247,Position: Stop Automating Peer Review Without Rigorous Evaluation,main_thesis_claims,"Safety, Governance, Privacy, and Society","Position papers, policy, and social impacts",C03,in claim-validation queue; supports priority claim(s) C03; in area-validation queue; priority report area; oral/program signal; low-confidence evidence code,C03::67247,"Safety, Governance, Privacy, and Society::67247",manual_claim_support; manual_taxonomy_judgment; manual_artifact_judgment; manual_notes,manual_validated; manual_primary_contribution_type; manual_method_family; manual_artifact_status; manual_fault_line_relevance; manual_notes,Identify the technical reason for high program signal and whether public attention misses it.,reports/claim_validation_packets/c03-program-committee-attention.md,reports/claim_evidence_dossiers/c03-program-committee-attention.md,reports/validation_packets/safety-governance-privacy-and-society.md,reports/area_briefing_cards/safety-governance-privacy-and-society.md,oral; votes=13; evidence=low,,language/llm,"Large language models offer a tempting solution to address the peer review crisis. This position paper argues that **today's AI systems should not be used to produce paper reviews**. We ground this positing in an empirical comparison of human- versus AI-generated ICLR 2026 reviews and an evaluation of the effect of automated paper rewriting on different AI reviewers. We identify two critical issues: 1) AI reviewers exhibit a *hivemind effect* of excessive agreement within and across papers that reduces perspective diversity. 2) AI review scores are trivially gameable through *paper laundering*: prompting an LLM to rewrite a paper could significantly increase the scores from AI reviewers,...",https://icml.cc/virtual/2026/poster/67247,https://www.alphaxiv.org/abs/2605.03202,
27,61382,Vision-aligned Latent Reasoning for Multi-Modal Large Language Model,artifact_and_reproducibility,"LLM Reasoning, Post-Training, and RLVR",Reasoning models and chain-of-thought behavior,C07,in claim-validation queue; supports priority claim(s) C07; priority report area; taxonomy boundary needs review; GitHub artifact needs manual check; artifact-visible,C07::61382,,manual_claim_support; manual_taxonomy_judgment; manual_artifact_judgment; manual_notes,,Determine whether the GitHub link is a real paper artifact or a template/index/project page.,reports/claim_validation_packets/c07-artifact-visibility.md,reports/claim_evidence_dossiers/c07-artifact-visibility.md,,reports/area_briefing_cards/llm-reasoning-post-training-and-rlvr.md,votes=56; github_stars=6773; taxonomy_review; artifact_manual_check; evidence=medium,Reasoning / test-time compute; Transformer / attention,vision/video; language/llm,"Despite recent advancements in Multi-modal Large Language Models (MLLMs) on diverse understanding tasks, these models struggle to solve problems which require extensive multi-step reasoning. This is primarily due to the progressive dilution of visual information during long-context generation, which hinders their ability to fully exploit test-time scaling. To address this issue, we introduce Vision-aligned Latent Reasoning (VaLR), a simple, yet effective reasoning framework that dynamically generates vision-aligned latent tokens before each Chain of Thought reasoning step, guiding the model to reason based on perceptual cues in the latent space. Specifically, VaLR is trained to preserve...",https://icml.cc/virtual/2026/poster/61382,https://www.alphaxiv.org/abs/2602.04476,https://github.com/awesome-NeRF/awesome-NeRF
28,64128,AuTAgent: A Reinforcement Learning Framework for Tool-Augmented Audio Reasoning,artifact_and_reproducibility,"LLM Reasoning, Post-Training, and RLVR","Reward modeling, preference feedback, and RL post-training",C07,in claim-validation queue; supports priority claim(s) C07; priority report area; taxonomy boundary needs review; GitHub artifact needs manual check; artifact-visible,C07::64128,,manual_claim_support; manual_taxonomy_judgment; manual_artifact_judgment; manual_notes,,Determine whether the GitHub link is a real paper artifact or a template/index/project page.,reports/claim_validation_packets/c07-artifact-visibility.md,reports/claim_evidence_dossiers/c07-artifact-visibility.md,,reports/area_briefing_cards/llm-reasoning-post-training-and-rlvr.md,votes=8; github_stars=5063; taxonomy_review; artifact_manual_check; evidence=medium,RL / policy optimization; Reasoning / test-time compute; Agents / tool use; Compression / efficiency,math/code/verifiable; language/llm,"Large Audio Language Models (LALMs) excel at perception but struggle with complex reasoning requiring precise acoustic measurements. While external tools can extract fine-grained features like exact tempo or pitch, effective integration remains challenging: naively using all tools causes information overload, while prompt-based selection fails to assess context-dependent utility. To address this, we propose **AuTAgent** (**Au**dio **T**ool **Agent**), a reinforcement learning framework that learns when and which tools to invoke. By employing a sparse-feedback training strategy with a novel Differential Reward mechanism, the agent learns to filter out irrelevant tools and invokes external...",https://icml.cc/virtual/2026/poster/64128,https://www.alphaxiv.org/abs/2602.13685,https://github.com/eliahuhorwitz/Academic-project-page-template
29,65423,Autoregressive Direct Preference Optimization,artifact_and_reproducibility,"LLM Reasoning, Post-Training, and RLVR",LLM preference tuning and alignment training,C07,in claim-validation queue; supports priority claim(s) C07; priority report area; taxonomy boundary needs review; GitHub artifact needs manual check; artifact-visible,C07::65423,,manual_claim_support; manual_taxonomy_judgment; manual_artifact_judgment; manual_notes,,Determine whether the GitHub link is a real paper artifact or a template/index/project page.,reports/claim_validation_packets/c07-artifact-visibility.md,reports/claim_evidence_dossiers/c07-artifact-visibility.md,,reports/area_briefing_cards/llm-reasoning-post-training-and-rlvr.md,votes=6; github_stars=5063; taxonomy_review; artifact_manual_check; evidence=medium,RL / policy optimization; LLM post-training,language/llm; theory/synthetic,"Direct preference optimization (DPO) has emerged as a promising approach for aligning large language models (LLMs) with human preferences. However, the widespread reliance on the response-level Bradley-Terry (BT) model may limit its full potential, as the reference and learnable models are assumed to be autoregressive only after deriving the objective function. Motivated by this limitation, we revisit the theoretical foundations of DPO and propose a novel formulation that explicitly introduces the autoregressive assumption prior to applying the BT model. By reformulating and extending DPO, we derive a novel variant, termed \textbf{Autoregressive DPO (ADPO)}, that explicitly integrates...",https://icml.cc/virtual/2026/poster/65423,https://www.alphaxiv.org/abs/2602.09533,https://github.com/eliahuhorwitz/Academic-project-page-template
30,60765,Learning to Theorize the World from Observation,main_thesis_claims,"LLM Reasoning, Post-Training, and RLVR",Reasoning models and chain-of-thought behavior,C01,in claim-validation queue; supports priority claim(s) C01; priority report area; oral/program signal; taxonomy boundary needs review; low-confidence evidence code,C01::60765,,manual_claim_support; manual_taxonomy_judgment; manual_artifact_judgment; manual_notes,,Check whether this is genuinely LLM reasoning/post-training or a broader LLM/system/safety paper.,reports/claim_validation_packets/c01-llm-reasoning-center-of-gravity.md,reports/claim_evidence_dossiers/c01-llm-reasoning-center-of-gravity.md,,reports/area_briefing_cards/llm-reasoning-post-training-and-rlvr.md,oral; votes=56; taxonomy_review; evidence=low,,math/code/verifiable; vision/video; language/llm; theory/synthetic,"What does it mean to understand the world? Is it simply to predict future video frames? Developmental cognitive science suggests that understanding the world is fundamentally the process of constructing internal theories of how it works rather than mere prediction, even before language is acquired. However, in machine learning, it remains unclear how to endow AI systems with such theory-building capability from raw, non-textual observation alone. In this paper, we introduce Learning-to-Theorize (L2T), a learning paradigm in which an AI system acquires the ability to construct theories represented as executable programs directly from observation alone. To instantiate this paradigm, we...",https://icml.cc/virtual/2026/poster/60765,https://www.alphaxiv.org/abs/2605.03413,
31,62794,ToolOrchestra: Elevating Intelligence via Efficient Model and Tool Orchestration,main_thesis_claims,"Agents, Code, and Tool Use","Agent evaluation, tool use, and agentic workflows",C02,in claim-validation queue; supports priority claim(s) C02; in area-validation queue; priority report area; artifact-visible; high AlphaXiv attention; public attention without program signal,C02::62794,"Agents, Code, and Tool Use::62794",manual_claim_support; manual_taxonomy_judgment; manual_artifact_judgment; manual_notes,manual_validated; manual_primary_contribution_type; manual_method_family; manual_artifact_status; manual_fault_line_relevance; manual_notes,Check whether public signal reflects core infrastructure/agent workloads or broad LLM spillover.,reports/claim_validation_packets/c02-infrastructure-and-agentic-workloads.md,reports/claim_evidence_dossiers/c02-infrastructure-and-agentic-workloads.md,reports/validation_packets/agents-code-and-tool-use.md,reports/area_briefing_cards/agents-code-and-tool-use.md,votes=260; github_stars=745; evidence=medium,RL / policy optimization; LLM post-training; Reasoning / test-time compute; Agents / tool use,language/llm,"Large language models are powerful generalists, yet solving deep and complex problems such as those of the Humanity’s Last Exam (HLE) remains both conceptually challenging and computationally expensive. We show that small orchestrators managing other models and a variety of tools are able to both push the upper bound of intelligence and improve efficiency in solving difficult agentic tasks. We introduce ToolOrchestra, a method for training small orchestrators that coordinate the use of intelligent tools. ToolOrchestra makes explicit use of reinforcement learning with outcome-, efficiency-, and user-preference-aware rewards. Using ToolOrchestra, we produce Orchestrator, an 8B model that...",https://icml.cc/virtual/2026/poster/62794,https://www.alphaxiv.org/abs/2511.21689,https://github.com/NVlabs/ToolOrchestra
32,68817,Process Reward Models That Think,main_thesis_claims,"LLM Reasoning, Post-Training, and RLVR",RL for reasoning models and verifiable rewards,C01; C06,in claim-validation queue; supports priority claim(s) C01; in area-validation queue; priority report area; artifact-visible; high AlphaXiv attention; public attention without program signal,C01::68817 | C06::68817,"LLM Reasoning, Post-Training, and RLVR::68817",manual_claim_support; manual_taxonomy_judgment; manual_artifact_judgment; manual_notes,manual_validated; manual_primary_contribution_type; manual_method_family; manual_artifact_status; manual_fault_line_relevance; manual_notes,Check whether high attention supports the center-of-gravity claim. | Check whether broad arXiv-growth terms correspond to the paper's actual contribution.,reports/claim_validation_packets/c01-llm-reasoning-center-of-gravity.md; reports/claim_validation_packets/c06-external-trend-context.md,reports/claim_evidence_dossiers/c01-llm-reasoning-center-of-gravity.md; reports/claim_evidence_dossiers/c06-external-trend-context.md,reports/validation_packets/llm-reasoning-post-training-and-rlvr.md,reports/area_briefing_cards/llm-reasoning-post-training-and-rlvr.md,votes=1815; github_stars=89; evidence=medium,RL / policy optimization; LLM post-training; Reasoning / test-time compute,math/code/verifiable; language/llm,"Step-by-step verifiers—also known as process reward models (PRMs)—are a key ingredient for test-time scaling, but training them requires expensive step-level supervision. This work aims to build data-efficient PRMs as verbalized step-wise reward models that verify every step in the solution by generating a verification chain-of-thought (CoT). We propose ThinkPRM, a long CoT verifier fine-tuned on orders of magnitude fewer process labels than those required by discriminative PRMs. Our approach capitalizes on the inherent reasoning abilities of long CoT models, and outperforms LLM-as-a-Judge and discriminative verifiers—using only 1% of the process labels in PRM800K—across several...",https://icml.cc/virtual/2026/poster/68817,https://www.alphaxiv.org/abs/2504.16828,https://github.com/mukhal/thinkprm
33,63436,xKV: Cross-Layer KV-Cache Compression via Aligned Singular Vector Extraction,main_thesis_claims,Systems and Efficient Foundation Models,Long-context attention and KV-cache compression,C02; C06,in claim-validation queue; supports priority claim(s) C02; in area-validation queue; priority report area; artifact-visible; high AlphaXiv attention; public attention without program signal,C02::63436 | C06::63436,Systems and Efficient Foundation Models::63436,manual_claim_support; manual_taxonomy_judgment; manual_artifact_judgment; manual_notes,manual_validated; manual_primary_contribution_type; manual_method_family; manual_artifact_status; manual_fault_line_relevance; manual_notes,Check whether public signal reflects core infrastructure/agent workloads or broad LLM spillover. | Check whether broad arXiv-growth terms correspond to the paper's actual contribution.,reports/claim_validation_packets/c02-infrastructure-and-agentic-workloads.md; reports/claim_validation_packets/c06-external-trend-context.md,reports/claim_evidence_dossiers/c02-infrastructure-and-agentic-workloads.md; reports/claim_evidence_dossiers/c06-external-trend-context.md,reports/validation_packets/systems-and-efficient-foundation-models.md,reports/area_briefing_cards/systems-and-efficient-foundation-models.md,votes=518; github_stars=52; evidence=medium,LLM post-training; Agents / tool use; Transformer / attention; Compression / efficiency,math/code/verifiable; language/llm,"Long-context Large Language Models (LLMs) enable powerful applications but incur high memory costs due to the key–value states (KV-Cache). Recent studies attempt to share KV-Cache across layers, but these approaches either require expensive pretraining or rely on per-token cross-layer cosine similarity that is often limited in practice. We show, via Centered Kernel Alignment (CKA), that the dominant singular vectors of KV-Cache are well aligned across layers. Motivated by this observation, we propose xKV, a post-training compression method that jointly factorizes grouped-layer KV-Cache into a shared low-rank subspace, substantially reducing KV-Cache memory. Across widely used LLMs, xKV...",https://icml.cc/virtual/2026/poster/63436,https://www.alphaxiv.org/abs/2503.18893,https://github.com/abdelfattah-lab/xKV
34,62992,Monitoring Monitorability,main_thesis_claims,"Agents, Code, and Tool Use","Agent evaluation, tool use, and agentic workflows",C02,in claim-validation queue; supports priority claim(s) C02; in area-validation queue; priority report area; oral/program signal; artifact-visible,C02::62992,"Agents, Code, and Tool Use::62992",manual_claim_support; manual_taxonomy_judgment; manual_artifact_judgment; manual_notes,manual_validated; manual_primary_contribution_type; manual_method_family; manual_artifact_status; manual_fault_line_relevance; manual_notes,Check whether program-selected papers substantiate systems/agents emphasis.,reports/claim_validation_packets/c02-infrastructure-and-agentic-workloads.md,reports/claim_evidence_dossiers/c02-infrastructure-and-agentic-workloads.md,reports/validation_packets/agents-code-and-tool-use.md,reports/area_briefing_cards/agents-code-and-tool-use.md,oral; votes=28; github_stars=2786; evidence=medium,Reasoning / test-time compute; Agents / tool use,robotics/embodied,"Safe deployment of increasingly capable AI agents may require visibility into how they make decisions. Chain-of-thought (CoT) monitoring can detect misbehavior in today’s reasoning models, but this “monitorability” may be fragile under different training procedures, data sources, or continued system scaling. We propose three evaluation archetypes (intervention, process, and outcome-property), a new monitorability metric, and a broad evaluation suite. We show CoT monitoring outperforms action-only monitoring in practical settings, and that frontier models are generally—but not perfectly—monitorable. We study scaling trends with pre-training model size and inference-time compute, finding...",https://icml.cc/virtual/2026/poster/62992,https://www.alphaxiv.org/abs/2512.18311,https://github.com/nightscout/cgm-remote-monitor
35,64301,DFlash: Block Diffusion for Flash Speculative Decoding,artifact_and_reproducibility,"LLM Reasoning, Post-Training, and RLVR",Diffusion language models and decoding,C07,in claim-validation queue; supports priority claim(s) C07; priority report area; taxonomy boundary needs review; artifact-visible; moderate AlphaXiv attention,C07::64301,,manual_claim_support; manual_taxonomy_judgment; manual_artifact_judgment; manual_notes,,"Check artifact type, license/readme quality, and whether reproduction assets are present.",reports/claim_validation_packets/c07-artifact-visibility.md,reports/claim_evidence_dossiers/c07-artifact-visibility.md,,reports/area_briefing_cards/llm-reasoning-post-training-and-rlvr.md,votes=153; github_stars=5451; taxonomy_review; evidence=medium,Reasoning / test-time compute; Diffusion / flow,language/llm,"Autoregressive large language models (LLMs) deliver strong performance but require inherently sequential decoding, leading to high inference latency and poor GPU utilization. Speculative decoding mitigates this bottleneck by using a fast draft model whose outputs are verified in parallel by the target LLM. However, existing methods still rely on *autoregressive drafting*, which remains sequential and constrains practical speedups. Diffusion LLMs offer a promising alternative by enabling parallel generation, but current diffusion models typically underperform compared with autoregressive models. In this paper, we introduce **DFlash**, a speculative decoding framework that employs a...",https://icml.cc/virtual/2026/poster/64301,https://www.alphaxiv.org/abs/2602.06036,https://github.com/z-lab/dflash
36,65657,Jailbreak Foundry: From Papers to Runnable Attacks for Reproducible Benchmarking,main_thesis_claims,"Safety, Governance, Privacy, and Society","Adversarial safety, attacks, and security",C03,in claim-validation queue; supports priority claim(s) C03; in area-validation queue; priority report area; oral/program signal; artifact-visible,C03::65657,"Safety, Governance, Privacy, and Society::65657",manual_claim_support; manual_taxonomy_judgment; manual_artifact_judgment; manual_notes,manual_validated; manual_primary_contribution_type; manual_method_family; manual_artifact_status; manual_fault_line_relevance; manual_notes,Identify the technical reason for high program signal and whether public attention misses it.,reports/claim_validation_packets/c03-program-committee-attention.md,reports/claim_evidence_dossiers/c03-program-committee-attention.md,reports/validation_packets/safety-governance-privacy-and-society.md,reports/area_briefing_cards/safety-governance-privacy-and-society.md,oral; votes=9; github_stars=158; evidence=medium,Agents / tool use,math/code/verifiable; language/llm; security/safety,"Jailbreak techniques for large language models (LLMs) evolve faster than benchmarks, making robustness estimates stale and difficult to compare across papers due to drift in datasets, harnesses, and judging protocols. We introduce **JAILBREAK FOUNDRY (JBF)**, a system that addresses this gap via a multi-agent workflow to translate jailbreak papers into executable modules for immediate evaluation within a unified harness. JBF features three core components: (i) *JBF-LIB* for shared contracts and reusable utilities; (ii) *JBF-FORGE* for the multi-agent paper-to-module translation; and (iii) *JBF-EVAL* for standardizing evaluations. Across 30 reproduced attacks, JBF achieves high fidelity...",https://icml.cc/virtual/2026/poster/65657,https://www.alphaxiv.org/abs/2602.24009,https://github.com/OpenSQZ/Jailbreak-Foundry
37,65622,CVE-Factory: Scaling Expert-Level Agentic Tasks for Code Security Vulnerability,main_thesis_claims,"Agents, Code, and Tool Use","Agent evaluation, tool use, and agentic workflows",C02,in claim-validation queue; supports priority claim(s) C02; in area-validation queue; priority report area; oral/program signal; artifact-visible,C02::65622,"Agents, Code, and Tool Use::65622",manual_claim_support; manual_taxonomy_judgment; manual_artifact_judgment; manual_notes,manual_validated; manual_primary_contribution_type; manual_method_family; manual_artifact_status; manual_fault_line_relevance; manual_notes,Check whether program-selected papers substantiate systems/agents emphasis.,reports/claim_validation_packets/c02-infrastructure-and-agentic-workloads.md,reports/claim_evidence_dossiers/c02-infrastructure-and-agentic-workloads.md,reports/validation_packets/agents-code-and-tool-use.md,reports/area_briefing_cards/agents-code-and-tool-use.md,oral; votes=21; github_stars=139; evidence=medium,LLM post-training; Reasoning / test-time compute; Agents / tool use; Compression / efficiency,math/code/verifiable; security/safety,"Evaluating and improving the security capabilities of code agents requires high-quality, executable vulnerability tasks. However, existing works rely on costly, unscalable manual reproduction and suffer from outdated data distributions. To address these, we present CVE-Factory, the first multi-agent framework to achieve expert-level quality in automatically transforming sparse CVE metadata into fully executable agentic tasks. Cross-validation against human expert reproductions shows that CVE-Factory achieves 95\% solution correctness and 96\% environment fidelity, confirming its expert-level quality. It is also evaluated on the latest realistic vulnerabilities and achieves a 66.2\%...",https://icml.cc/virtual/2026/poster/65622,https://www.alphaxiv.org/abs/2602.03012,https://github.com/livecvebench/CVE-Factory
38,63099,daVinci-Dev: Agent-native Mid-training for Software Engineering,main_thesis_claims,"Agents, Code, and Tool Use","Agent evaluation, tool use, and agentic workflows",C02,in claim-validation queue; supports priority claim(s) C02; in area-validation queue; priority report area; oral/program signal; artifact-visible,C02::63099,"Agents, Code, and Tool Use::63099",manual_claim_support; manual_taxonomy_judgment; manual_artifact_judgment; manual_notes,manual_validated; manual_primary_contribution_type; manual_method_family; manual_artifact_status; manual_fault_line_relevance; manual_notes,Check whether program-selected papers substantiate systems/agents emphasis.,reports/claim_validation_packets/c02-infrastructure-and-agentic-workloads.md,reports/claim_evidence_dossiers/c02-infrastructure-and-agentic-workloads.md,reports/validation_packets/agents-code-and-tool-use.md,reports/area_briefing_cards/agents-code-and-tool-use.md,oral; votes=52; github_stars=9; evidence=medium,RL / policy optimization; LLM post-training; Reasoning / test-time compute; Agents / tool use; Diffusion / flow,math/code/verifiable; language/llm,"Recently, the frontier of Large Language Model (LLM) capabilities has shifted from single-turn code generation to agentic software engineering—a paradigm where models autonomously navigate, edit, and test complex repositories. While post-training methods have become the de facto approach for code agents, *agentic mid-training*—mid-training (MT) on large-scale data that mirrors authentic agentic workflows—remains critically underexplored due to substantial resource requirements, despite offering a more scalable path to instilling foundational agentic behaviors than relying solely on expensive reinforcement learning. A central challenge in realizing effective agentic mid-training is the...",https://icml.cc/virtual/2026/poster/63099,https://www.alphaxiv.org/abs/2601.18418,https://github.com/sii-research/GAIR
39,62732,Strategic Navigation or Stochastic Search? How Agents and Humans Reason Over Document Collections,main_thesis_claims,"Agents, Code, and Tool Use","Agent evaluation, tool use, and agentic workflows",C02,in claim-validation queue; supports priority claim(s) C02; in area-validation queue; priority report area; oral/program signal; artifact-visible,C02::62732,"Agents, Code, and Tool Use::62732",manual_claim_support; manual_taxonomy_judgment; manual_artifact_judgment; manual_notes,manual_validated; manual_primary_contribution_type; manual_method_family; manual_artifact_status; manual_fault_line_relevance; manual_notes,Check whether program-selected papers substantiate systems/agents emphasis.,reports/claim_validation_packets/c02-infrastructure-and-agentic-workloads.md,reports/claim_evidence_dossiers/c02-infrastructure-and-agentic-workloads.md,reports/validation_packets/agents-code-and-tool-use.md,reports/area_briefing_cards/agents-code-and-tool-use.md,oral; votes=26; github_stars=1; evidence=medium,Reasoning / test-time compute; Agents / tool use,language/llm; theory/synthetic,"Multimodal agents offer a compelling path to automating complex document-intensive workflows, yet a critical question remains: do these architectures demonstrate genuine strategic reasoning, or simply conduct stochastic trial-and-error search? To address this, we introduce Agentic Document VQA, a benchmark of 2,250 human-authored questions grounded in 800 heterogeneous PDF documents. Guided by *Classical Test Theory*, we design it to maximize discriminative power and reliably differentiate between varying levels of agent capability. To rigorously assess agentic behaviour, we introduce a novel evaluation protocol for measuring the accuracy-effort trade-off. Using this framework, we find...",https://icml.cc/virtual/2026/poster/62732,https://www.alphaxiv.org/abs/2603.12180,https://github.com/Snowflake-Labs/MADQA
40,67238,Position: Anthropomorphic Misalignment Research Needs Stronger Evidence,main_thesis_claims,"Safety, Governance, Privacy, and Society","Position papers, policy, and social impacts",C03,in claim-validation queue; supports priority claim(s) C03; in area-validation queue; priority report area; oral/program signal,C03::67238,"Safety, Governance, Privacy, and Society::67238",manual_claim_support; manual_taxonomy_judgment; manual_artifact_judgment; manual_notes,manual_validated; manual_primary_contribution_type; manual_method_family; manual_artifact_status; manual_fault_line_relevance; manual_notes,Identify the technical reason for high program signal and whether public attention misses it.,reports/claim_validation_packets/c03-program-committee-attention.md,reports/claim_evidence_dossiers/c03-program-committee-attention.md,reports/validation_packets/safety-governance-privacy-and-society.md,reports/area_briefing_cards/safety-governance-privacy-and-society.md,oral; votes=13; evidence=medium,LLM post-training; Causal / data-centric,robotics/embodied; security/safety,"We argue that many Anthropomorphized Misalignment Research (AMR) studies need stronger evidence to ensure that they can provide a robust foundation for critical safety decisions, such as model deployment and regulation. By evaluating failure modes across different misalignment concepts, such as deception, emergent misalignment, and sycophancy, we show how conceptual ambiguity, non-robust datasets and experimental design, and insufficient causal interventions can lead to overinterpretation of model behaviors. This position paper aims to offer guidance on evidentiary considerations that can help improve methodological rigor in AMR. To achieve this, we provide a clear call to action through...",https://icml.cc/virtual/2026/poster/67238,https://www.alphaxiv.org/abs/2606.07612,
