sprint_rank,event_id,title,target_claims,area,subarea,contribution_check,evidence_to_verify,taxonomy_question,artifact_check_prompt,suggested_note_seed,abstract_basis
1,60542,Motion Attribution for Video Generation,C05,"Multimodal, Vision, and Perception","3D, video, motion, and spatial understanding","Break the multimodal/vision contribution into submode: video, 3D/spatial, multimodal reasoning, robustness, or general vision-language.","Check baselines, datasets, metrics, ablations, negative cases, and whether artifact links support the claim.",Check whether each subarea behaves differently from the aggregate underweight claim.,No GitHub URL in metadata; record none/not_applicable unless the PDF shows a release.,"Contribution check: Break the multimodal/vision contribution into submode: video, 3D/spatial, multimodal reasoning, robustness, or general vision-language. Evidence: inspect baselines, data, metrics, and limitations. Claim implication: decide supports / weakens / complicates / not_applicable for C05.","Despite the rapid progress of video generation models, the role of data in influencing motion is poorly understood. We present Motive (MOTIon attribution for Video gEneration), a motion-centric, gradient-based data attribution framework that scales to modern, large, high-quality video datasets and models. We use this to study which fine-tuning clips improve or degrade temporal dynamics. Motive isolates temporal dynamics from static appearance via motion-weighted loss masks, yielding..."
2,65954,Multimodal Nested Learning for Decoupled and Coordinated Optimization,C05,"Multimodal, Vision, and Perception",Multimodal representation and cross-modal alignment,"Break the multimodal/vision contribution into submode: video, 3D/spatial, multimodal reasoning, robustness, or general vision-language.","Check baselines, datasets, metrics, ablations, negative cases, and whether artifact links support the claim.",Check whether each subarea behaves differently from the aggregate underweight claim.,No GitHub URL in metadata; record none/not_applicable unless the PDF shows a release.,"Contribution check: Break the multimodal/vision contribution into submode: video, 3D/spatial, multimodal reasoning, robustness, or general vision-language. Evidence: inspect baselines, data, metrics, and limitations. Claim implication: decide supports / weakens / complicates / not_applicable for C05.","Multimodal learning aims to integrate multi-sensor data to exploit their complementary information, embracing a more comprehensive real-world perception and understanding. However, heterogeneous discrepancies across modalities consistently trigger imbalanced multimodal optimization, restricting the joint learning performance. Although existing methods mitigate this issue through optimization modulation and conflict alleviation, they still suffer from entangled optimization and uniform..."
3,65729,ExSkill: Continual Learning from Experience and Skills in Multimodal Agents,C05,"Multimodal, Vision, and Perception",Multimodal representation and cross-modal alignment,"Break the multimodal/vision contribution into submode: video, 3D/spatial, multimodal reasoning, robustness, or general vision-language.","Check baselines, datasets, metrics, ablations, negative cases, and whether artifact links support the claim.",Check whether high-attention ICML multimodal papers look more like ICLR/NeurIPS-style vision work or ICML-style ML methods. | Check whether broad arXiv-growth terms correspond to the paper's actual contribution.,Open GitHub/project link and record code/data/checkpoint/runnable status.,"Contribution check: Break the multimodal/vision contribution into submode: video, 3D/spatial, multimodal reasoning, robustness, or general vision-language. Evidence: inspect baselines, data, metrics, and limitations. Claim implication: decide supports / weakens / complicates / not_applicable for C05.","Multimodal agents demonstrate impressive problem-solving capabilities but typically operate in isolated episodes without leveraging past experiences. Recent methods address this through dynamic retrieval of textual insights or predefined skill documents, yet face critical challenges: visual modalities are neglected during knowledge extraction, stored insights lack executable structure, and manually crafted skills fail to scale. We propose \textsc{ExSkill}, a framework combining task-level..."
4,63195,BabyVision: Visual Reasoning Beyond Language,C05,"Multimodal, Vision, and Perception",Vision-language reasoning and video understanding,"Break the multimodal/vision contribution into submode: video, 3D/spatial, multimodal reasoning, robustness, or general vision-language.","Check baselines, datasets, metrics, ablations, negative cases, and whether artifact links support the claim.",Check whether high-attention ICML multimodal papers look more like ICLR/NeurIPS-style vision work or ICML-style ML methods. | Check whether broad arXiv-growth terms correspond to the paper's actual contribution.,Open GitHub/project link and record code/data/checkpoint/runnable status.,"Contribution check: Break the multimodal/vision contribution into submode: video, 3D/spatial, multimodal reasoning, robustness, or general vision-language. Evidence: inspect baselines, data, metrics, and limitations. Claim implication: decide supports / weakens / complicates / not_applicable for C05.","While humans develop core visual skills long before acquiring language, contemporary Multimodal LLMs (MLLMs) still rely heavily on linguistic priors to compensate for their fragile visual understanding. We uncovered a crucial fact: state-of-the-art MLLMs consistently fail on basic visual tasks that humans, even 3-year-olds, can solve effortlessly. To systematically investigate this gap, we introduce BabyVision, a benchmark designed to assess core visual abilities independent of linguistic..."
5,63623,Causal-JEPA: Learning World Models through Object-Level Latent Interventions,C05,"Multimodal, Vision, and Perception",Vision-language reasoning and video understanding,"Break the multimodal/vision contribution into submode: video, 3D/spatial, multimodal reasoning, robustness, or general vision-language.","Check baselines, datasets, metrics, ablations, negative cases, and whether artifact links support the claim.",Check whether high-attention ICML multimodal papers look more like ICLR/NeurIPS-style vision work or ICML-style ML methods. | Check whether broad arXiv-growth terms correspond to the paper's actual contribution.,Open GitHub/project link and record code/data/checkpoint/runnable status.,"Contribution check: Break the multimodal/vision contribution into submode: video, 3D/spatial, multimodal reasoning, robustness, or general vision-language. Evidence: inspect baselines, data, metrics, and limitations. Claim implication: decide supports / weakens / complicates / not_applicable for C05.","World models require robust relational understanding to support prediction, reasoning, and control. While object-centric representations provide a useful abstraction, they are not sufficient to capture interaction-dependent dynamics. We therefore propose C-JEPA, a simple and flexible object-centric world model that extends masked joint embedding prediction from image patches to object-centric representations. By applying object-level masking that requires an object’s state to be inferred..."
6,65709,A Very Big Video Reasoning Suite,C05,"Multimodal, Vision, and Perception",Vision-language reasoning and video understanding,"Break the multimodal/vision contribution into submode: video, 3D/spatial, multimodal reasoning, robustness, or general vision-language.","Check baselines, datasets, metrics, ablations, negative cases, and whether artifact links support the claim.",Check whether high-attention ICML multimodal papers look more like ICLR/NeurIPS-style vision work or ICML-style ML methods. | Check whether broad arXiv-growth terms correspond to the paper's actual contribution.,Open GitHub/project link and record code/data/checkpoint/runnable status.,"Contribution check: Break the multimodal/vision contribution into submode: video, 3D/spatial, multimodal reasoning, robustness, or general vision-language. Evidence: inspect baselines, data, metrics, and limitations. Claim implication: decide supports / weakens / complicates / not_applicable for C05.","Video reasoning grounds intelligence in spatiotemporally consistent visual environments that go beyond what text can naturally capture, enabling intuitive reasoning over motion, interaction, and causality. Rapid progress in video models has focused primarily on visual quality. Systematically studying video reasoning and its scaling behavior suffers from a lack of video reasoning (training) data. To address this gap, we introduce the Very Big Video Reasoning (VBVR) Dataset, an unprecedentedly..."
7,62726,Bad Seeing or Bad Thinking? Rewarding Perception for Multimodal Reasoning,C05,"Multimodal, Vision, and Perception",Vision-language reasoning and video understanding,"Break the multimodal/vision contribution into submode: video, 3D/spatial, multimodal reasoning, robustness, or general vision-language.","Check baselines, datasets, metrics, ablations, negative cases, and whether artifact links support the claim.",Check whether each subarea behaves differently from the aggregate underweight claim.,No GitHub URL in metadata; record none/not_applicable unless the PDF shows a release.,"Contribution check: Break the multimodal/vision contribution into submode: video, 3D/spatial, multimodal reasoning, robustness, or general vision-language. Evidence: inspect baselines, data, metrics, and limitations. Claim implication: decide supports / weakens / complicates / not_applicable for C05.","Achieving robust perception-reasoning synergy is a central goal for advanced Vision-Language Models (VLMs). Recent advancements have pursued this goal via architectural designs or agentic workflows. However, these approaches are often limited by static textual reasoning or complicated by the significant compute and engineering burden of external agentic complexity. Worse, this heavy investment does not yield proportional gains, often witnessing a ""seesaw effect"" on perception and reasoning...."
8,61757,World Guidance: World Modeling in Condition Space for Action Generation,C04,"Robotics, Embodiment, and World Models",Vision-language-action models and robotic manipulation,"Label whether this robotics/world-model paper is mainly benchmark, demo, reusable model, or core algorithmic contribution.","Check baselines, datasets, metrics, ablations, negative cases, and whether artifact links support the claim.","Classify the source of public attention: benchmark, demo, artifact, model release, or hype.",Open GitHub/project link and record code/data/checkpoint/runnable status.,"Contribution check: Label whether this robotics/world-model paper is mainly benchmark, demo, reusable model, or core algorithmic contribution. Evidence: inspect baselines, data, metrics, and limitations. Claim implication: decide supports / weakens / complicates / not_applicable for C04.","Leveraging future observation modeling to facilitate action generation presents a promising avenue for enhancing the capabilities of Vision-Language-Action (VLA) models. However, existing approaches struggle to strike a balance between maintaining efficient, predictable future representations and preserving sufficient fine-grained information to guide precise action generation. To address this limitation, we propose WoG (World Guidance), a framework that maps future observations into compact..."
9,64904,Temporal Straightening for Latent Planning,C04,"Robotics, Embodiment, and World Models",Vision-language-action models and robotic manipulation,"Label whether this robotics/world-model paper is mainly benchmark, demo, reusable model, or core algorithmic contribution.","Check baselines, datasets, metrics, ablations, negative cases, and whether artifact links support the claim.","Classify the source of public attention: benchmark, demo, artifact, model release, or hype.",Open GitHub/project link and record code/data/checkpoint/runnable status.,"Contribution check: Label whether this robotics/world-model paper is mainly benchmark, demo, reusable model, or core algorithmic contribution. Evidence: inspect baselines, data, metrics, and limitations. Claim implication: decide supports / weakens / complicates / not_applicable for C04.","Learning good representations is essential for latent planning with world models. While pretrained visual encoders provide strong visual features, they are not tailored to planning and contain substantial information which is irrelevant to planning. Inspired by the perceptual straightening hypothesis in human visual processing, we introduce temporal straightening for representation learning in latent planning. We add a lightweight projector on top of a pretrained visual encoder to map to a..."
10,63330,Mind Your Margin and Boundary: Are Your Distilled Datasets Truly Robust?,C05,"Multimodal, Vision, and Perception","Vision robustness, detection, and adversarial perception","Break the multimodal/vision contribution into submode: video, 3D/spatial, multimodal reasoning, robustness, or general vision-language.","Check baselines, datasets, metrics, ablations, negative cases, and whether artifact links support the claim.",Check whether each subarea behaves differently from the aggregate underweight claim.,No GitHub URL in metadata; record none/not_applicable unless the PDF shows a release.,"Contribution check: Break the multimodal/vision contribution into submode: video, 3D/spatial, multimodal reasoning, robustness, or general vision-language. Evidence: inspect baselines, data, metrics, and limitations. Claim implication: decide supports / weakens / complicates / not_applicable for C05.","Dataset distillation (DD) compresses a large training set into a small synthetic set for efficient training, but most DD methods optimize only clean accuracy and leave robustness uncontrolled. Recent robust DD methods improve robustness, yet they often suffer from a poor accuracy–robustness trade-off because they (i) treat all adversarially perturbed examples uniformly, despite robust risk being dominated by near-zero robust margins, and (ii) do not explicitly increase inter-class separation..."
11,65457,LangForce: Bayesian Decomposition of Vision Language Action Models via Latent Action Queries,C04,"Robotics, Embodiment, and World Models",Vision-language-action models and robotic manipulation,"Label whether this robotics/world-model paper is mainly benchmark, demo, reusable model, or core algorithmic contribution.","Check baselines, datasets, metrics, ablations, negative cases, and whether artifact links support the claim.","Classify the source of public attention: benchmark, demo, artifact, model release, or hype.",Open GitHub/project link and record code/data/checkpoint/runnable status.,"Contribution check: Label whether this robotics/world-model paper is mainly benchmark, demo, reusable model, or core algorithmic contribution. Evidence: inspect baselines, data, metrics, and limitations. Claim implication: decide supports / weakens / complicates / not_applicable for C04.","Vision-Language-Action (VLA) models have shown promise in robot manipulation but often struggle to generalize to new instructions or complex multi-task scenarios. We identify a critical pathology in current training paradigms where goal-driven data collection creates a dataset bias. In such datasets, language instructions are highly predictable from visual observations alone, causing the conditional mutual information between instructions and actions to vanish, a phenomenon we term..."
12,62813,Vision-Language-Action Pretraining from Large-Scale Human Videos,C04,"Robotics, Embodiment, and World Models",Vision-language-action models and robotic manipulation,"Label whether this robotics/world-model paper is mainly benchmark, demo, reusable model, or core algorithmic contribution.","Check baselines, datasets, metrics, ablations, negative cases, and whether artifact links support the claim.","Classify the source of public attention: benchmark, demo, artifact, model release, or hype.",Open GitHub/project link and record code/data/checkpoint/runnable status.,"Contribution check: Label whether this robotics/world-model paper is mainly benchmark, demo, reusable model, or core algorithmic contribution. Evidence: inspect baselines, data, metrics, and limitations. Claim implication: decide supports / weakens / complicates / not_applicable for C04.","Existing Vision-Language-Action (VLA) models struggle with complex manipulation tasks requiring high dexterity and generalization, primarily due to their reliance on synthetic data with significant sim-to-real gaps or limited teleoperated demonstrations. To address this bottleneck, we propose leveraging human hands as a manipulator template, capitalizing on the rich dexterity and scalability present in web data of human manipulation. Our approach introduces physical instruction tuning, a..."
13,63621,From Pixels to Tokens: A Systematic Study of Latent Action Supervision for Vision-Language-Action Models,C04,"Robotics, Embodiment, and World Models",Vision-language-action models and robotic manipulation,"Label whether this robotics/world-model paper is mainly benchmark, demo, reusable model, or core algorithmic contribution.","Check baselines, datasets, metrics, ablations, negative cases, and whether artifact links support the claim.",Compare public-heavy robotics papers against program-selected anchors.,Open GitHub/project link and record code/data/checkpoint/runnable status.,"Contribution check: Label whether this robotics/world-model paper is mainly benchmark, demo, reusable model, or core algorithmic contribution. Evidence: inspect baselines, data, metrics, and limitations. Claim implication: decide supports / weakens / complicates / not_applicable for C04.","Latent actions serve as an intermediate representation that enables consistent modeling of vision-language-action (VLA) models across heterogeneous datasets. However, approaches to supervising VLAs with latent actions are fragmented and lack a systematic comparison. This work structures the study of latent action supervision from two perspectives: (i) regularizing the trajectory via image-based latent actions, and (ii) unifying the target space with action-based latent actions. Under a..."
14,65933,RoboMME: Benchmarking and Understanding Memory for Robotic Generalist Policies,C04,"Robotics, Embodiment, and World Models",Vision-language-action models and robotic manipulation,"Label whether this robotics/world-model paper is mainly benchmark, demo, reusable model, or core algorithmic contribution.","Check baselines, datasets, metrics, ablations, negative cases, and whether artifact links support the claim.",Compare public-heavy robotics papers against program-selected anchors.,Open GitHub/project link and record code/data/checkpoint/runnable status.,"Contribution check: Label whether this robotics/world-model paper is mainly benchmark, demo, reusable model, or core algorithmic contribution. Evidence: inspect baselines, data, metrics, and limitations. Claim implication: decide supports / weakens / complicates / not_applicable for C04.","Memory is critical for long-horizon and history-dependent robotic manipulation. Such tasks often involve counting repeated actions or manipulating objects that become temporarily occluded. Recent vision-language-action (VLA) models have begun to incorporate memory mechanisms; however, their evaluations remain confined to narrow, non-standardized settings. This limits their systematic understanding, comparison, and progress measurement. To address these challenges, we introduce **RoboMME**: a..."
15,64826,XR-1: Towards Versatile Vision-Language-Action Models via Learning Unified Vision-Motion Representations,C04,"Robotics, Embodiment, and World Models",Vision-language-action models and robotic manipulation,"Label whether this robotics/world-model paper is mainly benchmark, demo, reusable model, or core algorithmic contribution.","Check baselines, datasets, metrics, ablations, negative cases, and whether artifact links support the claim.",Compare public-heavy robotics papers against program-selected anchors.,No GitHub URL in metadata; record none/not_applicable unless the PDF shows a release.,"Contribution check: Label whether this robotics/world-model paper is mainly benchmark, demo, reusable model, or core algorithmic contribution. Evidence: inspect baselines, data, metrics, and limitations. Claim implication: decide supports / weakens / complicates / not_applicable for C04.","Recent progress in large-scale robotic datasets and vision-language models (VLMs) has advanced research on vision-language-action (VLA) models. However, existing VLA models still face two fundamental challenges: (\textit{i}) producing precise low-level actions from high-dimensional observations, (\textit{ii}) bridging domain gaps across heterogeneous data sources, including diverse robot embodiments and human demonstrations. Existing methods often encode latent variables from either visual..."
16,65056,Learning Latent Action World Models In The Wild,C04,"Robotics, Embodiment, and World Models",Vision-language-action models and robotic manipulation,"Label whether this robotics/world-model paper is mainly benchmark, demo, reusable model, or core algorithmic contribution.","Check baselines, datasets, metrics, ablations, negative cases, and whether artifact links support the claim.","Classify the source of public attention: benchmark, demo, artifact, model release, or hype.",No GitHub URL in metadata; record none/not_applicable unless the PDF shows a release.,"Contribution check: Label whether this robotics/world-model paper is mainly benchmark, demo, reusable model, or core algorithmic contribution. Evidence: inspect baselines, data, metrics, and limitations. Claim implication: decide supports / weakens / complicates / not_applicable for C04.","Agents that can reason and plan in the real world must be able to predict the consequences of their actions. World models possess this capability but require action annotations that can be complex to obtain at scale. Latent action models address this issue by learning an action space from videos alone. Our work studies the training of latent action world models on in-the-wild videos, expanding the scope of existing works that focus on simple robotics simulations, video games, or manipulation..."
