adjudication_rank,priority_score,semantic_cluster_id,current_area,current_subarea,taxonomy_confidence,review_status,review_notes,paper_count,oral_count,award_count,votes_per_paper,queued_papers,semantic_cluster_label,top_terms,top_topic_groups,top_themes,top_lexical_clusters,central_papers,high_signal_papers,queued_papers_to_read,decision_prompt,allowed_decisions,manual_decision_destination
10,48.36,18,"Graphs, Geometry, and Representation Learning",Geometric representation learning and manifolds,high,needs_review,split across lexical clusters,160,1,0,5.36,8,geometric / representation / geometry / representations,geometric; representation; geometry; representations; representation learning; manifold; spatial; alignment; space; learning representation; clustering; latent; embedding; structure; global; structures,Deep Learning (58); General Machine Learning (40); Applications (37); Unknown (15); Social Aspects (7),"Multimodal, vision-language, and video (82); Safety, alignment, governance, and risk (79); Memorization, evaluation, and generalization (71); Theory, optimization, and sampling (57); LLM reasoning and test-time compute (41)",17 (61); 25 (31); 10 (16); 4 (10); 27 (7),From Extrinsic to Intrinsic: Geodesic-Guided Representation Learning for 3D Geometric Data | Convergent World Representations and Divergent Tasks | Uncovering the Latent Potential of Deep Intermediate Representations | Multi-Way Representation Alignment | Learning Sparse Visual Representations via Spatial-Semantic Factorization | GRASP: Awakening Latent Spatial Reasoning in LVLMs via Training-free Geometric Rectification | Global Geometry Is Not Enough for Vision Representations | Generalizable and Composable Multi-Model Embedding Translation,Necessary Conditions for Compositional Generalization of Embedding Models | Deep sequence models tend to memorize geometrically; it is unclear why. | Thinking with Geometry: Active Geometry Integration for Spatial Reasoning | From Kepler to Newton: Inductive Biases Guide Learned World Models in Transformers | Revisiting the Platonic Representation Hypothesis: An Aristotelian View | A Deep Learning Model of Mental Rotation Informed by Interactive VR Experiments | Semantic Tube Prediction: Beating LLM Data Efficiency with JEPA | From Directions to Regions: Decomposing Activations in Language Models via Local Geometry,Necessary Conditions for Compositional Generalization of Embedding Models | Deep sequence models tend to memorize geometrically; it is unclear why. | Thinking with Geometry: Active Geometry Integration for Spatial Reasoning | From Kepler to Newton: Inductive Biases Guide Learned World Models in Transformers | Revisiting the Platonic Representation Hypothesis: An Aristotelian View | A Deep Learning Model of Mental Rotation Informed by Interactive VR Experiments | Semantic Tube Prediction: Beating LLM Data Efficiency with JEPA | From Directions to Regions: Decomposing Activations in Language Models via Local Geometry,Decide whether this semantic cluster should be split into multiple report subareas or kept as one mixed neighborhood.,keep; relabel_area; relabel_subarea; split_cluster; merge_cluster; unclear,"data/manual/area_review_overrides.csv manual_fault_line_relevance/manual_notes, then update TAXONOMY mapping if relabeling is accepted"
11,45.95,36,"Multimodal, Vision, and Perception","Vision robustness, detection, and adversarial perception",medium,needs_review,manual confidence not high; split across lexical clusters,177,3,0,2.95,4,detection / vision / image / robustness,detection; vision; image; robustness; computer vision; computer; applications computer; adversarial; feature; semantic; methods; applications; images; extensive; features; performance,Applications (84); Deep Learning (39); Social Aspects (27); General Machine Learning (14); Unknown (12),"Multimodal, vision-language, and video (154); Safety, alignment, governance, and risk (109); Memorization, evaluation, and generalization (104); Theory, optimization, and sampling (63); Systems, efficiency, and compression (53)",25 (75); 10 (25); 2 (22); 17 (10); 14 (7),Less Precise Can Be More Reliable: A Systematic Evaluation of Quantization’s Impact on VLMs Beyond Accuracy | Target-Agnostic Calibration under Distribution Shift with Frequency-Aware Gradient Rectification | Robust Vision-Language Models via Manifold-Adversarial Adapters | Self-Calibrated Consistency can Fight Back for Adversarial Robustness in Vision-Language Models | DNA: Uncovering Universal Latent Forgery Knowledge | Suppress and Diversify: Refining Robust Pathways for Corruption Robustness | The Extra Tokens Matter: Disentangled Representation Learning with Vision Transformers | On the Adversarial Robustness of Large Vision-Language Models under Visual Token Compression,Mind Your Margin and Boundary: Are Your Distilled Datasets Truly Robust? | DroneDINO: Towards Heterogeneous Routed Mixture of Experts for Drone-based Unified Object Detection | Privacy-Aware Video Anomaly Detection: Guided Orthogonal Projection and a Comprehensive Evaluation Framework | Rectified LpJEPA: Joint-Embedding Predictive Architectures with Sparse and Maximum-Entropy Representations | On the Adversarial Robustness of Large Vision-Language Models under Visual Token Compression | Beyond Accuracy: What Matters in Designing Well-Behaved Image Classification Models? | Is Training Necessary for Anomaly Detection? | Alterbute: Editing Intrinsic Attributes of Objects in Images,DroneDINO: Towards Heterogeneous Routed Mixture of Experts for Drone-based Unified Object Detection | Privacy-Aware Video Anomaly Detection: Guided Orthogonal Projection and a Comprehensive Evaluation Framework | Rectified LpJEPA: Joint-Embedding Predictive Architectures with Sparse and Maximum-Entropy Representations | On the Adversarial Robustness of Large Vision-Language Models under Visual Token Compression,Decide whether this semantic cluster should be split into multiple report subareas or kept as one mixed neighborhood.,keep; relabel_area; relabel_subarea; split_cluster; merge_cluster; unclear,"data/manual/area_review_overrides.csv manual_fault_line_relevance/manual_notes, then update TAXONOMY mapping if relabeling is accepted"
12,38.11,39,"AI for Science, Health, and Neuro",Time series and forecasting applications,medium,needs_review,manual confidence not high,160,3,0,3.11,4,time series / series / forecasting / time,time series; series; forecasting; time; series forecasting; temporal; applications time; applications; data; real; multivariate; real world; modeling; world; dynamics; datasets,Applications (96); Deep Learning (33); General Machine Learning (16); Unknown (7); Social Aspects (6),"Memorization, evaluation, and generalization (94); Safety, alignment, governance, and risk (64); Theory, optimization, and sampling (51); AI for science, health, and biology (46); Systems, efficiency, and compression (45)",18 (124); 17 (11); 15 (8); 23 (3); 13 (2),Towards a Unified Generative Model for Scarce Time Series with Domain Experts | Baguan-TS: dual in-context learning model for time series forecasting with covariates | From Text to Forecasts: Bridging Modality Gap with Temporal Evolution Semantic Space | Zeus: Towards Tuning-Free Foundation Model for Time Series Analysis | FlowState: Sampling-Rate‑Equivariant Time‑Series Forecasting | TsLLM: Augmenting LLMs for General Time Series Understanding and Prediction | Overcoming the Modality Gap in Context-Aided Forecasting | One Batch Is Enough: A Unified Dataset Condensation Framework for General Time Series Analysis,"From Text to Forecasts: Bridging Modality Gap with Temporal Evolution Semantic Space | ConFlux: Multivariate Time Series in Flux, One Unified Forecast in Confluence | Scalable Event Cloud Network for Event-based Classification | TSRBench: A Comprehensive Multi-task Multi-modal Time Series Reasoning Benchmark for Generalist Models | Understanding Self-Supervised Learning via Latent Distribution Matching | OpenTSLM: Time-Series Language Models for Reasoning over Multivariate Medical Text- and Time-Series Data | Position: Why a Dynamical Systems Perspective is Needed to Advance Time Series Modeling | StarEmbed: Benchmarking Time Series Foundation Models on Astronomical Observations of Variable Stars",From Text to Forecasts: Bridging Modality Gap with Temporal Evolution Semantic Space | TSRBench: A Comprehensive Multi-task Multi-modal Time Series Reasoning Benchmark for Generalist Models | Understanding Self-Supervised Learning via Latent Distribution Matching | OpenTSLM: Time-Series Language Models for Reasoning over Multivariate Medical Text- and Time-Series Data,Decide whether current area/subarea is central enough or should be relabeled.,keep; relabel_area; relabel_subarea; split_cluster; merge_cluster; unclear,"data/manual/area_review_overrides.csv manual_fault_line_relevance/manual_notes, then update TAXONOMY mapping if relabeling is accepted"
13,37.72,27,"AI for Science, Health, and Neuro","Protein, molecule, and biological modeling",high,needs_review,split across lexical clusters,148,5,0,2.72,3,protein / molecular / chemistry / applications,protein; molecular; chemistry; applications; physics; design; physics earth; earth sciences; applications chemistry; chemistry physics; earth; sciences; medicine; structure; applications health; health medicine,Applications (120); Deep Learning (13); Unknown (7); General Machine Learning (5); Optimization (1),"AI for science, health, and biology (140); Memorization, evaluation, and generalization (79); Diffusion, flow, and generative modeling (61); Theory, optimization, and sampling (52); Agents, tools, and computer use (50)",15 (61); 17 (35); 25 (20); 3 (12); 11 (4),CoarseBind: Fast and Accurate Binding Affinity Prediction through Coarse Structural Representations | Protein Language Model Embeddings Improve Generalization of Implicit Transfer Operators | Controllable Molecule Generation via Sparse Representation Editing: An Interpretability-Driven Perspective | SLAE: Strictly Local All-atom Environment for Protein Representation | SynLaD: Latent Diffusion for Generating Synthesizable Molecules Conditioned on 3D Pharmacophore Profiles | Inference-time optimization for experiment-grounded protein ensemble generation | FlexiFlow: decomposable flow matching for generation of flexible molecular ensemble | Learning Molecular Semantic Invariant Representation with Prototype Constraint,Protein Autoregressive Modeling via Multiscale Structure Generation | dnaHNet: A Scalable and Hierarchical Foundation Model for Genomic Sequence Learning | Protein Fold Classification at Scale: Benchmarking and Pretraining | FLIP2: Expanding Protein Fitness Landscape Benchmarks for Real-World Machine Learning Applications | Towards Sub-second Biological Foundation Model Infrastructure: A Quantized Consistency Diffusion Framework for Molecular Docking | Adaptive Protein Tokenization | Contrastive Geometric Learning Unlocks Unified Structure- and Ligand-Based Drug Design | PDFBench: A Benchmark for De Novo Protein Design from Function,Protein Autoregressive Modeling via Multiscale Structure Generation | dnaHNet: A Scalable and Hierarchical Foundation Model for Genomic Sequence Learning | Protein Fold Classification at Scale: Benchmarking and Pretraining,Decide whether this semantic cluster should be split into multiple report subareas or kept as one mixed neighborhood.,keep; relabel_area; relabel_subarea; split_cluster; merge_cluster; unclear,"data/manual/area_review_overrides.csv manual_fault_line_relevance/manual_notes, then update TAXONOMY mapping if relabeling is accepted"
14,36.07,7,"Theory, Optimization, and Algorithms",Statistical learning theory and regression,high,needs_review,split across lexical clusters,180,4,1,2.07,2,theory / regression / bounds / risk,theory; regression; data; bounds; risk; sample; distribution; learning theory; machine; machine learning; error; theory learning; optimal; methods; bound; distributions,Theory (73); General Machine Learning (49); Unknown (17); Deep Learning (17); Probabilistic Methods (14),"Theory, optimization, and sampling (155); Safety, alignment, governance, and risk (88); Memorization, evaluation, and generalization (77); LLM reasoning and test-time compute (38); Systems, efficiency, and compression (31)",17 (75); 9 (67); 22 (9); 25 (5); 13 (4),Generalization Bounds for Out-of-distribution Generalization | General Quantification of Covariate and Concept Shifts | Learning Partial Concept Classes and Universal Rates Under Massart Noise | Characterization of Gaussian Universality Breakdown in High-Dimensional Empirical Risk Minimization | Alignment-Sensitive Minimax Rates for Spectral Algorithms with Learned Kernels | When Sample Selection Bias Precipitates Model Collapse | Positive Distribution Shift as a Framework for Understanding Tractable Learning | Positive-Unlabeled Learning with Extreme Scarcity of Labeled Positives,"To Grok Grokking: Provable Grokking in Ridge Regression | Optimal Decision-Making Based on Prediction Sets | Joint Learning in the Gaussian Single Index Model | Mixtures Closest To A Given Measure: A Semidefinite Programming Approach | Multi-Distribution Robust Conformal Prediction | Fast kernel methods: Sobolev, physics-informed, and additive models | Generalization of Gibbs and Langevin Monte Carlo Algorithms in the Interpolation Regime | Logit Distance Bounds Representational Similarity",To Grok Grokking: Provable Grokking in Ridge Regression | Optimal Decision-Making Based on Prediction Sets,Decide whether this semantic cluster should be split into multiple report subareas or kept as one mixed neighborhood.,keep; relabel_area; relabel_subarea; split_cluster; merge_cluster; unclear,"data/manual/area_review_overrides.csv manual_fault_line_relevance/manual_notes, then update TAXONOMY mapping if relabeling is accepted"
15,33.02,21,"LLM Reasoning, Post-Training, and RLVR",LLM preference tuning and alignment training,medium,needs_review,manual confidence not high; split across lexical clusters,128,2,0,9.02,0,language / large language / language models / large,language; large language; language models; large; preference; llm; training; llms; policy; learning large; optimization; data; deep learning; deep; dpo; optimal,Deep Learning (92); General Machine Learning (8); Unknown (8); Reinforcement Learning (5); Social Aspects (4),"Theory, optimization, and sampling (99); LLM reasoning and test-time compute (94); Memorization, evaluation, and generalization (70); RL for LLMs and verifiable rewards (63); Systems, efficiency, and compression (54)",24 (27); 1 (26); 13 (20); 12 (18); 6 (18),Smaller Models are Natural Explorers for Policy-Level Diversity in GRPO | Rethinking the Trust Region in LLM Reinforcement Learning | Hybrid Policy Distillation for LLMs | The Optimal Token Baseline: Variance Reduction for Long-Horizon LLM-RL | Unbiased Dynamic Pruning for Efficient Group-Based Policy Optimization | Normalized Rewards for Preference Optimization | Do We Need Adam? Surprisingly Strong and Sparse Reinforcement Learning with SGD in LLMs | PowerFlow: Unlocking the Dual Nature of LLMs via Principled Distribution Matching,Do We Need Adam? Surprisingly Strong and Sparse Reinforcement Learning with SGD in LLMs | Reward-free Alignment for Conflicting Objectives | Rethinking the Trust Region in LLM Reinforcement Learning | Entropy-Aware On-Policy Distillation of Language Models | Autoregressive Language Models are Secretly Energy-Based Models: Insights into the Lookahead Capabilities of Next-Token Prediction | Hybrid Policy Distillation for LLMs | Token-Level LLM Collaboration via FusionRoute | Predictable Compression Failures: Order Sensitivity and Information Budgeting for Evidence-Grounded Binary Adjudication,,Decide whether this semantic cluster should be split into multiple report subareas or kept as one mixed neighborhood.,keep; relabel_area; relabel_subarea; split_cluster; merge_cluster; unclear,"data/manual/area_review_overrides.csv manual_fault_line_relevance/manual_notes, then update TAXONOMY mapping if relabeling is accepted"
16,31.38,17,"Data-Centric, Causal, and Federated ML","Labels, datasets, and supervised data quality",medium,needs_review,manual confidence not high; split across lexical clusters,192,1,0,2.38,2,label / labels / machine / machine learning,label; data; labels; machine; machine learning; general machine; class; general; methods; datasets; performance; training; samples; classification; supervised; based,General Machine Learning (78); Applications (33); Social Aspects (27); Deep Learning (22); Unknown (17),"Safety, alignment, governance, and risk (114); Memorization, evaluation, and generalization (107); Theory, optimization, and sampling (84); Agents, tools, and computer use (49); Interpretability and mechanistic analysis (49)",25 (64); 17 (61); 23 (16); 1 (11); 29 (6),Convex Dataset Valuation for Post-Training | Class-Conditional Distribution Balancing for Group Robust Classification | Just Y-Prediction: Enabling Historical Cumulative Inconsistency in Label Diffusion for Learning with Noisy Label | Coupled Training with Privileged Features and Unlabeled Data | Expert Routing with Synthetic Data for Domain Incremental Learning | Class-Prior Perturbation-Robust Regularization for Imbalanced Unreliable Partial Label Learning | Position: Creating High-Fidelity Synthetic Training Data Should Employ Multi-level Optimization | Neutral-Reference Prompting for Vision–Language Models,On the Difficulty of Learning a Meta-network for Training Data Selection | Extracting alignment data in open models | CorrSteer: Generation-Time LLM Steering via Correlated Sparse Autoencoder Features | Antidistillation Fingerprinting | Probably Approximately Correct Labels | Building Social World Model with Large Language Models | GENEB: Why Genomic Models Are Hard to Compare | MixtureVitae: Open Web-Scale Pretraining Dataset With High Quality Instruction and Reasoning Data Built from Permissive-First Text Sources,On the Difficulty of Learning a Meta-network for Training Data Selection | Extracting alignment data in open models,Decide whether this semantic cluster should be split into multiple report subareas or kept as one mixed neighborhood.,keep; relabel_area; relabel_subarea; split_cluster; merge_cluster; unclear,"data/manual/area_review_overrides.csv manual_fault_line_relevance/manual_notes, then update TAXONOMY mapping if relabeling is accepted"
17,27.51,41,"Graphs, Geometry, and Representation Learning",Equivariant graph and geometric networks,high,needs_review,small cluster,65,1,0,4.51,4,graph / networks / neural networks / graph neural,graph; networks; neural; neural networks; graph neural; gnns; graphs; learning graph; node; network; equivariant; deep; gnn; deep learning; message; message passing,Deep Learning (45); Unknown (6); General Machine Learning (5); Applications (5); Theory (2),"Theory, optimization, and sampling (29); Memorization, evaluation, and generalization (26); Systems, efficiency, and compression (17); Interpretability and mechanistic analysis (14); LLM reasoning and test-time compute (14)",5 (37); 22 (11); 17 (5); 27 (2); 15 (2),Unitary Convolutions for Message-passing and Positional Encodings on Directed Graphs | From Distribution to Geometry: Stable Graph Generalization via Invariant Barycenters | InvGNN: Learning Invertible Node Representations on Graphs | NNiT: Width-Agnostic Neural Network Generation with Structurally Aligned Weight Spaces | Graph Neural Networks Are Not Continuous Across Graph Resolutions | Rotary Position Encodings for Graphs | When Do Graph Foundation Models Transfer? A Data-Centric Theory | Sheaf Neural Networks on SPD Manifolds: Second-Order Geometric Representation Learning,"Foundations of Equivariant Deep Learning: Unifying Graph and Sheaf Neural Networks | Who Said Neural Networks Aren't Linear? | Dynamics Reveals Structure: Challenging the Linear Propagation Assumption | Learning Multi-Agent Coordination via Sheaf-ADMM | Discovering Symmetry Groups with Flow Matching | Rotary Position Encodings for Graphs | Smoothness Errors in Dynamics Models and How to Avoid Them | Transformers Provably Learn Algorithmic Solutions for Graph Connectivity, But Only with the Right Data",Foundations of Equivariant Deep Learning: Unifying Graph and Sheaf Neural Networks | Who Said Neural Networks Aren't Linear? | Dynamics Reveals Structure: Challenging the Linear Propagation Assumption | Learning Multi-Agent Coordination via Sheaf-ADMM,Small cluster: decide whether to merge into a broader subarea or keep as distinct.,keep; relabel_area; relabel_subarea; split_cluster; merge_cluster; unclear,"data/manual/area_review_overrides.csv manual_fault_line_relevance/manual_notes, then update TAXONOMY mapping if relabeling is accepted"
18,27.04,6,"Agents, Code, and Tool Use","Code LLMs, verification, and software tasks",medium,needs_review,manual confidence not high; split across lexical clusters,139,1,0,6.04,0,code / language / llms / verification,code; language; llms; verification; large language; evaluation; llm; language models; large; program; formal; generation; benchmark; reasoning; automated; proof,Deep Learning (47); Applications (30); General Machine Learning (21); Unknown (19); Social Aspects (12),"LLM reasoning and test-time compute (95); Memorization, evaluation, and generalization (90); Agents, tools, and computer use (70); Theory, optimization, and sampling (51); Safety, alignment, governance, and risk (49)",20 (45); 1 (30); 11 (22); 28 (9); 23 (6),"How Powerful are LLMs in Generating Program Specifications? | UniCode: Augmenting Evaluation for Code Reasoning | EXVERUS: Verus Proof Repair via Counterexample Reasoning | Compile to Compress: Boosting Formal Theorem Provers by Compiler Outputs | Can LLMs Reason Like Automated Theorem Provers for Rust Verification? VCoT-Bench: Evaluating via Verification Chain of Thought | PGS: Effective LLM Code Refinement via Property-Oriented and Structurally Minimal Feedback | SorryDB: Can AI Provers Complete Real-World Lean Theorems? | LLMs Lean on Priors, Not Programming Language Semantics","SoftJAX & SoftTorch: Empowering Automatic Differentiation Libraries with Informative Gradients | APE-Bench: Evaluating Automated Proof Engineering for Formal Math Libraries | Vibe Checker: Aligning Code Evaluation with Human Preference | SWE-Perf: Can Language Models Optimize Code Performance on Real-World Repositories? | Reasoning over Boundaries: Enhancing Specification Alignment via Test-time Deliberation | Training Language Model Agents to Find Vulnerabilities with CTF-Dojo | Propose, Solve, Verify: Self-Play Through Formal Verification | SERA: Soft-Verified Efficient Repository Agents",,Decide whether this semantic cluster should be split into multiple report subareas or kept as one mixed neighborhood.,keep; relabel_area; relabel_subarea; split_cluster; merge_cluster; unclear,"data/manual/area_review_overrides.csv manual_fault_line_relevance/manual_notes, then update TAXONOMY mapping if relabeling is accepted"
19,20.09,38,"Theory, Optimization, and Algorithms","Quantum, matrix, and numerical optimization",medium,needs_review,manual confidence not high; small cluster,35,1,0,3.09,0,quantum / matrix / optimization / algorithm,quantum; matrix; optimization; algorithm; classical; algorithms; problem; quadratic; linear; quantum algorithm; problems; gradient; complexity; quantum computing; gpu; theory,Optimization (12); Theory (9); Unknown (4); Deep Learning (3); General Machine Learning (2),"Theory, optimization, and sampling (31); Systems, efficiency, and compression (17); Memorization, evaluation, and generalization (9); LLM reasoning and test-time compute (8); Agents, tools, and computer use (7)",9 (18); 22 (5); 28 (2); 21 (1); 25 (1),"Accelerating Regression Tasks with Quantum Algorithms | Matrix-Free GPU Semidefinite Programming for Quantum Ordered Search at the k=6 Frontier | An Exponential Separation Between Quantum and Quantum-Inspired Classical Algorithms for Linear Systems | Finding Stationary Points by Comparisons | QuantumBoost: A lazy, yet fast, quantum algorithm for learning with weak hypotheses | Exploiting Hankel-Toeplitz Structures for Fast Computation of Kernel Precision Matrices | Quantum Robust Inner Minimization for Reinforcement Learning with Quadratic Speed-Up in Query Complexity | Position: Quantum Deep Learning Still Needs a Quantum Leap","Optimal and Scalable MAPF via Multi-Marginal Optimal Transport and Schrödinger Bridges | Ultrafast On-Chip Online Learning via Spline Locality in Kolmogorov–Arnold Networks | Discrete Adjoint Schrödinger Bridge Sampler | Position: Quantum Deep Learning Still Needs a Quantum Leap | Gromov-Wasserstein at Scale, Beyond Squared Norms | Batched First-Order Methods for Parallel LP Solving in MIP | DASH: Faster Shampoo via Batched Block Preconditioning and Efficient Inverse-Root Solvers | A Penalty Approach For Differentiation Through Black-box Quadratic Programming Solvers",,Decide whether current area/subarea is central enough or should be relabeled.,keep; relabel_area; relabel_subarea; split_cluster; merge_cluster; unclear,"data/manual/area_review_overrides.csv manual_fault_line_relevance/manual_notes, then update TAXONOMY mapping if relabeling is accepted"
20,19.28,1,"AI for Science, Health, and Neuro",Spiking neural networks and neural signals,medium,needs_review,manual confidence not high; small cluster,67,0,0,1.28,1,spiking / snns / spiking neural / spike,spiking; snns; spiking neural; spike; neural; neuroscience; applications neuroscience; neuroscience cognitive; eeg; cognitive science; cognitive; neural networks; networks; snn; energy; brain,Applications (50); Deep Learning (13); General Machine Learning (2); Optimization (1); Unknown (1),"AI for science, health, and biology (61); Systems, efficiency, and compression (36); Memorization, evaluation, and generalization (28); Multimodal, vision-language, and video (25); Safety, alignment, governance, and risk (17)",27 (52); 10 (3); 25 (3); 17 (2); 18 (2),Efficiently Training Time-to-First-Spike Spiking Neural Networks from Scratch | SpikeCLR: Self-Supervised Contrastive Learning for Visual Representations with Spiking Neural Networks | TEFormer: Structured Bidirectional Temporal Enhancement Modeling in Spiking Transformers | SpikingLM: Towards Fully Spiking Language Model | AdaS: Adaptive Gradient Descent for Spiking Transformers | Narrowing the ANN–SNN Gap for 1D Signal Classification with Multi-Scale Temporal Encoding and Sparsity-Regularized Transform Encoding | Temporal Weighted Encoding: Towards Maximal-Capacity Spike Coding for ANN–SNN Conversion | Positional Encoding for Spiking Transformers,Scaling Vision Transformers for Functional MRI with Flat Maps | Event2Vec: Processing neuromorphic events directly by representations in vector space | EEG-FM-Bench: A Comprehensive Benchmark for the Systematic Evaluation and Diagnostic Analyses of EEG Foundation Models | Omni-fMRI: A Universal Atlas-Free fMRI Foundation Model | DuFal: Dual-Frequency-Aware Learning for High-Fidelity Extremely Sparse-view CBCT Reconstruction | Self-Supervised Foundation Model for Calcium-imaging Population Dynamics | Kuramoto Oscillatory Phase Encoding: Neuro-inspired Synchronization for Improved Learning Efficiency | NAACA: Training-Free NeuroAuditory Attentive Cognitive Architecture with Oscillatory Working Memory for Salience-Driven Attention Gating,Scaling Vision Transformers for Functional MRI with Flat Maps,Decide whether current area/subarea is central enough or should be relabeled.,keep; relabel_area; relabel_subarea; split_cluster; merge_cluster; unclear,"data/manual/area_review_overrides.csv manual_fault_line_relevance/manual_notes, then update TAXONOMY mapping if relabeling is accepted"
21,16.02,31,"Data-Centric, Causal, and Federated ML",Federated learning and distributed clients,high,needs_review,split across lexical clusters,85,1,0,1.02,1,federated / federated learning / clients / client,federated; federated learning; clients; client; fl; data; heterogeneity; aggregation; privacy; communication; local; global; learning fl; heterogeneous; personalized; decentralized,General Machine Learning (29); Deep Learning (19); Social Aspects (16); Optimization (10); Applications (5),"Safety, alignment, governance, and risk (66); Theory, optimization, and sampling (53); Systems, efficiency, and compression (43); Memorization, evaluation, and generalization (38); Agents, tools, and computer use (18)",17 (28); 25 (21); 12 (11); 20 (5); 26 (3),Breaking the Capacity Bottleneck in Model-Heterogeneous Federated Learning via Gradual Model Restoration | FedReLa: Imbalanced Federated Learning via Re-Labeling | BESplit: Bias-Compensated Split Federated Learning with Evidential Aggregation | Personalized Additive Modeling for Multi-level Federated Learning | Beyond the Trade-off: Unifying Fairness and Performance in Federated Learning | Decoupled Low-Rank Adaptation for Robust Federated Fine-Tuning | FedPissa: Towards Federated Personalized Adaptation of Foundation Models via LoRA Subspace Mapping | FedGain: Toward Negative-Gain-Free Client Collaboration in Federated Learning,Incentivizing Truthfulness and Collaborative Fairness in Bayesian Learning | Delayed Momentum Aggregation: Communication-efficient Byzantine-robust Federated Learning with Partial Participation | PluRel: Synthetic Data unlocks Scaling Laws for Relational Foundation Models | Can Recommender Systems Teach Themselves? A Recursive Self-Improving Framework with Fidelity Control | UB-SMoE: Universally Balanced Sparse Mixture-of-Experts for Resource-adaptive Federated Fine-tuning of Foundation Models | Social Hippocampus Memory Learning | Optimal Pricing for Data-Augmented AutoML Marketplaces | FedHPro: Federated Hyper-Prototype Learning via Gradient Matching,Incentivizing Truthfulness and Collaborative Fairness in Bayesian Learning,Decide whether this semantic cluster should be split into multiple report subareas or kept as one mixed neighborhood.,keep; relabel_area; relabel_subarea; split_cluster; merge_cluster; unclear,"data/manual/area_review_overrides.csv manual_fault_line_relevance/manual_notes, then update TAXONOMY mapping if relabeling is accepted"
